N	2gram	Bakhtin_KF	Sotsiolo
1	все это	10	7
2	в том	6	5
3	в этом	15	5
4	не только	5	3
5	не в	13	3
6	и в	28	3
7	и только	7	3
8	но ведь	5	3
9	более чем	1	3
10	в его	42	3
11	для нас	4	3
12	что в	4	2
13	ведь это	2	2
14	то что	7	2
15	том что	4	2
16	дело не	2	2
17	как бы	9	2
18	в результате	1	2
19	было бы	8	2
20	в смысле	6	2
21	и мы	2	2
22	но и	9	2
23	может быть	45	2
24	она может	1	2
25	главным образом	1	2
26	это и	3	2
27	по отношению	26	2
28	отношению к	22	2
29	должна быть	4	2
30	только в	18	2
31	только как	4	2
32	то же	5	2
33	еще не	5	2
34	а в	5	1
35	что он	2	1
36	образом в	1	1
37	в конечном	1	1
38	столь же	1	1
39	быть не	2	1
40	в целом	10	1
41	живого становления	1	1
42	это значит	1	1
43	что эти	1	1
44	более не	1	1
45	все эти	11	1
46	не было	8	1
47	сказать и	1	1
48	когда мы	1	1
49	остается в	1	1
50	положения в	3	1
51	точке зрения	1	1
52	ценное что	1	1
53	и куда	1	1
54	в своей	11	1
55	где же	1	1
56	во всяком	1	1
57	в мире	8	1
58	и потому	2	1
59	все же	5	1
60	что это	4	1
61	или не	1	1
62	ни на	1	1
63	мы должны	1	1
64	а тем	1	1
65	в соответствующих	1	1
66	единства и	2	1
67	с ним	5	1
68	противном случае	1	1
69	между тем	4	1
70	но как	5	1
71	в этой	2	1
72	из себя	11	1
73	и его	18	1
74	нашей работы	1	1
75	в данном	2	1
76	на все	1	1
77	только для	1	1
78	в области	2	1
79	и по	1	1
80	же самое	1	1
81	один из	2	1
82	так и	2	1
83	в противном	1	1
84	только тогда	1	1
85	в то	3	1
86	может не	2	1
87	ни одно	5	1
88	в котором	24	1
89	будет тем	1	1
90	именно на	2	1
91	не выходит	1	1
92	между собой	1	1
93	него и	2	1
94	вокруг этих	2	1
95	отнюдь не	7	1
96	и не	28	1
97	человек все	1	1
98	всяком случае	1	1
99	он ни	2	1
100	по самому	1	1
101	настоящее время	1	1
102	или нет	1	1
103	и о	1	1
104	вступает в	3	1
105	но не	12	1
106	может служить	1	1
107	систематическое единство	1	1
108	они не	1	1
109	лучшем случае	1	1
110	в него	2	1
111	она должна	1	1
112	для этого	2	1
113	прежде всего	4	1
114	тем что	3	1
115	что она	1	1
116	тем же	1	1
117	литературе о	1	1
118	но сам	1	1
119	в каждом	3	1
120	связь между	1	1
121	в чем	4	1
122	не из	2	1
123	а с	2	1
124	же не	1	1
125	но только	1	1
126	и будет	1	1
127	не дает	3	1
128	в лучшем	1	1
129	конечном счете	1	1
130	факта что	1	1
131	его в	5	1
132	не от	1	1
133	я остаюсь	1	1
134	зависит от	1	1
135	представляется нам	1	1
136	в процессе	2	1
137	границы и	1	1
138	я и	5	1
139	новое и	1	1
140	вовсе не	7	1
141	его построения	1	1
142	и наконец	1	1
143	конечно не	7	1
144	о том	3	1
145	мы не	3	1
146	и понимает	1	1
147	тому что	2	1
148	мысли в	1	1
149	и затем	1	1
150	наше время	1	1
151	в этих	1	1
152	ровно ничего	1	1
153	по себе	2	1
154	бы он	2	1
155	хотя бы	5	1
156	же время	2	1
157	это не	10	1
158	и должно	1	1
159	конечно только	1	1
160	в виде	2	1
161	в настоящее	1	1
162	именно в	5	1
163	никогда не	5	1
164	и есть	10	1
165	не может	29	1
166	между ними	1	1
167	и как	2	1
168	что все	1	1
169	место в	6	1
170	как и	5	1
171	ничего не	3	1
