N	4gram	Tiupa_Hudo	RusskieA
1	состоит в том что	3	26
2	в том что в	1	8
3	на самом же деле	1	3
4	так же как и	1	3
5	но тем не менее	2	2
6	и в этом случае	1	2
7	есть на самом деле	1	1
8	эта как мы знаем	1	1
9	но все же не	1	1
10	одна и та же	1	1
11	дело здесь не в	1	1
12	же состоит в том	1	1
13	о том что в	3	1
14	не только в том	2	1
15	только о том что	1	1
16	в этом случае с	1	1
17	сводится к тому что	1	1
18	не имеет ничего общего	1	1
19	не только потому что	1	1
20	дело в том что	1	1
21	в этом и состоит	1	1
22	имеет ничего общего с	1	1
23	перекликаясь друг с другом	1	1
24	приводит к тому что	2	1
