N	2gram	Losev_Vesc	SlovoVZh
1	не может	44	16
2	может быть	37	14
3	точки зрения	10	14
4	как бы	19	13
5	и его	4	13
6	таким образом	16	12
7	и в	44	12
8	и не	57	10
9	так как	17	9
10	если бы	8	9
11	прежде всего	17	8
12	для нас	2	7
13	сказать что	21	7
14	все время	1	6
15	в ней	14	6
16	слова и	7	6
17	в том	15	6
18	только в	23	6
19	в нем	6	6
20	при этом	1	6
21	можно сказать	8	5
22	что мы	17	5
23	хотя бы	9	5
24	должна быть	8	5
25	то же	12	5
26	а не	34	5
27	в виду	2	5
28	то что	47	5
29	в жизни	5	5
30	как и	15	5
31	как в	3	5
32	отнюдь не	8	5
33	том что	13	5
34	и следовательно	20	5
35	но в	8	5
36	никогда не	5	5
37	в самом	13	4
38	и к	1	4
39	и на	2	4
40	свое выражение	3	4
41	не только	48	4
42	ни было	12	4
43	и является	1	4
44	на самом	1	4
45	от того	7	4
46	его в	8	4
47	литературы и	1	4
48	мы все	1	4
49	с другой	8	4
50	не в	14	4
51	дело в	6	4
52	отношение к	4	4
53	что не	11	4
54	так и	4	4
55	уже не	15	4
56	жизни и	6	4
57	в этом	17	4
58	все же	18	4
59	зависимости от	1	4
60	к нему	3	4
61	бы то	12	3
62	как к	5	3
63	и с	11	3
64	ее и	2	3
65	до сих	1	3
66	и более	4	3
67	в котором	4	3
68	и по	1	3
69	и пр	10	3
70	мы не	8	3
71	то ни	13	3
72	или не	7	3
73	для него	8	3
74	отношении к	4	3
75	с ним	8	3
76	того что	16	3
77	быть и	5	3
78	и уже	2	3
79	когда он	2	3
80	тем не	11	3
81	в некоторых	1	3
82	имеет в	1	3
83	все это	7	3
84	он должен	1	3
85	ни в	11	3
86	в пределах	1	3
87	конечно не	2	3
88	по себе	22	3
89	так же	4	3
90	в них	1	3
91	из общего	2	3
92	в каком	6	3
93	этой точки	3	3
94	самом деле	7	3
95	только на	3	3
96	но для	2	3
97	в себе	23	3
98	слово в	2	3
99	ясно что	10	3
100	все эти	5	3
101	о том	11	3
102	в своей	6	3
103	здесь не	2	3
104	не менее	11	3
105	из этого	3	3
