N	3gram	Tiupa_Hudo	Tragedij
1	то же время	11	5
2	в то же	11	5
3	так и в	1	3
4	в том что	15	2
5	но в то	3	2
6	между этими двумя	1	2
7	точно так же	1	2
8	в данном случае	3	2
9	о том что	14	2
10	и в самом	4	2
11	но все же	2	2
12	в отличие от	1	2
13	и не случайно	2	2
14	в голову что	1	1
15	том что он	1	1
16	в одном из	1	1
17	друг друга и	1	1
18	что он не	3	1
19	именно в связи	1	1
20	а между тем	3	1
21	за то что	1	1
22	в конце концов	1	1
23	л н толстой	2	1
24	в это же	1	1
25	в последней главе	1	1
26	как это часто	1	1
27	объясняется тем что	1	1
28	вместо того чтобы	2	1
29	за этими словами	2	1
30	если можно так	1	1
31	не может быть	5	1
32	по нашему мнению	1	1
33	и т п	10	1
34	но при этом	3	1
35	в этом случае	1	1
36	произведений писателя и	1	1
37	с того что	2	1
38	с самого начала	1	1
39	как же я	1	1
40	xx века в	1	1
41	и то что	1	1
42	как и все	1	1
43	не только не	3	1
44	своей и чужой	1	1
45	начнем с того	1	1
46	что я не	1	1
47	по мнению л	1	1
48	в ее душу	1	1
49	в высшей степени	1	1
50	хотя бы и	1	1
51	как и в	5	1
52	в связи с	3	1
53	и все же	1	1
54	в самом деле	5	1
55	приходит в голову	1	1
56	ее душу и	1	1
57	во всяком случае	1	1
58	к тому что	8	1
59	тем не менее	6	1
60	казалось что все	1	1
61	к жизни столь	1	1
62	в этой связи	5	1
63	в столкновение с	2	1
64	и в ходе	1	1
65	он не любил	1	1
66	что говорит о	2	1
67	но у него	1	1
68	все же не	2	1
69	еще ничего не	1	1
70	и в этом	3	1
71	можно так выразиться	1	1
