N	2gram	Medvedev_B	Dialekti
1	и не	2	120
2	а не	1	78
3	и в	1	77
4	не только	1	66
5	прежде всего	1	37
6	что в	1	34
7	все это	2	31
8	отнюдь не	1	30
9	было бы	1	29
10	так и	1	29
11	крайней мере	1	26
12	по крайней	1	26
13	говорить о	1	25
14	таким образом	1	23
15	должна быть	1	21
16	что все	1	20
17	совершенно не	1	20
18	с другой	1	18
19	кроме того	1	16
20	в своей	1	16
21	об этом	1	16
22	все же	1	15
23	и о	1	15
24	не было	1	14
25	и ее	1	14
26	и потому	1	14
27	другой стороны	1	13
28	не то	2	13
29	в ней	2	13
30	и нет	1	12
31	вопрос о	1	12
32	никак не	1	12
33	еще не	1	12
34	тем более	1	12
35	в данном	1	11
36	не о	1	11
37	его не	1	11
38	во всяком	1	10
39	за пределы	1	10
40	как будто	1	10
41	и на	1	9
42	и более	1	9
43	то как	1	8
44	у нас	3	8
45	на самом	1	8
46	бы только	1	8
47	можно было	2	6
48	всяком случае	1	6
49	также не	1	5
50	и во	1	5
51	же не	1	5
52	в области	1	5
53	к ней	1	5
54	из ее	1	4
55	говорить не	1	4
56	будто бы	1	4
57	иначе не	1	4
58	говорить об	1	4
59	со всем	1	3
60	больше чем	2	3
61	всего в	1	3
62	не мешало	1	3
63	одной из	1	3
64	целиком в	1	3
65	далеко не	1	3
66	меньше чем	1	3
67	остановиться на	1	2
68	только ли	1	2
69	о них	1	2
70	не вполне	1	2
71	между ними	1	2
72	творчества и	1	2
73	также что	1	2
74	по этим	1	2
75	а о	1	2
76	было и	1	2
77	в эпоху	1	2
78	как первый	1	1
79	чтобы можно	1	1
80	и свободный	1	1
81	не признать	1	1
82	точке зрения	1	1
83	нас еще	1	1
84	об исторических	1	1
85	его какой-то	1	1
86	для которой	1	1
87	признать его	1	1
88	ли по	1	1
89	и меньше	1	1
90	мешало бы	1	1
91	такое определение	1	1
92	до конца	1	1
93	по отдельным	1	1
94	короче говоря	1	1
95	видеть в	2	1
96	классификация этих	1	1
97	по теории	1	1
98	начинает говорить	1	1
99	он свою	1	1
100	не все	1	1
101	более подробно	1	1
102	и классификация	1	1
103	в пределах	1	1
104	свести к	1	1
