N	3gram	Berdyaev_O	PoTuStor
1	не может быть	2	3
2	по сравнению с	1	3
3	во всяком случае	1	3
4	в нем нет	3	2
5	о том что	1	2
6	не могут быть	2	2
7	в самом деле	1	2
8	и в этом	2	2
9	вовлекающее в свой	1	1
10	в том что	1	1
11	друг с другом	1	1
12	ним может быть	1	1
13	он прежде всего	2	1
14	новой науки о	1	1
15	и есть та	1	1
16	и в этот	1	1
17	у него из	1	1
18	и прежде всего	1	1
19	человека и все	1	1
20	все что есть	1	1
21	а иногда и	1	1
22	для того чтобы	3	1
23	в этом отношении	1	1
24	нужно отметить что	1	1
