N	2gram	Savitsky_E	Freidism
1	таким образом	2	34
2	и не	14	34
3	точки зрения	23	31
4	не может	9	30
5	в этом	12	28
6	может быть	6	28
7	и в	37	28
8	прежде всего	9	26
9	в его	2	25
10	и его	1	22
11	мы можем	3	20
12	как бы	6	19
13	как мы	5	18
14	то что	6	17
15	вовсе не	6	16
16	с точки	17	15
17	точка зрения	2	15
18	все эти	1	15
19	так как	7	15
20	с ним	1	14
21	в своей	8	14
22	так и	10	14
23	и все	2	13
24	как и	7	13
25	по отношению	1	13
26	но в	14	13
27	во всех	6	13
28	в самом	4	12
29	то же	15	12
30	том что	6	12
31	для него	1	12
32	и потому	5	12
33	и наконец	2	12
34	мы видели	3	12
35	влечение к	1	11
36	только в	9	11
37	мы знаем	1	11
38	сказать что	4	11
39	все что	1	10
40	один из	1	10
41	не только	18	10
42	и с	2	10
43	но и	14	10
44	конечно не	1	10
45	что же	2	10
46	тот же	1	10
47	никогда не	3	10
48	в том	11	10
49	он не	2	10
50	за пределы	1	10
51	не в	5	10
52	и на	6	9
53	те же	1	9
54	уже не	1	9
55	во всяком	3	9
56	мы не	4	9
57	с его	1	9
58	к нему	2	9
59	а не	2	9
60	культурного творчества	2	9
61	мы должны	2	9
62	могут быть	2	9
63	при этом	1	8
64	все же	1	8
65	с этим	2	8
66	было бы	8	8
67	а в	2	8
68	с другими	2	8
69	на этом	1	8
70	в ней	4	8
71	всяком случае	3	8
72	что в	21	7
73	и к	3	7
74	не могут	2	7
75	связь с	1	7
76	в жизни	1	7
77	его жизни	1	7
78	хотя бы	15	7
79	в каком	4	7
80	если мы	1	7
81	что все	2	7
82	и для	3	7
83	из них	3	7
84	того что	7	7
85	не является	3	7
86	но не	5	7
87	об этом	1	7
88	в нем	1	7
89	быть и	1	7
90	в этой	2	7
91	в себе	9	7
92	жизни и	2	7
93	и прежде	3	7
94	в то	16	7
95	и ее	1	7
96	более того	1	7
97	этого периода	1	6
98	одно из	1	6
99	в корне	1	6
100	не менее	1	6
101	к тому	8	6
102	можно сказать	4	6
103	в основе	1	6
104	в свою	3	6
105	для того	6	6
106	же время	14	6
107	в таком	3	6
108	большинстве случаев	3	6
109	она не	2	6
110	и что	2	6
111	в пределах	25	6
112	и о	1	6
113	и только	3	6
114	для этого	1	6
115	всех этих	1	6
116	не можем	2	6
117	что это	2	5
118	в более	1	5
119	в своих	2	5
120	ее в	3	5
121	в процессе	4	5
122	с ними	1	5
123	вместе с	2	5
124	со стороны	5	5
125	тех же	1	5
126	того чтобы	6	5
127	увидим что	1	5
128	говорить о	1	5
129	на основании	2	5
130	и до	1	5
131	и те	1	5
132	потому и	1	5
133	можем сказать	2	5
134	он сам	2	5
135	той же	1	5
136	в ее	8	5
137	что и	3	5
138	с их	1	5
139	тому что	1	5
140	между ними	2	5
141	в этих	2	5
142	и по	5	5
143	не было	1	5
144	во второй	3	5
145	как это	4	5
146	далеко не	2	5
147	от того	1	5
148	в большинстве	2	5
149	заключается в	2	5
150	что может	1	5
151	в общем	3	5
152	отнюдь не	9	5
153	с которыми	1	4
154	в последнем	1	4
155	как с	1	4
156	борьбы с	1	4
157	сводится к	1	4
158	по себе	4	4
159	если бы	2	4
160	именно и	1	4
161	так называемый	1	4
162	именно в	4	4
163	как в	3	4
164	этот вопрос	2	4
165	данном случае	2	4
166	в данном	3	4
167	в котором	2	4
168	мы увидим	1	4
169	потому что	3	4
170	в этот	1	4
171	слова и	1	4
172	в истории	2	4
173	так же	9	4
174	отметить что	3	4
175	свою очередь	2	4
176	на которые	1	4
177	в своем	14	4
178	одна из	1	4
179	но это	1	4
180	дает нам	1	4
181	влияние на	2	4
182	что оно	1	4
183	этот процесс	2	4
184	в психологии	3	4
185	этом отношении	3	4
186	мы находим	1	4
187	по своему	7	4
188	между собой	2	4
189	войти в	1	4
190	на язык	2	4
191	и вообще	1	4
192	в основных	1	4
193	не дает	3	4
194	то ни	4	4
195	в развитии	2	4
196	должны быть	1	4
197	к ней	4	4
198	главным образом	2	4
199	в области	11	4
200	его к	1	4
201	с ее	1	4
202	во втором	2	3
203	для всех	1	3
204	в центре	1	3
205	часть его	1	3
206	освободиться от	1	3
207	связанное с	1	3
208	этот принцип	1	3
209	для них	2	3
210	в результате	3	3
211	и тот	1	3
212	в них	3	3
213	оно не	1	3
214	и даже	6	3
215	психологии и	1	3
216	значение в	1	3
217	себя с	1	3
218	социальной группы	1	3
219	не делает	1	3
220	притом в	2	3
221	жизни в	3	3
222	которое не	1	3
223	связано с	3	3
224	что мы	1	3
225	ни на	3	3
226	этот период	1	3
227	на основе	2	3
228	в одном	2	3
229	можно ли	3	3
230	в совершенно	1	3
