N	4gram	Ircho_Kome	Problemy
1	в то же время	5	26
2	бы то ни было	4	6
3	в том что он	4	5
4	в то время как	6	3
5	одна и та же	1	2
6	и к тому же	1	2
7	и во всяком случае	1	2
8	ни в чем не	1	2
9	а может быть даже	1	2
10	то же время он	1	1
11	сих пор остается почти	1	1
12	до сих пор остается	1	1
13	может быть даже и	1	1
14	одних и тех же	1	1
15	не укладывается ни в	1	1
16	в том числе и	1	1
17	то время как в	1	1
18	и т п в	1	1
19	именно потому что они	1	1
20	во всяком случае в	1	1
21	так же как и	1	1
22	в сущности одна и	1	1
23	до сих пор не	1	1
24	и каждый из них	1	1
25	сущности одна и та	1	1
