N	4gram	Voloshinov	KulturaY
1	и тем не менее	2	7
2	в то же время	6	6
3	в зависимости от того	2	4
4	заключается в том что	2	4
5	и пр и пр	2	4
6	в том что он	2	3
7	уже не может быть	1	2
8	что с точки зрения	1	2
9	которую можно было бы	1	2
10	не что иное как	1	2
11	одной и той же	3	2
12	и в то же	1	2
13	в собственном смысле слова	1	2
14	один и тот же	3	2
15	в самом деле можно	1	1
16	какое же значение имеют	1	1
17	в узком смысле слова	2	1
18	который в данном случае	1	1
19	я не сомневаюсь что	1	1
20	и тот же объект	1	1
21	ни в коем случае	1	1
22	чтобы ответить на этот	1	1
23	в том что она	2	1
24	и в голову не	1	1
25	которой мы говорили выше	1	1
26	в самом деле ведь	1	1
27	и в таком случае	1	1
28	на это дает сам	1	1
29	не выходит за пределы	1	1
30	сводится к тому чтобы	1	1
31	иметь в виду их	1	1
32	одно и то же	1	1
33	в самое последнее время	1	1
34	дело в том что	1	1
35	собственном смысле этого слова	1	1
36	с помощью которого они	1	1
37	в то время когда	1	1
38	ответить на этот вопрос	1	1
39	и не может быть	3	1
40	конечно и все те	1	1
41	одна на другую и	1	1
42	и политическая революция в	1	1
43	что бы то ни	1	1
44	а может быть и	1	1
45	в самом деле только	1	1
46	но во всяком случае	3	1
47	самом деле можно ли	1	1
48	и не могут быть	1	1
49	было бы гораздо более	1	1
50	и в вопросе о	1	1
51	мы имеем в виду	1	1
52	только потому что оно	1	1
53	который как мы видели	1	1
54	ответ на это дает	1	1
55	бы то ни было	2	1
56	может повлечь за собой	1	1
57	в самом деле откуда	1	1
58	ответ на этот вопрос	1	1
59	во всяком случае в	1	1
60	бы то ни стало	1	1
61	о которой мы говорили	1	1
62	во что бы то	1	1
63	зависимости от того в	1	1
64	что же это за	1	1
65	есть не что иное	1	1
