N	4gram	Vinokur_Vv	Mirosoze
1	не что иное как	5	4
2	одной и той же	2	3
3	в том что он	1	3
4	есть не что иное	3	3
5	не может быть и	1	2
6	и в конце концов	1	2
7	той мере в какой	6	1
8	в том смысле что	1	1
9	мы имеем в виду	1	1
10	не может быть названа	1	1
11	смысле этого слова как	1	1
12	и в самом деле	3	1
13	в глубине человеческой природы	1	1
14	у него в распоряжении	1	1
15	не сам по себе	1	1
16	и не в этом	1	1
17	сомневаться в том что	1	1
18	в то же время	6	1
19	до сих пор это	1	1
20	смысле слова а не	1	1
21	прежде всего в его	1	1
22	может быть и речи	1	1
23	с тем что в	1	1
24	в той мере в	6	1
25	по отношению к нему	1	1
26	для того чтобы сделать	1	1
27	том смысле в каком	1	1
28	но нужно сказать что	1	1
