N	4gram	Losev_Vlad	Mirosoze
1	и вместе с тем	1	5
2	в то время как	2	4
3	не что иное как	2	4
4	одной и той же	1	3
5	в том что он	2	3
6	есть не что иное	1	3
7	в бога и в	1	2
8	ни в чем не	1	2
9	о том что в	1	2
10	и в конце концов	1	2
11	того ни с сего	1	1
12	с того ни с	1	1
13	на одной и той	1	1
14	указывает на то что	1	1
15	в то же время	7	1
16	и не может быть	1	1
17	в них нет ничего	1	1
18	а может быть и	1	1
19	том что он не	1	1
20	он так и не	1	1
21	ни с того ни	1	1
22	у него не было	1	1
23	а в конце концов	1	1
24	в своем отношении к	1	1
