N	2gram	Kanaev_Sov	KulturaY
1	и в	7	84
2	в том	4	74
3	не только	4	60
4	точки зрения	12	59
5	в этом	7	57
6	было бы	3	53
7	и не	6	52
8	может быть	12	47
9	что в	2	44
10	том что	1	44
11	в самом	2	41
12	у нас	3	38
13	самом деле	2	37
14	так как	4	36
15	с точки	5	36
16	в области	3	34
17	таким образом	11	33
18	а не	3	33
19	если бы	1	32
20	можно было	1	32
21	не в	3	30
22	и пр	2	30
23	в его	2	30
24	прежде всего	5	30
25	все же	3	29
26	не менее	2	28
27	все эти	5	28
28	уже не	2	26
29	вовсе не	1	25
30	не может	17	25
31	вопрос о	4	24
32	с другой	1	24
33	еще не	3	24
34	то же	3	23
35	с помощью	4	23
36	только в	1	23
37	тем не	2	21
38	по себе	1	20
39	во всяком	2	20
40	и что	2	20
41	о том	1	19
42	зависимости от	4	19
43	что же	5	19
44	всяком случае	2	19
45	но в	3	19
46	связи с	1	18
47	вместе с	4	18
48	как бы	4	18
49	все это	3	18
50	можно говорить	1	17
51	что это	2	17
52	это не	4	17
53	в зависимости	4	16
54	тот же	2	16
55	ничего не	6	16
56	но не	1	16
57	при этом	3	15
58	именно в	1	15
59	в данном	1	15
60	в нашем	2	15
61	не было	1	15
62	один из	1	15
63	по отношению	1	15
64	а в	4	15
65	должно быть	1	15
66	сказать что	1	14
67	хотя и	1	14
68	что такое	2	14
69	в связи	1	14
70	сих пор	1	14
71	в ней	1	14
72	до сих	1	14
73	если мы	4	14
74	как мы	2	14
75	мы имеем	1	14
76	отношению к	1	14
77	что она	3	13
78	крайней мере	1	13
79	в этой	3	13
80	там где	1	13
81	не случайно	1	13
82	не могут	2	13
83	по крайней	1	13
84	той же	2	13
85	для нас	3	13
86	это и	1	13
87	по существу	1	13
88	и его	1	13
89	говорить о	2	12
90	в результате	6	12
91	того же	1	12
92	ясно что	3	12
93	этот вопрос	1	12
94	могут быть	2	12
95	те же	1	11
96	должен быть	1	11
97	в своем	1	11
98	он не	1	11
99	в нем	3	11
100	совершенно не	2	11
101	из этих	2	11
102	и если	1	11
103	уже в	3	11
104	в какой	1	11
105	или иной	2	11
106	в первом	3	10
