N	3gram	Berdyaev_M	Tvorches
1	в романах достоевского	2	29
2	в преступлении и	1	17
3	преступлении и наказании	1	16
4	в том что	3	11
5	в творчестве достоевского	7	11
6	преступление и наказание	1	10
7	записки из подполья	1	9
8	в братьях карамазовых	5	9
9	преступления и наказания	2	9
10	у достоевского в	1	9
11	о том что	3	8
12	униженных и оскорбленных	1	7
13	не может быть	22	6
14	в записках из	2	6
15	записок из подполья	5	5
16	и т п	1	5
17	в самом деле	1	5
18	записках из подполья	2	5
19	в наше время	1	5
20	в его романах	2	5
21	по отношению к	4	5
22	у достоевского не	1	5
23	о великом инквизиторе	6	5
24	но у достоевского	1	4
25	до сих пор	5	4
26	с точки зрения	1	4
27	у достоевского нет	6	4
28	в xx веке	1	4
29	это прежде всего	1	4
30	жизни идей в	1	3
31	том что в	1	3
32	в отличие от	1	3
33	это значит что	3	3
34	во всяком случае	1	3
35	как и в	2	3
36	легенда о великом	1	3
37	добра и зла	7	3
38	и не может	2	3
39	что он не	3	2
40	ивана карамазова и	2	2
41	человеку как к	1	2
42	у него есть	1	2
43	а может быть	1	2
44	это не значит	2	2
45	может быть назван	3	2
46	бы он ни	1	2
47	достоевского никогда не	2	2
48	заключает в себе	3	2
49	к человеку как	2	2
50	для того чтобы	4	2
51	достоевский никогда не	1	2
52	не значит что	1	2
53	человека у достоевского	3	2
54	что у него	1	2
55	и в конце	2	2
56	не потому что	1	2
57	что он сам	1	2
58	в конце концов	3	2
59	потому что он	3	2
60	и в самом	3	2
61	не могут быть	2	2
62	в высшей степени	4	2
63	так как он	1	2
64	никогда не было	2	2
65	но это не	3	2
66	и иван карамазов	2	2
67	в своем творчестве	3	2
68	и всякий раз	2	2
69	достоевского с его	1	2
70	вместе с тем	5	2
71	не только для	1	2
72	в дневнике писателя	4	2
73	в свою противоположность	4	2
74	в каждом человеке	2	2
75	место в творчестве	2	2
76	и та же	2	2
77	в бесах и	2	2
78	достоевского как и	1	2
79	на самом деле	1	2
80	когда он идет	1	2
81	не означает что	1	2
82	он сам в	1	2
83	так же как	1	2
84	у достоевского это	3	2
85	не только в	2	2
86	бога и дьявола	2	2
