N	2gram	Tiupa_Vved	Komedia
1	и в	23	77
2	и не	24	47
3	в том	21	44
4	том что	16	42
5	о том	7	33
6	едва ли	4	32
7	но и	31	32
8	может быть	25	30
9	из них	1	29
10	таким образом	6	29
11	в то	5	28
12	и его	9	28
13	в этом	27	27
14	потому что	7	27
15	что он	2	26
16	к тому	9	26
17	тому же	6	25
18	не только	32	25
19	вместе с	2	25
20	как и	21	23
21	в доме	1	23
22	что в	6	23
23	в самом	6	22
24	что и	6	22
25	если бы	10	22
26	то же	8	21
27	ясно что	2	21
28	в конце	3	21
29	так и	14	21
30	а в	15	21
31	в его	9	20
32	к этому	3	19
33	во время	3	19
34	со стороны	15	19
35	в этой	2	18
36	тем что	2	17
37	же время	4	17
38	в нем	9	17
39	и здесь	2	17
40	еще не	8	17
41	при этом	43	16
42	все же	10	16
43	не менее	4	16
44	у него	8	16
45	он не	6	16
46	действующих лиц	2	16
47	и сам	2	16
48	тот же	1	16
49	не в	12	15
50	в своем	9	15
51	точки зрения	1	15
52	его в	1	15
53	на себя	5	15
54	между тем	3	15
55	один из	3	15
56	и на	5	15
57	было бы	4	15
58	прежде всего	11	15
59	и с	2	14
60	на протяжении	2	14
61	столь же	3	14
62	к нему	2	14
63	в свою	5	14
64	все это	3	14
65	ли не	2	14
66	об этом	5	14
67	только что	1	13
68	самом деле	6	13
69	о чем	4	13
70	в них	4	13
71	в одном	5	13
72	что она	2	13
73	того же	1	13
74	как раз	5	13
75	мы можем	2	13
76	в двух	1	13
77	так что	1	13
78	то что	9	13
79	того чтобы	2	13
80	но в	14	13
81	в котором	11	12
82	для того	1	12
83	так же	2	12
84	с другой	10	12
85	несмотря на	2	12
86	хотя и	10	12
87	в качестве	18	12
88	как это	2	12
89	из которых	1	12
90	как в	8	12
91	уже в	2	12
92	в истории	1	12
93	не по	4	12
94	нового времени	5	12
95	в начале	3	12
96	не может	14	12
97	но не	9	12
98	и даже	3	11
99	с тем	1	11
100	по отношению	11	11
101	наряду с	2	11
102	по имени	1	11
103	с ним	3	11
104	должны были	3	11
105	речь идет	3	11
106	как мы	5	11
107	на этот	2	11
108	и для	8	11
109	в их	2	11
110	в частности	19	11
111	одного из	3	11
112	сразу же	1	10
113	он был	1	10
114	свою очередь	5	10
115	на него	3	10
116	тут же	3	10
117	с одной	9	10
118	к себе	2	10
119	в чем	2	10
120	как бы	8	10
121	и что	2	10
122	в отношении	1	10
123	и все	8	10
124	на основании	1	10
125	одной из	1	10
126	с его	1	10
127	ничего не	3	10
128	хоть и	1	10
129	мы не	6	10
130	на его	2	10
131	тем более	3	10
132	что касается	5	10
133	еще в	3	10
134	отношение к	5	10
135	же в	3	10
136	в целом	4	10
137	все что	3	9
138	в своей	10	9
139	одной стороны	9	9
140	говорить о	5	9
141	и еще	1	9
142	тому что	2	9
143	только в	9	9
144	друг друга	1	9
145	даже не	1	9
146	судя по	3	9
147	и по	3	9
148	в образе	1	9
149	однако в	9	9
150	ответ на	2	9
151	того как	1	9
152	а также	12	9
153	вовсе не	1	9
154	отличие от	11	9
155	в ней	5	9
156	и особенно	1	9
157	отношению к	11	9
158	другой стороны	3	8
159	по поводу	5	8
160	что у	4	8
161	такого рода	23	8
162	не было	5	8
163	не знает	2	8
164	бы в	4	8
165	во всех	2	8
166	можно было	2	8
167	что для	2	8
168	в iv	1	8
169	в которых	2	8
170	да и	3	8
171	в течение	2	8
172	связи с	2	8
173	по своему	3	8
174	войны и	5	8
175	с самого	1	8
176	как он	2	8
177	при всем	1	8
178	идет о	3	8
179	и ее	2	8
180	место в	2	8
181	и к	2	7
182	дело с	4	7
183	в результате	5	7
184	в этих	5	7
185	если в	3	7
186	себе в	1	7
187	во всяком	3	7
188	хотя бы	2	7
189	в другом	2	7
190	самого начала	1	7
191	что они	2	7
192	в связи	1	7
193	и это	2	7
194	и тот	1	7
195	и хотя	1	7
196	перед лицом	4	7
197	в себе	15	7
198	до начала	2	7
199	и у	2	7
200	к его	5	7
201	это время	2	7
202	не имеет	3	7
203	не является	7	7
204	из этих	5	7
205	целый ряд	2	7
206	и во	2	7
207	до конца	5	7
208	но если	1	7
209	всяком случае	3	7
210	и вот	3	7
211	для нас	4	7
212	со своим	1	7
213	должен был	2	7
214	или иначе	2	7
215	этот раз	3	7
216	отнюдь не	14	7
217	тех же	2	7
218	и о	4	7
219	по всему	1	6
220	еще более	2	6
221	даже в	3	6
222	его от	1	6
223	в виду	3	6
224	с собой	1	6
225	в своих	5	6
226	в наиболее	3	6
227	представляет собой	18	6
228	как правило	6	6
229	не мог	2	6
230	и он	4	6
231	не слишком	1	6
232	что не	2	6
233	о которых	2	6
234	на этом	1	6
235	и тем	3	6
236	не приходится	1	6
237	могут быть	5	6
238	в силу	2	6
239	всего в	1	6
240	мы встречаем	1	6
241	в сущности	3	6
242	в другой	1	6
243	лет тому	1	6
244	с женой	1	6
245	тому назад	1	6
246	а не	31	6
247	в отличие	11	6
248	в и	1	6
249	в области	5	6
250	тем не	3	6
251	на вопрос	1	6
252	том числе	1	6
253	так в	5	6
254	или в	3	6
255	что к	1	6
256	в какой	4	6
257	и как	2	6
258	к концу	1	6
259	на то	3	6
260	человека в	2	6
261	во второй	1	6
262	а по	1	6
263	как будто	6	6
264	из всех	1	5
265	на сцену	1	5
266	в первом	3	5
267	за ним	1	5
268	именно в	1	5
269	его на	1	5
270	роль в	2	5
271	со своей	4	5
272	в действительности	1	5
273	восходит к	2	5
274	с помощью	1	5
275	а на	4	5
276	к ним	4	5
277	сказать что	1	5
278	который в	5	5
279	от них	2	5
280	тем же	1	5
281	себя в	4	5
282	никогда не	6	5
283	представить себе	2	5
284	и мы	1	5
285	в ее	1	5
286	но он	2	5
287	одним из	5	5
288	также в	1	5
289	в мире	9	5
290	одном из	1	5
291	между собой	2	5
292	все остальные	1	5
293	на долю	1	5
294	не могла	1	5
295	даже если	1	5
296	в первой	1	5
297	и от	3	5
298	в ответ	2	5
299	каждого из	2	5
300	персонажей в	4	5
301	от нее	1	5
302	не так	1	5
303	этому времени	1	5
304	известно что	1	5
305	что это	2	5
306	из того	1	5
307	обращается к	2	5
308	приводит к	2	5
309	том как	4	5
310	похожи на	1	5
311	и если	1	5
312	и теперь	1	5
313	вслед за	3	5
314	в обоих	3	5
315	же самое	2	5
316	той же	3	5
317	что я	2	5
318	в сознании	5	5
319	этом отношении	7	5
320	и после	2	5
321	это не	7	5
322	мы имеем	8	5
323	он и	2	5
324	же не	1	5
325	и без	1	5
326	к своему	2	5
327	в следующем	1	5
328	и я	1	5
329	участие в	1	5
330	раз в	1	5
331	ему не	1	5
332	жизни и	8	5
333	в период	2	5
334	для этого	2	5
335	что на	4	5
336	мира в	8	5
337	в той	5	4
338	каждой из	1	4
339	к числу	1	4
340	в принципе	3	4
341	не столько	5	4
342	чтобы в	1	4
343	в духе	1	4
344	и опять	2	4
345	например в	2	4
346	их в	3	4
347	обоих случаях	1	4
348	отца и	1	4
349	в iii	1	4
350	времени в	3	4
351	не всегда	2	4
352	может служить	4	4
353	в глаза	1	4
354	в пятом	2	4
355	самом начале	1	4
356	а сам	1	4
357	одна из	5	4
358	к этим	1	4
359	кто из	1	4
360	от ее	1	4
361	ближе к	3	4
362	том чтобы	2	4
363	к их	1	4
364	к человеку	1	4
365	к которому	2	4
366	аналогии с	2	4
367	не о	2	4
368	как его	2	4
369	в последние	1	4
370	как видим	1	4
371	между ними	1	4
372	же как	1	4
373	здесь мы	2	4
374	сомневаться в	1	4
375	по своей	4	4
376	как известно	2	4
377	из этого	1	4
378	не случайно	1	4
379	к сожалению	1	4
380	был бы	1	4
381	когда в	2	4
382	не на	3	4
383	стороны и	4	4
384	за свое	1	4
385	бы не	3	4
386	сравнению с	1	4
387	нет ничего	2	4
388	что мы	2	4
389	в греческой	1	4
390	то и	2	4
391	наконец в	1	4
392	по сравнению	1	4
393	впрочем и	1	4
394	каждый из	1	4
395	что же	6	4
396	к началу	1	4
397	в более	1	4
398	этой области	1	4
399	хотя в	2	4
400	в средней	1	4
401	у нас	4	4
402	все равно	2	4
403	а то	2	4
404	с их	2	4
405	времени и	7	4
406	что ему	1	4
407	или менее	2	4
408	в поле	1	4
409	мог бы	2	4
410	материал для	1	4
411	обстоит дело	1	4
412	и их	1	4
413	не следует	3	4
414	в пределах	3	4
415	далеко не	5	4
416	у нее	4	4
417	бы он	1	4
418	в остальном	1	4
419	нуждается в	1	4
420	для характеристики	1	4
421	из которой	2	4
422	в основе	6	4
423	во всем	1	3
424	исходя из	4	3
425	к этой	1	3
426	или по	1	3
427	до самого	1	3
428	в финале	4	3
429	за собой	1	3
430	в году	2	3
431	по себе	2	3
432	этим объясняется	1	3
433	более или	2	3
434	конечном счете	2	3
435	в соответствии	8	3
436	не столь	1	3
437	сам же	1	3
438	при всей	3	3
439	о любви	4	3
440	было в	2	3
441	видно что	2	3
442	человека не	1	3
443	и мысли	1	3
444	представления о	1	3
445	из жизни	3	3
446	между двумя	5	3
447	только на	2	3
448	на пути	1	3
449	людей и	1	3
450	от своего	2	3
451	путь к	1	3
452	ни одного	1	3
453	после начала	1	3
454	соответствии с	8	3
455	в нашем	9	3
456	же она	1	3
457	речь о	1	3
458	нет никаких	1	3
459	начала iv	1	3
460	о ней	4	3
461	из вас	1	3
462	теперь же	2	3
463	искать в	1	3
464	в герое	1	3
465	для них	3	3
466	и притом	3	3
467	в ожидании	1	3
468	отношения к	1	3
469	в таком	2	3
470	а его	3	3
471	в эту	1	3
472	на себе	1	3
473	а с	4	3
474	ли это	2	3
475	всего лишь	7	3
476	отношения с	1	3
477	первого и	3	3
478	следует признать	6	3
479	могла бы	3	3
480	он в	1	3
481	что ты	1	3
482	не один	2	3
483	действующего лица	1	3
484	их к	1	3
485	его отца	1	3
486	и есть	2	3
487	однако по	1	3
488	готовность к	1	3
489	мы видели	3	3
490	к одной	2	3
491	сообщения о	1	3
492	место среди	1	3
493	его с	2	3
494	для себя	2	3
495	представляют собой	3	3
496	о которой	4	3
497	интерес к	1	3
498	перед отцом	1	3
499	не могут	1	3
500	мы понимаем	1	3
501	до этого	2	3
502	как о	2	3
503	с ними	2	3
504	друг от	2	3
505	его и	1	3
506	совершенно не	2	3
507	и более	5	3
508	относится к	1	3
509	в город	1	3
510	и уже	1	3
511	чем они	1	3
512	переходит к	1	3
513	действия и	1	3
514	было и	2	3
515	состоит в	23	3
516	не совсем	1	3
517	если мы	1	3
518	ответа на	1	3
519	принадлежит к	3	3
520	за пределами	3	3
521	том же	1	3
522	они были	1	3
523	как к	1	3
524	ему в	2	3
525	бы на	1	3
526	с просьбой	1	3
527	своему происхождению	1	3
528	в виде	1	3
529	однако не	2	3
530	от друга	2	3
531	иначе обстоит	1	3
532	указывает на	2	3
533	с той	1	3
534	высшей степени	2	3
535	один и	1	3
536	сюжетной ситуации	1	3
537	полагать что	1	3
538	в каждой	1	3
539	должен быть	3	3
540	в одной	2	3
