N	2gram	Bakhtin_Fr	DiskursI
1	в качестве	5	72
2	а не	6	60
3	может быть	4	56
4	не только	23	49
5	и в	67	49
6	как и	19	47
7	при этом	5	46
8	и не	23	44
9	в том	16	44
10	то есть	49	41
11	в прозе	1	41
12	том что	13	40
13	в этом	27	38
14	в себе	3	37
15	в частности	4	36
16	но и	23	35
17	и т.п	31	32
18	своего рода	7	32
19	но не	6	31
20	отличие от	3	28
21	но в	20	28
22	так и	14	28
23	в отличие	3	27
24	не может	9	27
25	как в	4	25
26	еще не	5	23
27	в рамках	1	23
28	а также	4	20
29	в своей	6	19
30	все же	7	19
31	в нем	20	19
32	прежде всего	19	19
33	далеко не	6	18
34	в основе	6	18
35	то же	18	17
36	в данном	4	17
37	с другой	3	17
38	в мире	1	17
39	по отношению	1	17
40	отношению к	1	17
41	точки зрения	7	16
42	только в	6	16
43	о том	8	15
44	то что	9	15
45	роль в	5	15
46	в его	17	15
47	не менее	4	14
48	можно сказать	4	14
49	одной стороны	2	14
50	с одной	2	14
51	не в	8	14
52	это не	5	14
53	или иной	1	14
54	как бы	18	13
55	для него	4	13
56	в целом	2	13
57	в своих	1	12
58	при всей	1	12
59	в своем	13	12
60	того же	6	12
61	природе своей	1	12
62	и на	12	12
63	и все	18	12
64	данном случае	4	12
65	по природе	1	11
66	не было	3	11
67	столь же	1	11
68	что в	14	11
69	с его	11	11
70	и как	7	11
71	не столько	5	10
72	той или	1	10
73	а с	1	10
74	а в	4	10
75	же время	14	10
76	также и	11	10
77	и т.д	2	10
78	в них	12	9
79	уже не	1	9
80	себя в	1	9
81	между тем	3	9
82	в силу	1	9
83	в то	17	9
84	еще в	3	9
85	этого жанра	1	8
86	и даже	6	8
87	в соответствии	1	8
88	к тому	4	8
89	в котором	3	8
90	в одном	7	8
91	из них	5	8
92	хотя и	6	8
93	в себя	6	8
94	он не	9	8
95	если в	3	8
96	не на	1	8
97	жизни в	3	8
98	потому что	8	8
99	соответствии с	2	8
100	этом отношении	7	8
101	человека в	1	8
102	и о	8	8
103	о чем	5	7
104	другой стороны	2	7
105	с позиций	1	7
106	на сцене	1	7
107	таким образом	20	7
108	одной из	6	7
109	что и	8	7
110	тому же	5	7
111	его в	10	7
112	к этому	4	7
113	в этой	13	7
114	могут быть	1	7
115	например в	6	7
116	ни в	5	7
117	в процессе	1	7
118	приводит к	1	7
119	перед нами	6	7
120	той же	6	7
121	но это	10	7
122	и для	4	7
123	основе своей	1	7
124	нового времени	6	7
125	в пределах	2	7
126	лишь в	3	7
127	в ходе	1	7
128	и ее	2	7
129	и его	19	7
130	мира в	1	7
131	не как	3	6
132	одно из	2	6
133	в строгом	2	6
134	именно в	5	6
135	конечном счете	1	6
136	и того	1	6
137	времени в	2	6
138	одна из	1	6
139	никогда не	6	6
140	то в	3	6
141	с точки	5	6
