N	2gram	Vinokur_St	Narrotol
1	не только	36	62
2	и не	23	50
3	при этом	4	47
4	но и	28	45
5	а не	19	38
6	в качестве	7	35
7	в частности	6	31
8	может быть	16	30
9	и в	61	30
10	в том	56	29
11	в этом	37	28
12	тогда как	1	28
13	своего рода	7	28
14	том что	49	28
15	а в	18	27
16	такого рода	2	26
17	только в	11	25
18	в данном	16	24
19	как и	11	24
20	не в	15	23
21	то что	27	23
22	то есть	2	22
23	в тексте	12	22
24	не может	10	20
25	в себе	3	17
26	данном случае	7	17
27	так и	15	17
28	а также	4	17
29	со стороны	7	16
30	в его	19	16
31	к тому	9	15
32	можно сказать	2	15
33	но в	16	15
34	иначе говоря	1	15
35	и его	11	14
36	то же	7	13
37	в своей	12	13
38	уже не	1	13
39	о том	30	13
40	в своем	8	13
41	у него	3	13
42	времени и	4	13
43	все же	12	12
44	на протяжении	1	12
45	как в	15	12
46	перед нами	1	12
47	как бы	8	12
48	прежде всего	11	12
49	по отношению	3	11
50	об этом	9	11
51	хотя и	4	11
52	если бы	11	11
53	и тем	3	11
54	в этой	13	11
55	в нем	9	11
56	героя в	1	11
57	в отличие	1	11
58	отличие от	1	11
59	тем самым	2	11
60	отношению к	3	11
61	один из	1	10
62	как правило	2	10
63	никогда не	7	10
64	тому же	2	10
65	точки зрения	16	10
66	между тем	7	10
67	как это	6	10
68	в то	10	10
69	и все	3	10
70	не является	5	10
71	жизни и	6	10
72	с его	3	10
73	ничего не	6	10
74	того что	14	10
75	но не	5	10
76	в соответствии	1	9
77	как раз	10	9
78	тем не	4	9
79	той или	1	9
80	я в	1	9
81	столь же	5	9
82	что в	41	9
83	что он	23	9
84	еще не	4	9
85	потому что	13	9
86	для него	10	9
87	далеко не	1	9
88	в той	9	8
89	и к	5	8
90	в самом	14	8
91	в таком	4	8
92	о чем	4	8
93	по мысли	1	8
94	не менее	8	8
95	не мог	3	8
96	одна из	1	8
97	он не	11	8
98	действующих лиц	1	8
99	и он	2	8
100	самом деле	14	8
101	того чтобы	15	8
102	внимание на	5	8
103	мы имеем	2	8
104	же время	5	8
105	соответствии с	1	8
106	и для	4	8
107	этом отношении	13	8
108	у нас	12	8
109	но при	1	8
110	или иной	1	8
111	а во	3	7
112	в котором	11	7
113	с другой	11	7
114	едва ли	1	7
115	в ее	6	7
116	на себя	3	7
117	в конце	5	7
118	в чем	4	7
119	и на	7	7
120	в форме	2	7
121	же в	1	7
122	это не	8	7
123	в глазах	1	7
124	или в	1	7
125	также и	10	7
126	в ней	9	7
127	в целом	5	7
128	все что	1	6
129	в результате	5	6
130	например в	8	6
131	двух или	1	6
132	сказать что	9	6
133	в нашем	1	6
134	на него	3	6
135	имеем дело	2	6
136	о ней	1	6
137	то в	3	6
138	что у	8	6
139	с одной	3	6
140	что и	8	6
141	могло бы	3	6
142	на другой	1	6
143	в случае	2	6
144	не могла	2	6
145	в современной	1	6
146	известном смысле	1	6
147	однако в	1	6
148	однако и	2	6
149	во втором	5	6
150	таким образом	16	6
151	представляют собой	1	6
152	никак не	1	6
153	к его	2	6
154	в слове	5	6
155	в известном	3	6
156	то и	1	6
157	из этих	7	6
158	в сознании	2	6
159	здесь не	1	6
160	ответ на	4	6
161	они не	2	6
162	о нем	1	6
163	как у	1	6
164	слова в	1	6
165	не по	5	6
166	одной стороны	2	6
167	на то	5	6
168	вплоть до	6	6
169	особое место	1	5
170	дело с	2	5
171	не столько	6	5
172	в своих	2	5
173	и даже	8	5
174	и сам	4	5
175	именно в	8	5
176	а именно	3	5
177	в другом	5	5
178	для того	15	5
179	не всегда	2	5
180	о них	3	5
