N	2gram	Bakhtin_fo	KulturaY
1	и т	21	143
2	т п	18	93
3	и в	84	84
4	в том	16	74
5	потому что	11	68
6	не только	16	60
7	точки зрения	14	59
8	в этом	41	57
9	было бы	2	53
10	и не	19	52
11	может быть	18	47
12	что в	9	44
13	том что	7	44
14	того чтобы	11	44
15	т д	3	42
16	в самом	9	41
17	для того	12	41
18	у нас	2	38
19	хотя бы	2	37
20	самом деле	2	37
21	так как	12	36
22	с точки	9	36
23	в области	1	34
24	таким образом	14	33
25	а не	7	33
26	если бы	6	32
27	не в	10	30
28	и пр	2	30
29	в его	19	30
30	прежде всего	28	30
31	все же	12	29
32	того что	5	28
33	все эти	12	28
34	уже не	5	26
35	то что	13	25
36	вовсе не	20	25
37	не может	8	25
38	вопрос о	2	24
39	с другой	4	24
40	еще не	8	24
41	то же	18	23
42	с помощью	5	23
43	только в	12	23
44	так и	17	23
45	по себе	3	20
46	во всяком	5	20
47	и что	1	20
48	но и	14	20
49	тем что	4	19
50	о том	4	19
51	речи в	2	19
52	что он	2	19
53	зависимости от	1	19
54	всяком случае	1	19
55	но в	16	19
56	и с	10	18
57	с тем	5	18
58	к тому	6	18
59	в сущности	5	18
60	в качестве	6	18
61	связи с	14	18
62	между тем	1	18
63	вместе с	9	18
64	как бы	11	18
65	все это	10	18
66	в той	5	17
67	другой стороны	1	17
68	как это	2	17
69	что это	1	17
70	слова и	4	17
71	как раз	13	17
72	это не	8	17
73	в виду	5	16
74	в зависимости	1	16
75	что и	5	16
76	что не	3	16
77	тот же	4	16
78	ничего не	9	16
79	в русском	1	16
80	но не	9	16
81	при этом	8	15
82	именно в	5	15
83	в данном	4	15
84	как на	2	15
85	в нашем	3	15
86	не было	8	15
87	и тем	1	15
88	один из	5	15
89	по отношению	3	15
90	ни к	3	15
91	целый ряд	2	15
92	а в	6	15
93	лишь в	8	15
94	должно быть	6	15
95	в них	11	14
96	и на	13	14
97	сказать что	4	14
98	хотя и	5	14
99	в связи	13	14
100	я не	1	14
101	сих пор	4	14
102	в ней	4	14
103	до сих	4	14
104	если мы	2	14
105	как мы	19	14
106	мы имеем	2	14
107	также и	6	14
108	отношению к	5	14
109	между прочим	1	13
110	в этой	3	13
111	там где	4	13
112	не могут	4	13
113	в которых	4	13
114	той же	2	13
115	для нас	2	13
116	это и	1	13
117	по существу	17	13
118	в пределах	8	13
119	и его	26	13
120	с этой	3	12
121	говорить о	1	12
122	в результате	6	12
123	того же	9	12
124	ясно что	2	12
125	а только	2	12
126	этот вопрос	1	12
127	могут быть	7	12
128	тогда когда	2	12
129	как в	10	12
130	этого слова	2	12
131	однако не	2	12
132	те же	5	11
133	должен быть	2	11
134	в своем	8	11
135	на себе	1	11
136	он не	6	11
137	в нем	28	11
138	и здесь	2	11
139	должна быть	1	11
140	и то	5	11
141	еще и	3	11
142	совершенно не	3	11
143	из этих	5	11
144	этом отношении	5	11
145	уже в	5	11
146	в их	9	11
147	в таких	2	11
148	или иной	4	11
149	в особенности	15	10
150	как и	15	10
151	так же	7	10
152	конечно не	7	10
153	к этому	5	10
154	несмотря на	1	10
155	бы в	1	10
156	ту же	4	10
157	в общем	1	10
158	в то	13	10
159	в каком	2	10
160	в письмах	1	10
161	с этим	11	10
162	они не	4	10
163	бы и	1	10
164	на фоне	3	10
165	тем более	4	10
166	тех же	2	10
167	в своей	2	9
168	можно сказать	2	9
169	что все	4	9
170	в которой	3	9
171	но для	2	9
172	рядом с	4	9
173	здесь не	5	9
174	мы говорим	1	9
175	и есть	3	9
176	слова как	1	9
177	ни в	9	9
178	не имеет	5	9
179	что мы	2	9
180	но это	1	9
181	и для	12	9
182	и вот	2	9
183	этого рода	1	9
184	а также	5	9
185	но уже	1	9
186	на то	1	9
187	в целом	2	9
188	своего рода	1	8
189	в этих	6	8
190	но все	6	8
191	что они	3	8
192	по преимуществу	4	8
193	с одной	5	8
194	это слово	1	8
195	тому же	2	8
196	в таком	4	8
197	тому что	1	8
198	в чем	3	8
199	смысл и	1	8
200	в своих	1	8
201	в тех	1	8
202	отнюдь не	7	8
203	мы видели	2	8
204	был бы	3	8
205	да и	4	8
206	то и	1	8
207	с его	10	8
208	этом случае	1	8
209	независимо от	1	8
210	на самом	1	8
211	и как	12	8
212	об этом	3	8
213	в частности	11	8
214	далеко не	3	8
215	и о	1	8
216	же в	6	8
217	что на	3	8
218	же и	2	7
219	например в	7	7
220	всякого рода	3	7
221	нам не	1	7
222	в котором	8	7
223	в одном	10	7
224	свою очередь	1	7
225	была бы	2	7
226	указать на	2	7
227	на том	1	7
228	внимание на	2	7
229	учение о	1	7
230	так сказать	14	7
231	к вопросу	2	7
232	не значит	1	7
233	одной стороны	3	7
234	в процессе	4	7
235	и должно	2	7
236	с ним	5	7
237	сводится к	1	7
238	как о	1	7
239	с ними	1	7
240	и более	3	7
241	когда мы	2	7
242	идет о	2	7
243	в свою	2	7
244	в истории	6	7
245	до конца	5	7
246	на этот	1	7
247	в самой	3	7
248	в поэзии	2	7
249	все равно	1	7
250	смысле этого	1	7
251	лишь с	1	7
252	есть в	3	7
253	нисколько не	1	7
254	и потому	4	7
255	она не	2	7
256	не знает	4	7
257	когда он	1	7
258	что касается	1	7
259	как он	4	7
260	не следует	1	7
261	были бы	1	6
262	в числе	1	6
263	в корне	2	6
264	в соответствии	2	6
265	только для	2	6
266	отличается от	1	6
267	на этой	4	6
268	что как	1	6
269	по поводу	1	6
270	она есть	1	6
271	гораздо более	1	6
272	в ее	6	6
273	не столько	2	6
274	п но	1	6
275	прежде чем	3	6
276	от этого	4	6
277	той или	3	6
278	могли бы	1	6
279	на этом	2	6
280	так называемые	1	6
281	должны быть	2	6
282	внутренняя форма	1	6
283	за пределы	1	6
284	главным образом	1	6
285	его к	2	6
286	романа в	7	6
287	не на	4	6
288	разумеется не	1	6
289	оно не	3	6
290	если не	3	6
291	этой точки	1	6
292	перед нами	1	6
293	роль в	12	6
294	на основе	5	6
295	что если	1	6
296	же время	13	6
297	в отличие	3	6
298	соответствии с	2	6
299	тем же	3	6
300	в себе	7	6
301	что оно	1	6
302	данном случае	2	6
303	мы не	4	6
304	или в	3	6
305	может иметь	1	6
306	отличие от	3	6
307	что значит	1	6
308	дело не	1	6
309	п в	1	6
310	говоря о	1	6
311	чтобы не	1	6
312	приводит к	1	6
313	которые в	2	6
314	на себя	2	6
315	нуждается в	1	6
316	же это	1	6
317	и к	4	5
318	данном отношении	1	5
319	очень много	1	5
320	говорить и	1	5
321	еще более	7	5
322	формы в	1	5
323	не как	2	5
324	нас в	3	5
325	но что	1	5
326	и даже	5	5
327	и того	7	5
328	в другом	2	5
329	связь между	2	5
330	и еще	3	5
331	вопросу о	3	5
332	ни одного	1	5
333	могло бы	1	5
334	кроме того	7	5
335	точка зрения	4	5
336	никогда не	8	5
337	и он	3	5
338	на протяжении	3	5
339	к себе	8	5
340	время в	7	5
341	чем в	3	5
342	живет и	1	5
343	в конце	11	5
344	я и	1	5
345	в двух	1	5
346	и у	8	5
347	у него	8	5
348	здесь как	3	5
349	но как	1	5
350	и является	2	5
351	в форме	5	5
352	бы уже	1	5
353	в иных	1	5
354	так что	4	5
355	всех этих	9	5
356	одного и	6	5
357	смысле слова	4	5
358	и при	1	5
359	мы в	1	5
360	интерес к	1	5
361	из того	1	5
362	в отношении	5	5
363	конечно и	5	5
364	широком смысле	3	5
365	то он	1	5
366	и тогда	1	5
367	смысл который	1	5
368	бы на	1	5
369	а это	1	5
370	п все	1	5
371	и от	3	5
372	мы находим	2	5
373	а на	1	5
374	слово в	1	5
375	более что	2	5
376	так в	2	5
377	по своему	3	5
378	для нашей	1	5
379	и их	11	5
380	говорим о	1	5
381	мы должны	2	5
382	как не	1	5
383	пр и	1	5
384	лишь как	3	5
385	что можно	1	5
386	отношение к	5	5
387	в каких	1	5
388	и только	3	5
389	вопросом о	1	5
390	есть не	4	5
391	мы и	4	4
392	случае мы	1	4
393	о чем	4	4
394	одно из	3	4
395	как они	1	4
396	как об	1	4
397	зрения на	1	4
398	представление о	1	4
399	как только	1	4
400	к этой	1	4
401	мы увидим	2	4
402	увидим что	1	4
403	в различных	2	4
404	уже и	1	4
405	до того	1	4
406	всего этого	3	4
407	право говорить	1	4
408	на те	1	4
409	как я	1	4
