N	2gram	Tiupa_Narr	Otkroven
1	о человеке	1	29
2	у него	13	22
3	и в	22	19
4	и не	34	13
5	но и	39	13
6	в этом	23	12
7	человека в	2	11
8	а не	27	11
9	не только	50	11
10	не в	12	11
11	может быть	24	11
12	вопрос о	1	10
13	и все	7	10
14	в нем	9	10
15	к человеку	1	9
16	потому что	7	9
17	в человеке	2	9
18	прежде всего	7	9
19	не было	3	9
20	в самой	1	9
21	никогда не	8	9
22	и он	8	8
23	он был	1	8
24	в его	12	7
25	он не	8	7
26	но он	2	7
27	лишь в	3	7
28	до конца	2	7
29	человек не	1	7
30	все это	1	6
31	как и	15	6
32	в самом	8	5
33	достоевского и	2	5
34	в творчестве	1	5
35	в том	20	5
36	для него	8	5
37	в этой	8	5
38	а в	19	5
39	человеке в	2	5
40	отношение к	2	5
41	о его	3	5
42	то что	14	5
43	человеку и	1	5
44	что в	6	4
45	и мысли	1	4
46	того чтобы	7	4
47	не может	16	4
48	него и	1	4
49	человеческих отношений	2	4
50	что не	2	4
51	в самую	2	4
52	человек и	2	4
53	все эти	3	4
54	на земле	1	4
55	и его	12	4
56	он сам	4	4
57	о бессмертии	1	4
58	с его	6	4
59	только одно	1	3
60	в русской	3	3
61	и от	3	3
62	все что	4	3
63	что человек	1	3
64	и вот	2	3
65	хотя бы	4	3
66	это за	2	3
67	это не	6	3
68	для того	4	3
69	с ним	6	3
70	мысли и	1	3
71	когда он	1	3
72	он лишь	1	3
73	быть может	1	3
74	в этих	3	3
75	не могут	1	3
76	в своих	2	3
77	как бы	11	3
78	было бы	2	3
79	человека его	1	3
80	могут быть	1	3
81	в себе	14	3
82	и есть	1	3
83	что он	7	3
84	никто не	1	3
85	различие между	1	3
86	это было	3	3
87	и ее	3	3
88	о том	5	3
89	того что	7	3
90	к нему	5	3
91	еще не	6	3
92	и к	7	2
93	как к	3	2
94	и потому	2	2
95	так и	12	2
96	что они	1	2
97	и то	3	2
98	человека есть	2	2
99	но никогда	1	2
100	в душе	3	2
101	все же	10	2
102	что у	6	2
103	не могли	1	2
104	он восклицает	1	2
105	так как	1	2
106	за все	1	2
107	должно быть	1	2
108	к этой	1	2
109	к ней	3	2
110	его не	1	2
111	уже в	1	2
112	ничто не	1	2
113	любовь к	1	2
114	в другом	5	2
115	так что	1	2
116	в своем	7	2
117	с тем	1	2
118	с которой	1	2
119	в которой	2	2
120	ее в	1	2
121	о которой	3	2
122	не все	2	2
123	одно из	2	2
124	что и	3	2
125	кажется и	1	2
126	от самого	1	2
127	у кого	1	2
128	в уста	1	2
129	можно ли	1	2
130	его в	1	2
131	должен был	1	2
132	их не	1	2
133	мысль о	1	2
134	вместо того	1	2
135	и с	3	2
136	было для	1	2
137	и о	4	2
138	природы и	1	2
139	сказать что	5	2
140	что для	1	2
141	тем что	1	2
142	и много	1	2
143	и на	5	2
144	в других	2	2
145	же можно	1	2
146	что все	1	2
147	ничего не	8	2
148	хотя и	8	2
149	в своей	8	2
150	момент в	1	2
151	жизни в	7	2
152	по себе	4	2
153	не имеет	3	2
154	о любви	1	2
155	к этому	2	2
156	ни у	1	2
157	сразу же	1	2
158	том что	15	2
159	и для	4	2
160	в ее	4	2
161	своей жизни	2	2
162	но в	10	2
163	и нет	1	2
164	чтобы сделать	1	1
165	что было	1	1
166	ближе к	1	1
167	во всем	1	1
168	к одному	1	1
169	это от	1	1
170	глаза что-то	1	1
171	чувствует и	2	1
172	во всяком	2	1
173	бросается в	1	1
174	лет назад	1	1
175	он указывает	1	1
176	его и	2	1
177	сказать про	1	1
178	во внешнем	1	1
179	совершенно не	1	1
180	смерть и	1	1
181	в потоке	1	1
182	том случае	1	1
183	а потому	2	1
184	ее и	1	1
185	лишь к	1	1
186	для его	1	1
187	а с	2	1
188	не существует	3	1
189	в центре	4	1
190	романы толстого	1	1
191	все его	4	1
192	и всякий	1	1
193	устремленного к	1	1
194	один из	8	1
195	которым он	1	1
196	в котором	3	1
197	и здесь	3	1
198	та же	2	1
199	по природе	1	1
200	тот сам	1	1
201	после этого	1	1
202	и состоит	6	1
203	его существование	1	1
204	я верю	1	1
205	они и	2	1
206	про него	1	1
207	и наказание	1	1
208	ней не	1	1
209	и лишь	2	1
210	христа в	1	1
211	бытия но	1	1
212	которым можно	1	1
213	знаменательно что	1	1
214	случае если	1	1
215	он выступает	1	1
216	в пределе	2	1
217	но о	1	1
218	того как	1	1
219	к одной	1	1
220	жизни а	4	1
221	в первый	1	1
222	собой в	1	1
223	образом их	1	1
224	она не	2	1
225	том как	3	1
226	должна быть	2	1
227	мы не	5	1
228	не могу	2	1
229	но еще	1	1
230	что сама	1	1
231	всего мира	1	1
232	еще более	1	1
233	жизнь а	1	1
234	также и	4	1
235	но не	7	1
236	отношениях к	1	1
237	по сравнению	1	1
238	это все	1	1
239	природе своей	1	1
240	души человеческой	1	1
241	из жизни	1	1
242	не по	5	1
243	представляет собой	21	1
244	образ и	1	1
245	быть не	3	1
246	от которого	3	1
247	в ней	5	1
248	глубину как	1	1
249	из всех	1	1
250	и дело	2	1
251	человека как	2	1
252	самому себе	1	1
253	что это	4	1
254	и тогда	2	1
255	речи и	1	1
256	этом отношении	5	1
257	один человек	1	1
258	может служить	5	1
259	жизни есть	1	1
260	всяком случае	2	1
261	он и	2	1
262	о чем	6	1
263	их жизни	1	1
264	сознания в	3	1
265	в свое	1	1
266	в сущности	2	1
267	действующих лиц	8	1
268	для художника	1	1
269	сам по	1	1
270	у его	1	1
271	его собственным	1	1
272	в частности	23	1
273	говорит о	3	1
274	как это	7	1
275	о нем	5	1
276	между двумя	6	1
277	люди с	1	1
278	строгом смысле	1	1
279	и откровения	2	1
280	проникновения в	2	1
281	чем у	1	1
282	что только	1	1
283	как у	6	1
284	идти в	1	1
285	со стороны	14	1
286	и через	2	1
287	своих героев	2	1
288	не с	1	1
289	отношении к	1	1
290	верю в	1	1
291	за собой	1	1
292	всего его	1	1
293	и ему	1	1
294	и что	1	1
295	в одном	5	1
296	на самом	1	1
297	у нас	4	1
298	его характер	2	1
299	в отношении	1	1
300	можно было	2	1
301	людей и	2	1
302	оказывается что	1	1
303	заключает в	2	1
304	свой особый	1	1
305	мира по	1	1
306	в строгом	3	1
307	и когда	3	1
