N	3gram	Medvedev_F	Poddanst
1	то же время	13	7
2	в то же	13	7
3	в отношении к	1	5
4	в том что	3	4
5	в гораздо большей	1	4
6	гораздо большей степени	1	4
7	сами по себе	4	3
8	экономического и политического	1	3
9	с точки зрения	17	3
10	с одной стороны	5	3
11	но и в	4	2
12	заключается в том	1	2
13	г и о	1	2
14	и в то	4	2
15	в том числе	1	2
16	одной стороны и	4	2
17	и т д	11	1
18	как она есть	1	1
19	с тем же	1	1
20	и в частности	2	1
21	чуть ли не	1	1
22	только это не	1	1
23	вместе с тем	5	1
24	но в то	3	1
25	прежде всего мы	1	1
26	в отрыве от	2	1
27	и тем самым	2	1
28	в применении к	4	1
29	том числе и	1	1
30	мы знаем что	1	1
31	не может быть	11	1
32	и не менее	3	1
33	та или иная	1	1
34	в большинстве случаев	5	1
35	как одна из	1	1
36	в ней и	2	1
37	в отличие от	2	1
38	в отдельности и	1	1
39	можно говорить о	1	1
40	в этом смысле	3	1
41	по сравнению с	1	1
42	настоящее время в	3	1
43	и пр в	1	1
44	в собственном смысле	1	1
45	но в этом	2	1
46	во всей полноте	1	1
47	хотя бы и	1	1
48	главным образом на	2	1
49	и чем глубже	1	1
50	между тем в	1	1
51	же время в	1	1
52	во всяком случае	6	1
53	для того чтобы	3	1
54	можно думать что	1	1
55	гоголь и достоевский	1	1
56	с другой стороны	4	1
57	бы она ни	3	1
58	все это в	1	1
59	и не может	5	1
60	не в том	3	1
61	в настоящее время	11	1
62	но для каждого	1	1
63	этой последней в	1	1
64	более или менее	7	1
65	так же как	1	1
66	до тех пор	1	1
67	сменяют друг друга	2	1
68	тот или иной	1	1
69	или хотя бы	1	1
70	и в какой	2	1
71	и в этом	6	1
