N	2gram	Propp_Morf	RusskieA
1	и в	17	79
2	в том	10	64
3	том что	7	59
4	что в	10	57
5	т е	25	54
6	не только	8	41
7	а а	2	40
8	во время	6	38
9	так как	20	34
10	и другие	6	33
11	в этом	18	33
12	состоит в	3	32
13	как бы	6	31
14	но и	9	31
15	в других	5	30
16	как и	4	28
17	и на	1	28
18	может быть	61	28
19	в этот	1	26
20	а н	1	25
21	одна из	5	24
22	о том	6	23
23	и т	62	23
24	при этом	1	22
25	в поле	5	22
26	т д	60	21
27	там же	1	20
28	это не	6	20
29	а в	8	20
30	как мы	8	20
31	из них	4	19
32	представляют собой	16	18
33	все это	2	18
34	с тем	2	17
35	таким образом	26	17
36	то что	10	17
37	об этом	5	17
38	показывает что	1	17
39	потому что	7	17
40	д к	1	17
41	во многих	1	16
42	мы не	8	16
43	или на	3	15
44	один из	7	15
45	в них	1	14
46	и с	1	14
47	не менее	7	14
48	тем не	7	14
49	как это	7	14
50	и что	3	14
51	и не	16	14
52	для нас	2	14
53	у нас	3	14
54	уже не	4	13
55	к этому	4	13
56	в некоторых	4	13
57	так что	1	13
58	и по	3	13
59	как в	5	13
60	в которых	2	13
61	еще не	4	13
62	не может	19	13
63	тем что	4	12
64	между собой	5	12
65	этом случае	10	12
66	мы имеем	19	12
67	в виде	3	12
68	а затем	10	11
69	мы увидим	10	11
70	в лесу	2	11
71	следующим образом	4	11
72	не имеет	2	11
73	но это	6	11
74	а на	3	11
75	далеко не	5	11
76	все же	9	10
77	так например	3	10
78	представляет собой	17	10
79	его в	4	10
80	между тем	5	10
81	что и	10	10
82	в течение	1	10
83	так и	10	10
84	или в	6	10
85	а также	7	10
86	по существу	13	10
87	то же	10	9
88	о чем	1	9
89	на части	1	9
90	видно что	5	9
91	что они	5	9
92	и все	1	9
93	данном случае	2	9
94	того как	2	9
95	но в	4	9
96	в г	1	9
97	но не	8	9
98	одно из	1	8
99	в этих	17	8
100	так же	4	8
101	связи с	12	8
102	и обрядов	1	8
103	во всех	6	8
104	что это	3	8
105	подобно тому	6	8
106	их в	2	8
107	в россии	2	8
108	того чтобы	4	8
109	как например	2	8
110	того что	3	8
111	ее в	3	8
112	в данном	2	8
113	не все	6	8
114	как уже	3	8
115	тому как	5	8
116	для того	3	8
117	же в	3	8
118	в это	1	7
119	настоящее время	3	7
120	в лес	7	7
121	к нему	3	7
122	а и	3	7
123	не в	3	7
124	а с	2	7
125	не совсем	1	7
126	было бы	5	7
127	главным образом	5	7
128	только в	3	7
129	с этого	2	7
130	еще в	1	7
131	это время	1	7
132	связанные с	1	7
133	из этих	2	7
134	а не	11	7
135	в деревне	1	7
136	в настоящее	3	7
137	ничего не	5	7
138	не можем	1	7
139	иногда и	2	7
140	животных и	3	7
141	и как	6	7
142	предположить что	1	7
143	мы должны	3	7
144	как будто	2	7
145	в эти	1	7
146	с собой	3	6
147	к тому	5	6
148	что этот	2	6
149	выше мы	1	6
150	не всегда	10	6
151	только на	1	6
152	но они	2	6
153	в одном	2	6
154	что она	2	6
155	после того	1	6
156	в качестве	8	6
157	чем в	2	6
158	в таком	1	6
159	тому что	5	6
160	также в	2	6
161	и у	3	6
162	и сл	1	6
163	на этом	4	6
164	н веселовский	1	6
165	после чего	2	6
166	в этой	3	6
167	в в	2	6
168	с ними	1	6
169	приводит к	3	6
170	и более	2	6
171	что здесь	1	6
172	друг друга	3	6
173	и пр	45	6
174	в первый	1	6
175	не будем	5	6
176	или с	3	6
177	в их	1	6
178	верхом на	1	6
179	все эти	5	6
180	так в	1	6
181	она не	2	6
182	но она	1	6
183	и их	3	6
184	при изучении	1	6
185	и к	4	5
186	нас к	1	5
187	стоит в	1	5
188	некоторые другие	1	5
189	например в	2	5
190	только для	2	5
191	к земле	1	5
192	тогда как	2	5
193	г в	1	5
194	с этим	14	5
195	вопрос о	10	5
196	рассматриваться как	3	5
197	входит в	4	5
198	с другой	9	5
199	что от	1	5
200	как объяснить	1	5
201	в связи	10	5
202	такие же	1	5
203	из воды	1	5
204	земле и	1	5
205	мы уже	4	5
206	на новый	1	5
207	или же	7	5
208	в тех	8	5
209	можно было	4	5
210	и др	12	5
211	чаще всего	11	5
212	там где	5	5
213	в то	4	5
214	прежде всего	14	5
215	в особенности	1	5
216	его с	1	5
217	к таким	1	5
218	что он	5	5
219	ничего общего	1	5
220	в свою	1	5
221	к себе	2	5
222	или вообще	2	5
223	заметить что	11	5
224	но если	10	5
225	и для	4	5
226	тот же	1	5
227	в его	1	5
228	вывод что	2	5
229	на самом	4	5
230	за этим	1	5
231	не с	2	5
232	этих случаях	15	5
233	их на	2	5
234	в целом	5	5
235	вплоть до	1	5
236	во всем	1	4
237	или по	2	4
238	кроме того	3	4
239	обычаев и	1	4
240	большое количество	1	4
241	не столько	1	4
242	этого момента	3	4
243	как они	2	4
244	в своих	2	4
245	но все	4	4
246	именно в	1	4
247	во всяком	2	4
248	некоторые из	3	4
249	в котором	1	4
250	но эти	3	4
251	из земли	1	4
252	не что	2	4
253	в глаза	2	4
254	во всей	1	4
255	идут в	1	4
256	что иное	2	4
257	она в	2	4
258	несмотря на	4	4
259	но он	1	4
260	которое в	1	4
261	в руки	4	4
262	нет но	2	4
263	здесь мы	3	4
264	тем и	2	4
265	этот вопрос	4	4
266	но есть	3	4
267	могут быть	21	4
268	в доме	2	4
269	означает что	3	4
270	многие другие	1	4
271	и здесь	7	4
272	та же	3	4
273	за ним	1	4
274	они и	5	4
275	если в	7	4
276	и при	3	4
277	и другим	3	4
278	не на	2	4
279	то время	3	4
280	вряд ли	2	4
281	этому же	1	4
282	бросается в	1	4
283	он же	1	4
284	в основе	2	4
285	в круг	2	4
286	где есть	1	4
287	в середине	2	4
288	на землю	1	4
289	и до	1	4
290	и а	1	4
291	и там	1	4
292	в образе	6	4
293	всяком случае	2	4
294	и многие	1	4
295	его и	2	4
296	в таких	3	4
297	такой же	1	4
298	по своему	2	4
299	отличие от	1	4
300	дело не	2	4
301	к тем	1	4
302	ф и	2	4
303	к ней	3	4
304	которые в	1	4
305	и ее	5	4
306	можно будет	3	4
307	и тогда	3	4
308	других случаях	2	4
309	таким же	1	4
310	иное как	2	4
311	с религией	1	4
312	все что	1	3
313	к другу	2	3
314	можно говорить	1	3
315	же и	1	3
316	которые не	1	3
317	совершенно очевидно	1	3
318	в какой	3	3
319	в виду	1	3
320	церковь и	1	3
321	более или	2	3
322	на которых	1	3
323	из самых	1	3
324	есть в	1	3
325	или другие	1	3
326	а именно	1	3
327	е на	1	3
328	на первый	3	3
329	или ее	2	3
330	нами выше	1	3
331	сразу же	2	3
332	может рассматриваться	1	3
333	он был	1	3
334	только как	1	3
335	увидим что	2	3
336	в различных	2	3
337	по отношению	7	3
338	ее по	3	3
339	и те	1	3
340	что ее	1	3
341	свою очередь	1	3
342	как на	1	3
343	на которой	1	3
344	носит характер	2	3
345	находится в	1	3
346	что все	1	3
347	точки зрения	7	3
348	что именно	2	3
349	какой степени	1	3
350	для этой	3	3
351	содержится в	1	3
352	это сходство	1	3
353	с одной	2	3
354	на него	4	3
355	хотя и	5	3
356	в ее	1	3
357	или не	3	3
358	в которой	3	3
359	и некоторые	1	3
360	из приведенных	3	3
361	их по	4	3
362	большинстве случаев	3	3
363	в области	1	3
364	и это	1	3
365	в эту	1	3
366	сих пор	1	3
367	человека а	1	3
368	в русской	1	3
369	на другой	1	3
370	но можно	1	3
371	домой и	1	3
372	сюда же	5	3
373	совсем не	3	3
374	можно сделать	2	3
375	в форме	6	3
376	на улицу	1	3
377	возможно что	1	3
378	его к	1	3
379	в окно	1	3
380	всех этих	1	3
381	раньше чем	5	3
382	до сих	1	3
383	друг к	2	3
384	из таких	2	3
385	из которых	5	3
386	ниже в	2	3
387	независимо от	4	3
388	если бы	3	3
389	их и	1	3
390	в своей	1	3
391	можно назвать	3	3
392	относятся к	2	3
393	том как	2	3
394	на другие	2	3
395	так чтобы	1	3
396	с точки	6	3
397	в отдельности	1	3
398	тех пор	1	3
399	значение и	3	3
400	этот случай	7	3
401	и наоборот	4	3
402	из наиболее	1	3
403	на этот	2	3
404	здесь не	3	3
405	довольно много	1	3
406	по происхождению	1	3
407	увидим ниже	6	3
408	в другое	1	3
409	говорилось выше	1	3
410	и то	1	3
411	№ в	1	3
412	по очереди	2	3
413	и этим	7	3
414	это и	3	3
415	такое же	1	3
416	что с	1	3
417	же не	1	3
418	с другими	2	3
419	между собою	2	3
420	можно предположить	1	3
421	на все	1	3
422	по его	1	3
423	или менее	2	3
424	в одной	2	3
425	так называемой	1	3
426	быть и	2	3
427	что касается	1	3
428	есть и	4	3
429	как он	1	3
430	уже видели	2	3
431	думать что	1	3
432	в большинстве	3	3
433	на других	1	3
434	отношению к	7	3
435	на то	3	3
436	и его	3	3
437	и другое	1	3
438	это на	1	2
439	от него	2	2
440	правильным но	1	2
441	они их	1	2
442	не единственный	1	2
443	к этой	1	2
444	научной литературе	2	2
445	с этой	3	2
446	тем как	1	2
447	дает описание	1	2
448	не нужны	1	2
449	не как	1	2
450	которые по	1	2
451	например с	2	2
452	другой стороны	5	2
453	на основании	1	2
454	характере этого	1	2
455	этим объясняется	1	2
456	на свой	1	2
457	от одного	1	2
458	ни одна	4	2
459	из нее	1	2
460	равно как	1	2
461	если он	2	2
462	принадлежат к	1	2
463	в числе	2	2
464	уже указано	1	2
465	на эту	1	2
466	представляли собой	1	2
467	когда в	2	2
468	в момент	1	2
469	но мы	3	2
470	сделать из	2	2
471	можно сказать	2	2
472	во все	1	2
473	можно считать	1	2
474	в настоящей	1	2
475	что земля	1	2
476	в приведенных	1	2
477	тем временем	2	2
478	одной стороны	2	2
479	другу и	2	2
480	или дерева	1	2
481	оно как	2	2
482	этой связи	1	2
483	между двумя	1	2
484	на некотором	1	2
485	говорить о	4	2
486	и когда	2	2
487	е годы	1	2
488	они идут	1	2
489	был известен	1	2
490	так называемых	2	2
491	с другим	1	2
492	по всему	3	2
493	не связаны	1	2
494	сказать что	4	2
495	тех случаях	2	2
496	в сказке	27	2
497	в нашем	6	2
498	это так	2	2
499	только во	1	2
500	который в	2	2
501	же происходит	2	2
502	в противном	1	2
503	друг с	1	2
504	но так	2	2
505	имеется довольно	1	2
506	к различным	2	2
507	на шею	1	2
508	мы видим	15	2
509	собой и	1	2
510	не противоречит	1	2
511	должно быть	1	2
512	время и	1	2
513	собой в	2	2
514	наших целей	2	2
515	что при	3	2
516	что такое	3	2
517	и за	2	2
518	многих отношениях	1	2
519	там и	1	2
520	у него	2	2
521	будет ниже	1	2
522	ряду с	1	2
523	они представляют	1	2
524	как по	1	2
525	одним из	2	2
526	иные формы	2	2
527	как его	1	2
528	на берег	2	2
529	сложное явление	1	2
530	на тот	1	2
531	между ними	1	2
532	дома в	2	2
533	но иногда	1	2
534	между прочим	1	2
535	основная форма	1	2
536	к вопросу	2	2
537	из одного	1	2
538	в чем	2	2
539	могло бы	1	2
540	в каждом	1	2
541	о происхождении	2	2
542	мы можем	5	2
543	области изучения	1	2
544	не означает	2	2
