N	3gram	Tiupa_Disk	VLabPisa
1	в этом отношении	4	14
2	не может быть	5	8
3	с другой стороны	4	8
4	по отношению к	13	7
5	более или менее	2	6
6	в том что	18	5
7	в конечном счете	2	5
8	хотя бы и	1	5
9	в то же	7	5
10	то же время	9	5
11	вместе с тем	1	4
12	равно как и	1	4
13	можно сказать что	3	4
14	можно утверждать что	1	4
15	не могут быть	1	4
16	в связи с	1	4
17	в творческой практике	1	3
18	большей или меньшей	2	3
19	о том как	1	3
20	о том что	8	3
21	подобно тому как	4	3
22	и в то	2	3
23	та или иная	1	3
24	это и есть	1	3
25	в своем творчестве	1	3
26	следует понимать как	1	2
27	одной стороны и	3	2
28	и том же	1	2
29	во всяком случае	2	2
30	в том чтобы	2	2
31	по крайней мере	3	2
32	и в другом	1	2
33	во всех его	1	2
34	так и от	1	2
35	в том числе	3	2
36	не в том	3	2
37	в большей или	1	2
38	в противном случае	1	2
39	до сих пор	1	2
40	не было в	3	2
41	том числе и	3	2
42	или меньшей степени	1	2
43	не только в	2	2
44	во всех этих	1	2
45	с работой над	1	2
46	в частности в	2	2
47	можно определить как	2	2
48	к работе над	1	2
49	только в том	2	2
50	только то что	2	2
51	в другом месте	1	2
52	с одной стороны	12	2
53	одном и том	1	2
54	также и в	1	2
55	и не может	3	2
56	человека в футляре	1	1
57	что он не	1	1
58	и не быть	1	1
59	никак не могут	1	1
60	в той или	1	1
61	в области художественного	1	1
62	в свою очередь	3	1
63	того или иного	2	1
64	все то что	1	1
65	как будто бы	2	1
66	той или иной	6	1
67	одним из наиболее	1	1
68	с другой в	1	1
69	о льве толстом	1	1
70	в этом заключается	1	1
71	на то что	1	1
72	и может быть	3	1
73	в этом же	1	1
74	в этом смысле	1	1
75	его таким образом	1	1
76	в результате этого	1	1
77	в том случае	1	1
78	с большей или	1	1
79	не заметить что	1	1
80	в которой он	1	1
81	в этом случае	3	1
82	заключает в себе	1	1
83	том или ином	1	1
84	или иной мере	1	1
85	об одном и	1	1
86	ту или иную	1	1
87	говоря уже о	2	1
88	дело не в	1	1
89	с реальной действительностью	1	1
90	в которых она	1	1
91	то что в	1	1
92	может быть в	1	1
93	в самом деле	1	1
94	быть сведена к	1	1
95	и тем более	1	1
96	не имеющих нужды	1	1
97	быть определена как	3	1
98	далеко не всегда	1	1
99	тех или иных	1	1
100	что в них	2	1
101	и то же	2	1
102	говорит о том	1	1
103	в таком случае	1	1
104	каждый из них	2	1
105	не говоря уже	2	1
106	сами по себе	2	1
107	он говорит и	1	1
108	прежде всего следует	1	1
109	а порой и	1	1
110	что ни один	1	1
111	другой стороны в	1	1
112	словесного выражения все	1	1
113	именно в этом	1	1
114	как и все	1	1
115	роль в этом	1	1
116	для правильного понимания	1	1
117	одно и то	2	1
118	выражения все это	1	1
119	то все же	1	1
120	том что и	1	1
121	по аналогии с	2	1
122	если можно так	2	1
123	а потому и	1	1
124	может быть определена	2	1
125	в соответствии с	4	1
126	в данном случае	6	1
127	в том или	1	1
128	говорит об этом	1	1
129	именно в том	1	1
130	а в том	2	1
131	что во всех	1	1
132	к тому же	4	1
133	наиболее существенные моменты	1	1
134	в основном по	1	1
135	в целом и	1	1
136	в новое время	1	1
137	то же самое	2	1
138	том случае если	1	1
139	лирических стихотворений и	1	1
140	может быть сведена	1	1
141	как рассказ о	1	1
142	но все же	1	1
143	лицом к лицу	2	1
144	одна из них	1	1
145	точки зрения на	1	1
146	а не только	2	1
147	нет и не	1	1
148	тот или иной	2	1
149	имеем дело с	1	1
150	мы имеем дело	3	1
151	в силу его	1	1
152	можно так выразиться	2	1
