N	3gram	Kanaev_Sov	Tvorches
1	в то же	1	25
2	то же время	1	24
3	в том что	1	11
4	и в то	1	7
5	в конечном счете	1	6
6	не может быть	4	6
7	в самом деле	1	5
8	по отношению к	1	5
9	до сих пор	1	4
10	по крайней мере	1	4
11	с точки зрения	5	4
12	дело в том	1	4
13	с самого начала	3	4
14	это как бы	1	3
15	сами по себе	1	3
16	в отличие от	2	3
17	это значит что	1	3
18	во всяком случае	2	3
19	и все же	1	3
20	и не может	1	3
21	а может быть	1	2
22	в данном случае	1	2
23	заключает в себе	1	2
24	влечет за собой	1	2
25	тем не менее	2	2
26	важную роль в	1	2
27	могут быть поняты	1	2
28	в этой области	1	2
29	не могут быть	1	2
30	так как он	2	2
31	в известном смысле	1	2
32	в связи с	1	2
33	в свою очередь	2	2
34	на этот вопрос	1	2
35	и та же	1	2
36	на самом деле	1	2
37	так же как	1	2
38	но отнюдь не	1	2
39	что в каждом	1	1
40	при этом с	1	1
41	в дальнейшем мы	1	1
42	но мы знаем	1	1
43	мы говорим о	1	1
44	необходимо отметить что	1	1
45	друг на друга	1	1
46	мы знаем что	1	1
47	мы по крайней	1	1
48	и прежде всего	1	1
49	точно такие же	1	1
50	к живой жизни	1	1
51	то ни было	1	1
52	это означало бы	1	1
53	то же самое	2	1
54	не может не	3	1
55	бы то ни	1	1
56	и в этом	1	1
57	на другой день	1	1
58	той или иной	1	1
59	но в самом	1	1
60	равно как и	1	1
61	очень важную роль	1	1
62	века с ее	1	1
63	со всеми его	1	1
64	в которой он	1	1
65	может быть в	1	1
66	все более и	1	1
67	с одной стороны	1	1
68	и не было	1	1
69	в настоящее время	2	1
70	более и более	1	1
71	но уже в	1	1
72	не что иное	1	1
73	о жизни и	1	1
74	можно было бы	1	1
75	в самом конце	1	1
76	в этом случае	1	1
77	лишь там где	1	1
78	все же это	1	1
79	образом если у	1	1
80	с двух концов	1	1
81	одна и та	1	1
82	но только не	1	1
83	что иное как	1	1
84	как и красота	1	1
85	все это делает	1	1
86	мы не можем	6	1
