N	4gram	Vinokur_Ku	Mirosoze
1	и вместе с тем	1	5
2	не что иное как	2	4
3	одной и той же	1	3
4	в том что он	3	3
5	есть не что иное	1	3
6	на том основании что	1	2
7	все более и более	1	2
8	о том что в	1	2
9	в начале xix века	1	2
10	той мере в какой	6	1
11	в том смысле что	1	1
12	потому и возможно что	1	1
13	мы имеем в виду	1	1
14	и в самом деле	4	1
15	в том случае если	3	1
16	в конце концов этот	1	1
17	не сам по себе	1	1
18	только потому и возможно	1	1
19	и во многих других	1	1
20	можно ли сказать что	1	1
21	том что оно не	1	1
22	в то же время	4	1
23	лишь тогда когда он	1	1
24	находится в противоречии с	2	1
25	только о том что	1	1
26	для того чтобы оправдать	1	1
27	и в той мере	1	1
28	в той мере в	6	1
29	для себя и для	1	1
30	зачем живет такой человек?	1	1
31	в тех случаях когда	2	1
32	не может уже быть	1	1
33	не потому что она	1	1
34	в том что оно	2	1
