N	3gram	Medvedev_U	Dialekti
1	по крайней мере	2	26
2	в том что	2	25
3	не может быть	4	18
4	сам по себе	1	16
5	само по себе	1	16
6	то же время	3	15
7	в то же	3	14
8	с другой стороны	3	12
9	на то что	1	11
10	в самом деле	2	10
11	и не только	1	9
12	или по крайней	1	8
13	в этом смысле	2	8
14	можно сказать что	1	7
15	не в том	1	7
16	так или иначе	1	7
17	но что такое	1	7
18	и в частности	2	7
19	более или менее	1	6
20	и прежде всего	1	6
21	и в то	1	6
22	с одной стороны	1	6
23	в конце концов	2	5
24	на первый план	1	5
25	до сих пор	2	5
26	это было бы	1	5
27	но даже и	2	4
28	в данном случае	1	4
29	то же самое	2	4
30	а не только	1	4
31	но это не	1	4
32	равно как и	1	4
33	может быть в	1	4
34	не могут быть	2	4
35	в этом отношении	2	4
36	тех или иных	2	3
37	бы то ни	3	3
38	не было бы	1	3
39	но в то	1	3
40	не только в	1	3
41	было бы равносильно	1	3
42	еще ничего не	2	3
43	все что угодно	1	2
44	хотя бы и	2	2
45	друг с другом	1	2
46	в ней не	1	2
47	и с другой	1	2
48	говорить не о	1	2
49	никогда и не	1	2
50	это не только	1	2
51	другой стороны в	1	2
52	и то что	2	2
53	на своем месте	1	2
54	на первый взгляд	1	2
55	в широком смысле	1	2
56	никогда не может	1	2
57	а это уже	1	1
58	только к этому	1	1
59	и независимо от	1	1
60	в отдельности и	1	1
61	прежде всего что	1	1
62	в их взаимоотношении	2	1
63	то что все	1	1
64	том что она	1	1
65	то что было	1	1
66	должно быть по	1	1
67	если бы это	1	1
68	самом деле есть	1	1
69	то ни было	3	1
70	не входит в	1	1
71	в конечном счете	4	1
72	вот почему в	1	1
73	и в этой	2	1
74	но прежде всего	1	1
75	бы это было	1	1
76	большей или меньшей	1	1
77	выдвигает на первый	1	1
78	имеем в виду	1	1
79	для него она	1	1
80	которые могли бы	1	1
81	могут быть оправданы	1	1
82	а между тем	2	1
83	все же не	1	1
84	превратилось бы в	1	1
85	кого бы то	1	1
86	не о чем	1	1
87	мы имеем в	1	1
88	в этом случае	1	1
89	в первую очередь	1	1
90	с тем что	1	1
91	конце концов не	1	1
92	для всех этих	1	1
93	между тем в	1	1
94	но если нет	1	1
95	в той же	1	1
96	и случилось с	1	1
