N	2gram	Vygotskiy_	Sotsiolo
1	все это	2	7
2	в том	44	5
3	в этом	43	5
4	не только	28	3
5	как же	2	3
6	не в	10	3
7	и в	33	3
8	и только	4	3
9	более чем	1	3
10	в его	15	3
11	для нас	1	3
12	что в	33	2
13	то что	48	2
14	таким образом	30	2
15	том что	41	2
16	или даже	2	2
17	дело не	2	2
18	как бы	11	2
19	в результате	9	2
20	было бы	18	2
21	как будто	2	2
22	в смысле	3	2
23	очевидно что	2	2
24	в частности	9	2
25	нужно было	1	2
26	но и	14	2
27	конце концов	2	2
28	может быть	15	2
29	по существу	5	2
30	главным образом	1	2
31	и что	18	2
32	это и	3	2
33	нашей науки	1	2
34	за пределы	4	2
35	по отношению	19	2
36	и заключается	2	2
37	в конце	3	2
38	как только	4	2
39	отношению к	19	2
40	должна быть	7	2
41	тем более	5	2
42	только в	21	2
43	к которому	7	2
44	то же	12	2
45	еще не	11	2
46	система не	1	1
47	влияет на	5	1
48	это обусловливается	1	1
49	а в	5	1
50	что он	40	1
51	образом в	2	1
52	столь же	5	1
53	даже в	1	1
54	на что	1	1
55	в целом	8	1
56	в силу	14	1
57	на этот	9	1
58	это значит	5	1
59	что эти	4	1
60	более не	1	1
61	все эти	9	1
62	не было	1	1
63	представить себе	2	1
64	когда мы	4	1
65	остается в	1	1
66	развития и	21	1
67	связи с	9	1
68	его исследования	1	1
69	и естествознания	1	1
70	систему его	1	1
71	точке зрения	1	1
72	кто не	2	1
73	только то	4	1
74	целом все	1	1
75	построений в	1	1
76	в своей	5	1
77	что без	1	1
78	во всяком	4	1
79	и потому	3	1
80	дает нам	1	1
81	все же	5	1
82	научной мысли	2	1
83	что это	1	1
84	или не	2	1
85	то положительное	1	1
86	еще и	3	1
87	от друга	5	1
88	с другой	11	1
89	ни на	3	1
90	мы должны	13	1
91	а тем	2	1
92	это как	1	1
93	это же	1	1
94	невозможно никакое	1	1
95	с ним	6	1
96	различает два	1	1
97	между тем	5	1
98	собой не	2	1
99	как совокупность	2	1
100	и более	8	1
101	но как	6	1
102	в этой	8	1
103	из себя	1	1
104	и его	6	1
105	опираясь на	1	1
106	из понимания	1	1
107	перейти к	4	1
108	они ни	1	1
109	только когда	1	1
110	это по	1	1
111	ли не	2	1
112	развития развитие	2	1
113	изучать в	1	1
114	никак не	6	1
115	в данном	4	1
116	на все	7	1
117	только для	2	1
118	в области	19	1
119	и по	5	1
120	есть процесс	2	1
121	их на	1	1
122	первый план	2	1
123	с помощью	32	1
124	же самое	7	1
125	один из	4	1
126	так и	8	1
127	только тогда	5	1
128	в то	5	1
129	полагает что	1	1
130	он различает	1	1
131	понимать что	1	1
132	может не	3	1
133	развиваться в	1	1
134	в котором	2	1
135	и русская	1	1
136	те же	6	1
137	потому его	1	1
138	свойств и	1	1
139	образования понятий	11	1
140	именно на	1	1
141	между собой	17	1
142	же это	1	1
143	чтобы сделаться	1	1
144	отнюдь не	2	1
145	и не	18	1
146	развития по	1	1
147	но она	1	1
148	всяком случае	2	1
149	эти два	1	1
150	иначе говоря	2	1
151	же по	3	1
152	от окружающих	1	1
153	стоит только	2	1
154	по самому	1	1
155	благодаря тому	1	1
156	том как	3	1
157	настоящее время	2	1
158	или нет	1	1
159	по необходимости	2	1
160	и о	1	1
161	и история	2	1
162	и должны	1	1
163	но не	13	1
164	они не	7	1
165	лучшем случае	4	1
166	не способен	3	1
167	в него	1	1
168	благодаря этому	2	1
169	этой области	3	1
170	для этого	3	1
171	их друг	1	1
172	прежде всего	5	1
173	тем что	12	1
174	что она	3	1
175	тем же	1	1
176	в систему	2	1
177	в каждом	1	1
178	которые предлагает	1	1
179	и понятие	3	1
180	и благодаря	1	1
181	друг от	5	1
182	в чем	10	1
183	не из	1	1
184	на основании	2	1
185	и связь	1	1
186	а с	3	1
187	происходит не	1	1
188	это происходит	2	1
189	а между	1	1
190	новые и	3	1
191	но только	4	1
192	и будет	1	1
193	не дает	2	1
194	в лучшем	3	1
195	мы думаем	1	1
196	в сущности	17	1
197	в область	2	1
198	психологии и	1	1
199	он говорит	3	1
200	факта что	3	1
201	его в	6	1
202	зависит от	4	1
203	представляется нам	4	1
204	на определенных	1	1
205	в процессе	37	1
206	теоретической мысли	1	1
207	ни были	1	1
208	новое и	1	1
209	вовсе не	2	1
210	даже не	1	1
211	основной вопрос	1	1
212	может означать	1	1
213	не меняет	1	1
214	с одной	10	1
215	больше того	3	1
216	и наконец	3	1
217	для изучения	1	1
218	о том	13	1
219	мы не	6	1
220	тому что	14	1
221	в заключение	1	1
222	мысли в	5	1
223	том и	1	1
224	подняться на	1	1
225	и затем	1	1
226	эти вопросы	2	1
227	в этих	7	1
228	сама по	4	1
229	у него	8	1
230	по себе	8	1
231	на отдельные	2	1
232	на первый	2	1
233	без этого	1	1
234	могут оказаться	2	1
235	перед нами	1	1
236	бы он	1	1
237	вот в	1	1
238	хотя бы	5	1
239	что на	2	1
240	это не	8	1
241	чуть ли	1	1
242	одной стороны	10	1
243	в связи	6	1
244	бы в	6	1
245	в виде	3	1
246	в настоящее	2	1
247	именно в	8	1
248	никогда не	10	1
249	и есть	8	1
250	не может	31	1
251	между ними	5	1
252	и как	7	1
253	что все	9	1
254	место в	2	1
255	как и	13	1
256	ничего не	6	1
257	в них	3	1
