N	3gram	Berdyaev_V	Stilisti
1	то что мы	3	4
2	в общественной жизни	1	3
3	но и в	2	3
4	в конце концов	1	3
5	но все же	1	3
6	как бы в	1	3
7	и в сознании	1	2
8	вместе с тем	1	2
9	мы видим что	1	2
10	к тому что	3	2
11	в том что	2	1
12	и в жизни	1	1
13	к людям к	1	1
14	по крайней мере	1	1
15	хотя бы и	1	1
16	в жизни и	1	1
17	как и в	1	1
18	все это как	1	1
19	и не было	1	1
20	по сравнению с	1	1
21	времени по крайней	1	1
22	не будет уже	2	1
23	это еще не	2	1
24	только себя только	1	1
25	и никогда не	1	1
26	в будущем когда	1	1
27	и в вопросе	1	1
28	с другой стороны	1	1
29	уж конечно не	2	1
30	все что было	1	1
31	и в этом	1	1
