N	3gram	Tiupa_Teor	Tragedij
1	то же время	8	5
2	в то же	8	5
3	в том что	10	2
4	и как бы	1	2
5	и в частности	1	2
6	но в то	2	2
7	точно так же	1	2
8	в данном случае	5	2
9	о том что	1	2
10	и в самом	2	2
11	в отличие от	7	2
12	и не быть	1	1
13	том что он	2	1
14	друг перед другом	1	1
15	что он не	1	1
16	а между тем	1	1
17	эта встреча не	1	1
18	в последней главе	1	1
19	не может быть	5	1
20	в этом мире	2	1
21	в известной степени	1	1
22	говорит о его	1	1
23	в этом случае	1	1
24	не только не	2	1
25	в xix веке	1	1
26	не могут быть	2	1
27	добро и зло	1	1
28	черт ивана карамазова	1	1
29	в виду не	3	1
30	как и в	2	1
31	в связи с	3	1
32	в самом деле	2	1
33	не только к	1	1
34	ивана карамазова в	1	1
35	к тому что	2	1
36	тем не менее	3	1
37	позиции в мире	1	1
38	на вопрос о	1	1
39	это и есть	1	1
40	и пусть пусть	1	1
