N	3gram	Vygotskiy_	Dialekti
1	и т д	1	75
2	это значит что	1	47
3	с точки зрения	34	46
4	сама по себе	3	26
5	по крайней мере	1	26
6	в том что	30	25
7	не может быть	8	18
8	тем не менее	1	16
9	сам по себе	3	16
10	само по себе	3	16
11	то же время	2	15
12	в то же	2	14
13	только тогда когда	4	13
14	и то же	2	12
15	с другой стороны	10	12
16	о том что	10	12
17	одно и то	2	12
18	на то что	9	11
19	в самом деле	5	10
20	той или другой	1	10
21	иметь в виду	1	9
22	по себе не	1	9
23	и в этом	1	9
24	содержит в себе	1	9
25	подобно тому как	2	9
26	не только не	2	8
27	только то что	2	8
28	или по крайней	1	8
29	в то время	5	8
30	то время как	4	8
31	в этом смысле	3	8
32	можно сказать что	5	7
33	вовсе не в	1	7
34	не в том	1	7
35	точно так же	2	7
36	в связи с	3	7
37	той или иной	2	7
38	не потому что	2	7
39	и в частности	3	7
40	в коем случае	1	6
41	для того чтобы	19	6
42	ни в коем	1	6
43	в зависимости от	8	6
44	что это есть	1	6
45	и в то	1	6
46	коем случае не	1	6
47	не имеет никакого	1	6
48	то что мы	1	6
49	как и все	2	6
50	во всяком случае	5	6
51	с одной стороны	14	6
52	на самом деле	3	5
53	по сравнению с	9	5
54	в конце концов	1	5
55	потому что он	3	5
56	к тому что	3	5
57	на первый план	3	5
58	то и другое	1	5
59	от того что	2	5
60	до сих пор	4	5
61	одной и той	2	5
62	есть прежде всего	2	5
63	и той же	2	5
64	это было бы	1	5
65	в одинаковой мере	1	4
66	одной стороны и	3	4
67	мы уже знаем	1	4
68	с этой точки	1	4
69	так же как	6	4
70	этой точки зрения	2	4
71	в данном случае	5	4
72	к тому же	1	4
73	не может не	1	4
74	как раз и	1	4
75	то же самое	4	4
76	я не могу	2	4
77	из того что	7	4
78	того что она	1	4
79	того и другого	1	4
80	и тем более	2	4
81	можно было бы	6	4
82	не могут быть	1	4
83	в этом отношении	6	4
84	в той или	1	3
85	и как бы	1	3
86	самом же деле	1	3
87	прежде всего от	1	3
88	несмотря на то	1	3
89	есть не только	1	3
90	он не может	1	3
91	и что она	1	3
92	когда мы говорим	2	3
93	в силу этого	4	3
94	на точку зрения	2	3
95	не сама по	1	3
96	то же что	2	3
97	если бы мы	3	3
98	но все же	1	3
99	мы находим в	1	3
100	на самом же	1	3
101	все это не	1	3
102	бы то ни	1	3
103	и не может	1	3
104	в чем же	1	3
105	ни в какой	2	3
106	ту или иную	1	3
107	в данный момент	1	3
108	как и в	2	3
109	то что я	1	3
110	ведь это же	1	3
111	о том как	1	3
112	в себе и	1	3
113	хотя и не	1	3
114	не только в	1	3
115	речь идет о	4	3
116	в чем заключается	1	3
117	с самого начала	9	3
118	же как и	4	3
119	научной точки зрения	1	3
120	лежит в основе	1	3
121	что он не	2	2
122	но ведь это	1	2
123	бы и не	1	2
124	это значило бы	1	2
125	стать на точку	1	2
126	как и вообще	1	2
127	том что в	3	2
128	в силу своей	1	2
129	в собственном смысле	8	2
130	хотя бы и	1	2
131	дело не в	1	2
132	в жизни и	1	2
133	не только его	1	2
134	что в данном	1	2
135	друг от друга	4	2
136	в качестве примера	1	2
137	содержат в себе	1	2
138	и пр и	1	2
139	представить себе что	1	2
140	друг с другом	6	2
141	она не может	1	2
142	легко заметить что	1	2
143	но для этого	1	2
144	но если так	1	2
145	и вместе с	1	2
146	как мы это	1	2
147	мы должны сказать	1	2
148	в последнее время	3	2
149	и с другой	1	2
150	в сущности и	1	2
151	так как он	3	2
152	что все решительно	1	2
153	не в силах	1	2
154	мы будем говорить	1	2
155	но так как	1	2
156	но что же	1	2
157	или хотя бы	1	2
158	на деле же	2	2
159	в чистом виде	1	2
160	и не быть	1	2
161	а именно в	1	2
162	с первого взгляда	1	2
163	в свою очередь	3	2
164	друг к другу	2	2
165	вместе с ним	3	2
166	что с точки	2	2
167	ничего не имеет	1	2
168	в сущности это	2	2
169	так как мы	1	2
170	и в отношении	3	2
171	к выводу что	5	2
172	не в состоянии	2	2
173	потому что его	1	2
174	это не только	1	2
175	как чистое мышление	1	2
176	должны сказать что	1	2
177	мы не можем	3	2
178	но все это	1	2
179	тот или иной	1	2
180	содержащее в себе	1	2
181	мы говорим об	2	2
182	другой стороны в	1	2
183	только на то	1	2
184	дело в том	2	2
185	которые могут быть	1	2
186	вопрос о том	2	2
187	что оно есть	1	2
188	и то что	1	2
189	и при этом	1	2
190	хотя бы в	1	2
191	мы только что	2	2
192	самом деле что	1	2
193	по направлению к	1	2
194	и пр в	1	2
195	и вовсе не	1	2
196	никогда не может	1	2
197	не то же	2	2
198	с научной точки	1	2
199	то что с	1	2
200	жизни и в	1	2
201	потому что они	1	2
202	в каком отношении	1	1
203	слова которые не	1	1
204	стороны мы видели	1	1
205	все больше и	1	1
206	перед нами чисто	1	1
207	чтобы убедиться в	2	1
208	своей точки зрения	1	1
209	в частности к	1	1
210	и что эти	1	1
211	только в силу	1	1
212	предстала перед нами	1	1
213	о котором мы	1	1
214	исключительно с точки	1	1
215	во все стороны	1	1
216	сказать что как	1	1
217	что же это	1	1
218	внешний мир в	1	1
219	относится не к	1	1
220	в применении к	1	1
221	такой же мере	3	1
222	между тем и	2	1
223	то что он	2	1
224	даже поставить вопрос	1	1
225	больше и больше	1	1
226	которое несмотря на	1	1
227	его значение в	1	1
228	однако ясно что	1	1
229	во главе с	1	1
230	и еще с	1	1
231	что в одном	1	1
232	природы в его	1	1
233	и мы сейчас	1	1
234	о чем мы	1	1
235	то что является	1	1
236	независимо от своего	1	1
237	и процессов в	1	1
238	следует за ней	1	1
239	со своей точки	1	1
240	мысли тем более	1	1
241	отсюда следует что	1	1
242	и нигде не	1	1
243	он вступает в	1	1
244	всегда только в	1	1
245	прежде всего что	1	1
246	оказалось в результате	1	1
247	по себе в	1	1
248	том что для	1	1
249	которую можно формулировать	1	1
250	или иной теории	1	1
251	в учении о	4	1
252	чем именно заключается	1	1
253	что все это	1	1
254	что каждая из	1	1
255	и даже часто	1	1
256	имели в виду	1	1
257	с которой он	1	1
258	привело нас к	1	1
259	тем и другим	2	1
260	потому что в	1	1
261	говорить о том	1	1
262	на всю жизнь	1	1
263	если мы хотим	2	1
264	рано или поздно	1	1
265	до некоторой степени	1	1
266	что не только	1	1
267	друг на друга	1	1
268	что у него	1	1
269	и сейчас не	1	1
270	он не имеет	1	1
271	которая заключается в	1	1
272	сам говорит что	2	1
273	в этом развитии	1	1
274	должно быть по	1	1
275	заметить что в	2	1
276	но как это	1	1
277	пространство и время	1	1
278	в такой же	3	1
279	хотя бы даже	1	1
280	быть уверенным что	1	1
281	мы видели уже	1	1
282	в одной точке	1	1
283	таким образом что	3	1
284	в этом пункте	3	1
285	это случайно возникшее	1	1
286	точки зрения или	1	1
287	не только то	1	1
288	во всем учении	1	1
289	нас в данном	1	1
290	независимо от того	2	1
291	и таким образом	2	1
292	мы все время	1	1
293	надо сказать что	1	1
294	как показывает самое	1	1
295	даже в этом	1	1
296	что в них	1	1
297	в отличие от	3	1
298	и никогда не	1	1
299	чтобы заметить что	1	1
300	в некотором смысле	1	1
301	то ни было	1	1
302	которую так хорошо	1	1
303	если это так	1	1
304	как мы уже	4	1
305	того что в	3	1
306	сказать что он	1	1
