N	2gram	Propp_Morf	Literetu
1	а не	11	50
2	и не	16	47
3	не только	8	46
4	и в	17	44
5	может быть	61	43
6	при этом	1	41
7	но и	9	41
8	тогда как	2	40
9	в том	10	39
10	в этом	18	38
11	том что	7	32
12	в частности	2	30
13	то что	10	29
14	в мире	1	28
15	в качестве	8	27
16	то же	10	26
17	состоит в	3	26
18	как и	4	23
19	в то	4	23
20	себя в	2	22
21	не в	3	22
22	того что	3	22
23	так и	10	22
24	не может	19	22
25	же время	1	21
26	в себе	1	20
27	прежде всего	14	19
28	как бы	6	18
29	с другой	9	17
30	точки зрения	7	17
31	в его	1	17
32	в этой	3	16
33	не менее	7	15
34	в русской	1	15
35	только в	3	15
36	со стороны	5	15
37	в целом	5	15
38	и даже	2	14
39	по отношению	7	14
40	однако в	2	14
41	что он	5	14
42	в рамках	1	14
43	уже не	4	13
44	е годы	1	13
45	с одной	2	13
46	как это	7	13
47	в тексте	1	13
48	но не	8	13
49	и его	3	13
50	в своей	1	12
51	о том	6	12
52	в данном	2	12
53	одной стороны	2	12
54	к себе	2	12
55	одним из	2	12
56	еще не	4	12
57	отношению к	7	12
58	а также	7	12
59	в е	1	12
60	не столько	1	11
61	в другом	2	11
62	еще в	1	11
63	как в	5	11
64	в основе	2	11
65	с его	3	11
66	данном случае	2	11
67	это не	6	11
68	отличие от	1	11
69	а в	8	11
70	даже в	1	10
71	из них	4	10
72	в ее	1	10
73	что в	10	10
74	и на	1	10
75	потому что	7	10
76	этом отношении	2	10
77	в области	1	10
78	с этой	3	9
79	к тому	5	9
80	представляет собой	17	9
81	связи с	12	9
82	один из	7	9
83	что я	1	9
84	одно из	1	9
85	в начале	3	9
86	же в	3	9
87	в своих	2	8
88	тем что	4	8
89	все же	9	8
90	одна из	5	8
91	с точки	6	8
92	как раз	1	8
93	что не	1	8
94	о себе	1	8
95	а именно	1	8
96	но в	4	8
97	для него	2	8
98	по существу	13	8
99	и как	6	8
100	вплоть до	1	8
101	в одном	2	7
102	другой стороны	5	7
103	для всех	1	7
104	именно в	1	7
105	ведет к	1	7
106	не как	1	7
107	он не	5	7
108	и тем	3	7
109	и с	1	7
110	друг друга	3	7
111	и для	4	7
112	у нас	3	7
113	в их	1	7
114	так в	1	7
115	тому как	5	7
116	а затем	10	6
117	в виду	1	6
118	например в	2	6
119	как на	1	6
120	у него	2	6
121	его в	4	6
122	во всех	6	6
123	в каждом	1	6
124	было бы	5	6
125	подобно тому	6	6
126	с ее	1	6
127	то в	3	6
128	самом деле	4	6
129	еще и	1	6
130	тем же	2	6
131	и др	12	6
132	и то	1	6
133	что ему	1	6
134	далеко не	5	6
135	как будто	2	6
136	право на	2	6
137	и только	3	6
138	и наконец	1	6
139	и к	4	5
140	самого себя	2	5
141	к этой	1	5
142	в связи	10	5
143	с собой	3	5
144	хотя бы	5	5
145	в нашем	6	5
146	он сам	1	5
147	всего в	1	5
148	должно быть	1	5
149	несмотря на	4	5
150	ни было	2	5
151	тем не	7	5
152	и за	2	5
153	не знает	2	5
154	этой точки	1	5
155	между тем	5	5
156	так что	1	5
157	все более	1	5
158	в силу	1	5
159	обращается к	1	5
160	во втором	7	5
161	в сущности	3	5
162	в россии	2	5
163	себя и	2	5
164	не с	2	5
165	быть не	1	5
166	вслед за	5	5
167	так как	20	5
168	мы не	8	5
169	что и	10	5
170	читателя в	1	5
171	но с	2	5
172	как он	1	5
173	или иной	1	5
174	все еще	3	5
175	в них	1	4
176	с тем	2	4
177	только для	2	4
178	и нет	1	4
179	во всяком	2	4
180	то это	5	4
181	входит в	4	4
182	для того	3	4
183	не всегда	10	4
184	только на	1	4
185	не вполне	1	4
186	перед ним	1	4
187	как мы	8	4
188	во всей	1	4
189	к этому	4	4
190	бы то	3	4
191	хотя и	5	4
192	что его	4	4
193	здесь как	1	4
194	могли бы	2	4
195	на этом	4	4
196	свое место	1	4
197	от самого	1	4
198	ту же	2	4
199	то ни	3	4
200	и что	3	4
201	могут быть	21	4
202	и есть	3	4
203	можно сказать	2	4
204	из этого	1	4
205	а потому	2	4
206	со всеми	1	4
207	и все	1	4
208	в пределах	3	4
209	отношения к	1	4
210	по собственному	1	4
211	никем не	1	4
212	приводит к	3	4
213	бы не	1	4
214	все они	1	4
215	ни к	2	4
216	совершенно не	1	4
217	не является	4	4
218	тех же	4	4
219	более чем	1	4
220	в свою	1	4
221	одной из	2	4
222	но это	6	4
223	таким образом	26	4
224	в формах	1	4
225	как к	1	4
226	со мной	1	4
227	и вот	1	4
228	для нас	2	4
229	в г	1	4
230	на его	5	4
231	вовсе не	6	4
232	ко всему	1	4
233	во второй	2	4
234	а по	3	4
235	такой же	1	4
236	на то	3	4
237	какого бы	1	3
238	все что	1	3
239	же и	1	3
240	о чем	1	3
241	в этих	17	3
242	в первом	5	3
243	мысль о	1	3
244	нет в	1	3
