N	2gram	Potebnia_M	Marksizm
1	точки зрения	8	69
2	может быть	47	64
3	и в	58	63
4	и не	34	55
5	как бы	12	53
6	не может	30	47
7	с точки	4	46
8	и его	7	41
9	в этом	18	39
10	таким образом	21	38
11	в процессе	1	33
12	как мы	3	32
13	языка и	20	31
14	лишь в	2	30
15	не только	32	29
16	то же	13	28
17	в нем	26	28
18	языка как	6	27
19	но и	26	27
20	в языке	36	26
21	связи с	6	25
22	речи и	11	25
23	самом деле	2	25
24	в самом	5	24
25	как и	16	24
26	прежде всего	8	24
27	только в	36	23
28	так и	17	23
29	в том	38	22
30	то что	24	22
31	а не	38	22
32	при этом	17	20
33	так сказать	5	20
34	для него	13	20
35	если мы	5	20
36	не в	23	19
37	если бы	23	19
38	том что	21	19
39	в его	7	19
40	языка в	6	18
41	в ее	2	18
42	в слове	21	18
43	и для	8	18
44	но в	12	18
45	вовсе не	13	18
46	все же	11	17
47	в сущности	2	17
48	и чужой	1	16
49	по отношению	15	16
50	ни было	4	16
51	слова и	7	16
52	и как	11	16
53	в то	6	16
54	во всех	12	15
55	в связи	2	15
56	что он	5	15
57	же время	4	15
58	отношению к	13	15
59	язык как	7	14
60	в данном	1	14
61	хотя бы	4	14
62	в смысле	4	14
63	в своей	3	13
64	так же	7	13
65	то ни	3	13
66	что в	34	13
67	и здесь	1	13
68	того чтобы	4	13
69	было бы	21	13
70	ничего не	2	13
71	мы не	17	13
72	слова в	7	13
73	для того	8	12
74	того же	13	12
75	бы то	2	12
76	в результате	1	12
77	между тем	7	12
78	он не	4	12
79	высшей степени	1	12
80	а в	11	12
81	не столько	3	11
82	и того	6	11
83	к нему	2	11
84	мы уже	1	11
85	и что	13	11
86	и от	5	11
87	слова как	1	11
88	до сих	5	11
89	и на	8	11
90	и все	6	11
91	как в	18	11
92	еще не	9	11
93	друг друга	6	11
94	так как	29	11
95	на самом	2	11
96	все эти	3	11
97	в ней	9	11
98	сих пор	5	11
99	без исключения	1	10
100	именно в	2	10
101	во всяком	9	10
102	самого начала	5	10
103	с другой	13	10
104	сказать что	5	10
105	к этому	3	10
106	никогда не	7	10
107	в своем	3	10
108	его в	3	10
109	в таком	7	10
110	одна из	4	10
111	в каждом	6	10
112	в большинстве	1	10
113	совершенно не	1	10
114	конечно не	1	10
115	в отличие	1	10
116	с его	3	10
117	и потому	7	10
118	с самого	5	10
119	отличие от	1	10
120	более того	1	10
121	к тому	5	9
122	одного и	6	9
123	только на	4	9
124	в нашем	2	9
125	в себе	22	9
126	большинстве случаев	1	9
127	рядом с	3	9
128	и следовательно	4	9
129	и это	3	9
130	а как	3	9
131	мы видели	5	9
132	что это	5	9
133	ни в	2	9
134	не имеет	9	9
135	и более	3	9
136	отношении к	1	9
137	это не	10	9
138	как если	1	9
139	в истории	8	9
140	о языке	3	9
141	мысли и	9	8
142	не как	4	8
143	другой стороны	7	8
144	но что	2	8
145	и даже	4	8
146	и с	3	8
147	мы знаем	2	8
148	что и	16	8
149	у него	3	8
150	не было	7	8
151	что не	15	8
152	тому что	4	8
153	мы можем	10	8
154	или же	7	8
155	не будет	2	8
156	за пределы	4	8
157	столь же	6	8
158	в отношении	1	8
159	слове и	1	8
160	в каком	7	8
161	к другому	2	8
162	перед нами	1	8
163	в свою	8	8
164	этого слова	5	8
165	с этим	11	8
166	у нас	3	8
167	смысле этого	3	8
168	в их	3	8
169	и их	6	8
170	в науке	1	8
171	и ее	1	8
172	речь и	2	8
173	на то	5	8
174	от него	8	7
175	следует что	1	7
176	в этих	10	7
177	не существует	2	7
178	в котором	5	7
179	свою очередь	8	7
180	и формы	1	7
181	языка не	5	7
182	те же	4	7
183	слово как	2	7
184	бы в	6	7
185	в этой	3	7
186	могут быть	17	7
187	оно может	2	7
188	там где	8	7
189	речи как	1	7
190	психологии и	1	7
191	с ними	2	7
192	может стать	3	7
193	по себе	24	7
194	той же	3	7
195	о том	6	7
196	того что	15	7
197	в формах	3	7
198	в начале	2	7
199	далеко не	4	7
200	бы он	1	7
201	место в	3	7
202	в той	1	6
203	является в	1	6
204	по мере	10	6
205	от одного	2	6
206	уже не	4	6
207	входит в	1	6
208	одной стороны	6	6
209	в другом	3	6
210	язык в	8	6
211	в различных	1	6
212	как оно	2	6
213	она может	3	6
214	с одной	7	6
215	с другими	3	6
216	между ними	2	6
217	не есть	13	6
218	из одного	3	6
219	всяком случае	7	6
220	языке в	2	6
221	должны быть	11	6
222	этот вопрос	2	6
223	с ее	2	6
224	то есть	69	6
225	должна быть	4	6
226	в единстве	3	6
227	говорящего и	2	6
228	от своего	2	6
229	зависимости от	1	6
230	ничего общего	3	6
231	в организме	5	6
232	не имеют	7	6
233	что же	3	6
234	тем же	4	6
235	для всего	1	6
236	тот же	5	6
237	этот процесс	1	6
238	все это	3	6
239	сознания и	2	6
240	слово в	2	6
241	в какой	2	6
242	вопрос о	5	6
243	как ее	1	6
244	для нашей	1	6
245	мы должны	4	6
246	из этих	8	6
247	же в	7	6
248	не к	1	6
249	еще более	2	5
250	формы в	1	5
251	в одном	13	5
252	нами в	2	5
253	в виду	2	5
254	что слово	5	5
255	в первом	5	5
256	значения в	1	5
257	не менее	10	5
258	понятно что	1	5
259	был бы	1	5
260	история языка	3	5
261	мы ни	1	5
262	как на	5	5
263	от того	9	5
264	себя в	1	5
265	истории языка	2	5
266	на язык	7	5
267	должно быть	9	5
268	что такое	3	5
269	как же	1	5
270	от этого	2	5
271	и у	3	5
272	но как	4	5
273	и тем	5	5
274	язык есть	17	5
275	то в	6	5
276	для себя	4	5
277	вместе с	12	5
278	да и	1	5
279	различие между	2	5
280	ее в	1	5
281	вне его	1	5
282	хотя и	6	5
283	языка а	3	5
284	из него	3	5
285	в душе	28	5
286	в более	4	5
287	связи между	2	5
288	этом отношении	1	5
289	то мы	4	5
290	таком случае	4	5
291	или в	4	5
292	для других	2	5
293	но не	19	5
294	в условиях	1	5
295	тем более	2	5
296	как слово	1	5
297	к одному	3	5
298	она не	3	5
299	в особенности	1	5
300	какого бы	1	4
301	мы постараемся	2	4
302	же и	1	4
303	только что	4	4
304	развития языка	1	4
305	какой бы	1	4
306	именно эти	1	4
307	в них	7	4
308	связь с	2	4
309	но все	4	4
310	тем что	15	4
311	из всего	2	4
312	выражения и	1	4
313	к другой	1	4
314	физиологическим процессом	1	4
315	говорит что	1	4
316	точке зрения	4	4
317	следующим образом	1	4
318	в зависимости	1	4
319	во всей	1	4
320	к ее	2	4
321	к языку	6	4
322	из них	2	4
323	едва ли	1	4
324	переходим к	2	4
325	что они	6	4
326	влияние на	4	4
327	него как	1	4
328	несмотря на	5	4
329	что все	4	4
330	в которой	5	4
331	для говорящего	2	4
332	одним из	2	4
333	что она	3	4
334	но для	1	4
335	во внутренней	3	4
336	при чтении	1	4
337	следовательно и	2	4
338	в других	6	4
339	находит свое	1	4
340	в устах	1	4
341	стремится к	1	4
342	не дает	2	4
343	но при	3	4
344	между двумя	1	4
345	к этим	2	4
346	так что	23	4
347	если же	5	4
348	всех других	1	4
349	в тех	1	4
350	и тот	1	4
351	язык не	5	4
352	из этого	2	4
353	его к	3	4
354	независимо от	15	4
355	имеет свою	1	4
356	в единство	2	4
357	от нее	6	4
358	языка с	6	4
359	не могут	10	4
360	со всеми	1	4
361	допустим что	2	4
362	и действительно	1	4
363	значения и	1	4
364	можно назвать	1	4
365	может получить	1	4
366	нет ничего	2	4
367	первом случае	1	4
368	слов и	5	4
369	и до	1	4
370	что здесь	1	4
371	переход от	2	4
372	мог бы	5	4
373	только при	3	4
374	и то	4	4
375	только с	1	4
376	нас не	1	4
377	уже в	5	4
378	не будем	1	4
379	можно сказать	1	4
380	слова но	4	4
381	как она	3	4
382	или даже	3	4
383	в одной	2	4
384	чужого языка	1	4
385	как он	5	4
386	относится к	5	4
387	стороны и	3	4
388	в каких	1	4
389	как выражение	1	4
390	одного из	3	4
391	и самого	2	4
392	выражения в	1	4
393	к пониманию	1	4
394	жизни и	3	4
395	и прежде	1	4
396	в области	1	4
397	нуждается в	2	4
398	языке и	2	3
399	над языком	1	3
400	не могло	3	3
401	в применении	3	3
402	что делает	1	3
403	даже в	1	3
404	не сможет	1	3
405	в своих	4	3
406	ко всем	4	3
407	с тем	9	3
408	роль в	1	3
409	мы только	1	3
410	так в	4	3
411	отражается в	1	3
412	в действительности	6	3
413	и история	1	3
414	не наоборот	1	3
415	или вернее	1	3
416	применении к	3	3
417	мы увидим	3	3
418	даже и	4	3
419	в этот	1	3
420	одной и	4	3
421	значительной степени	3	3
422	или если	3	3
423	группы и	1	3
424	непосредственно из	1	3
425	находится в	2	3
426	все без	1	3
427	с ним	7	3
428	и внешней	1	3
429	а следовательно	1	3
430	какое бы	1	3
431	не найдем	1	3
432	мы видим	5	3
433	все его	2	3
434	здесь нет	1	3
435	к себе	1	3
436	тем не	11	3
437	этими двумя	1	3
438	лежит в	1	3
439	не о	1	3
440	прежде чем	4	3
441	дано в	1	3
442	между этими	2	3
443	этом как	1	3
444	делает его	1	3
445	стремясь к	1	3
446	это вполне	1	3
447	в живой	2	3
448	все остальные	9	3
449	более или	6	3
450	если б	7	3
451	как это	1	3
452	одним словом	5	3
453	одно и	1	3
454	и та	1	3
455	по своей	2	3
456	могла бы	5	3
457	значение и	4	3
458	определение может	1	3
459	общего с	3	3
460	что во	4	3
461	языка нет	2	3
462	и др	1	3
463	и есть	4	3
464	как знак	1	3
465	язык от	1	3
466	были бы	4	3
467	не так	6	3
468	во втором	6	3
469	и этот	1	3
470	в последнем	2	3
471	двух направлений	1	3
472	его из	1	3
473	если он	1	3
474	как к	1	3
475	тогда когда	15	3
476	не идет	1	3
477	и при	6	3
478	понимание в	1	3
479	в другой	4	3
480	мертвого языка	1	3
481	имеет место	4	3
482	не на	3	3
483	можно было	1	3
484	должен был	1	3
485	от их	4	3
486	поэтому и	1	3
487	все то	2	3
488	на данном	1	3
489	для каждого	1	3
490	еще в	1	3
491	и они	2	3
492	в которых	2	3
493	приводит к	1	3
494	со стороны	11	3
495	слова для	5	3
496	еще и	1	3
497	его и	1	3
498	к нашему	1	3
499	то он	2	3
500	поэтому не	1	3
501	речи он	1	3
502	потому что	89	3
503	и слушающего	1	3
504	нет никакой	1	3
505	в мир	1	3
506	более и	2	3
507	и той	4	3
508	на этот	2	3
509	он может	2	3
510	они еще	1	3
511	здесь не	2	3
512	этот последний	1	3
513	но если	4	3
514	главным образом	4	3
515	но это	7	3
516	литературного языка	1	3
517	находятся в	3	3
518	ответ на	2	3
519	что оно	5	3
520	они не	5	3
521	язык является	1	3
522	того как	12	3
523	из основных	2	3
524	бы на	1	3
525	с их	1	3
526	и непосредственно	2	3
527	на нее	2	3
528	есть только	16	3
529	на все	5	3
530	один и	1	3
531	в виде	1	3
532	должен быть	2	3
533	или менее	6	3
534	и вообще	5	3
535	мысли в	11	3
536	не все	3	3
537	бы это	1	3
538	связаны с	1	3
539	на них	1	3
540	и по	8	3
541	этих двух	1	3
542	того или	1	3
543	человека в	3	3
544	и других	6	3
545	как ни	1	3
546	совпадает с	1	3
547	с языком	2	3
548	эти формы	2	3
549	когда он	1	3
550	не с	2	3
551	каждый раз	5	3
552	в нашей	2	3
553	не следует	6	3
554	одного слова	1	3
555	или как	2	3
556	со своими	1	3
557	и о	3	3
558	по законам	3	3
559	все более	3	3
560	и только	6	3
561	в целом	3	3
562	или точнее	1	3
563	и тогда	2	3
564	еще несколько	1	2
565	это восприятие	1	2
566	во всем	5	2
567	степень его	1	2
568	и другие	1	2
569	для всех	6	2
570	в каждую	2	2
571	происхождения языка	1	2
572	чем сильнее	2	2
573	к этой	3	2
574	он считает	1	2
575	тем для	1	2
576	с этой	3	2
577	дело с	2	2
578	нужно искать	1	2
579	из всех	1	2
580	они уже	1	2
581	это значит	1	2
582	в разных	2	2
583	для одного	3	2
584	тем как	3	2
585	касается до	3	2
586	и необходимости	4	2
587	как они	1	2
588	в духе	1	2
589	из нее	2	2
590	слова с	2	2
591	мы и	1	2
592	к более	1	2
593	в речи	1	2
594	превращается в	2	2
595	например в	4	2
