N	2gram	Medvedev_I	Russkaja
1	и не	2	19
2	в этом	2	17
3	и в	1	14
4	того чтобы	1	8
5	самого себя	2	7
6	и с	3	7
7	для него	1	6
8	все это	1	6
9	если бы	1	6
10	для того	1	6
11	по существу	1	5
12	он не	2	5
13	а в	1	5
14	никогда не	1	5
15	что в	2	4
16	себя в	1	4
17	жизни и	1	4
18	тем что	1	3
19	в значительной	1	3
20	говорить о	1	3
21	что для	1	3
22	того что	1	3
23	не так	1	2
24	все эти	1	2
25	только для	1	2
26	и серьезно	1	2
27	нисколько не	1	2
28	а с	1	2
29	значительной мере	1	2
30	и тот	1	2
31	по отношению	1	2
32	бы его	1	2
33	и о	1	2
34	а по	1	1
35	отношению к	1	1
36	что при	1	1
37	так и	1	1
38	неудивительно что	1	1
39	за границей	1	1
40	а если	1	1
41	очевидно что	1	1
42	бы все	1	1
43	и без	1	1
44	но когда	1	1
45	есть только	1	1
46	от этого	1	1
47	должен быть	2	1
48	как только	1	1
49	могло бы	1	1
50	личности для	1	1
51	бы в	1	1
52	было не	1	1
53	в основе	1	1
54	тех же	1	1
55	то и	1	1
56	доказать что	1	1
57	и задача	1	1
58	стало быть	1	1
59	придется не	1	1
60	с другой	1	1
61	у всех	1	1
62	его личности	1	1
63	данной личности	1	1
64	же это	1	1
65	того же	1	1
66	он с	1	1
67	и ничего	1	1
