N	3gram	Losev_Dial	Morfolog
1	и т д	38	60
2	мы видим что	2	11
3	не может быть	12	9
4	в связи с	3	9
5	с точки зрения	25	6
6	тем не менее	10	6
7	связи с этим	1	5
8	подобно тому как	5	5
9	с другой стороны	3	5
10	в том что	12	4
11	т д как	1	4
12	независимо от того	1	4
13	на самом деле	1	4
14	не могут быть	3	4
15	к тому что	2	4
16	на то что	3	3
17	о том что	6	3
18	в собственном смысле	1	3
19	как и в	3	3
20	для того чтобы	1	3
21	не значит что	2	3
22	и пр и	2	3
23	в то время	6	3
24	бы то ни	2	3
25	мы приходим к	1	3
26	то время как	6	3
27	и тем не	2	2
28	это не значит	1	2
29	к чему не	1	2
30	о том как	2	2
31	ни к чему	1	2
32	дело не в	1	2
33	потому что его	2	2
34	более или менее	1	2
35	друг на друга	1	2
36	хотя и не	2	2
37	же может быть	1	2
38	т д в	2	2
39	не что иное	6	2
40	точно так же	3	2
41	и таким образом	1	2
42	в данном случае	3	2
43	мы имеем в	1	2
44	если это так	1	2
45	но так как	1	2
46	то ни было	1	2
47	во всяком случае	3	2
48	что иное как	6	2
49	с одной стороны	3	2
50	в этом отношении	2	2
51	вопрос о том	1	2
52	т д он	1	2
53	же относятся такие	1	1
54	кроме того есть	2	1
55	но то что	2	1
56	есть не что	3	1
57	т е о	3	1
58	т д и	8	1
59	а не от	1	1
60	еще не значит	1	1
61	т е не	4	1
62	т д все	1	1
63	том что все	1	1
64	тогда перед нами	1	1
65	видим каков характер	1	1
66	и даже не	2	1
67	он как бы	1	1
68	мы скажем что	1	1
69	в применении к	1	1
70	бы только один	1	1
71	т д таким	1	1
72	и может быть	1	1
73	это так то	1	1
74	не так уже	1	1
75	в чем же	2	1
76	в подобных случаях	1	1
77	так как мы	1	1
78	она должна быть	1	1
79	было указано что	2	1
80	если же они	1	1
81	но вот мы	2	1
82	того или другого	3	1
83	т е он	2	1
84	ни в каких	1	1
85	не более как	1	1
86	на его составные	1	1
87	с этой точки	4	1
88	в некоторых случаях	1	1
89	вопрос в каком	1	1
90	в коем случае	4	1
91	и независимо от	1	1
92	из этих двух	1	1
93	можно сказать что	1	1
94	можно говорить лишь	1	1
95	для него специфична	1	1
96	во что бы	1	1
97	далеко не всегда	1	1
98	потому что в	1	1
99	в то же	3	1
100	но они не	2	1
101	тех или иных	2	1
102	и то же	2	1
103	и возможно что	1	1
104	как мы уже	1	1
105	и есть то	1	1
106	в таком случае	11	1
107	мы будем говорить	1	1
108	может быть или	1	1
109	уже не может	1	1
110	т е мы	1	1
111	она не есть	5	1
112	то как же	1	1
113	все эти процессы	1	1
114	что бы то	1	1
115	до сих пор	1	1
116	совершенно ясно что	1	1
117	не потому что	2	1
118	ясно что это	2	1
119	одна за другой	1	1
120	его составные части	1	1
121	ни одна из	1	1
122	иметь в виду	3	1
123	о том кто	1	1
124	ни в коем	4	1
125	одно и то	2	1
126	таким образом что	1	1
127	т д словом	1	1
128	той или иной	2	1
129	это нисколько не	1	1
130	если бы мы	1	1
131	д таким образом	1	1
132	если же в	1	1
133	которые могут быть	1	1
134	ничего не говорится	1	1
135	но если бы	1	1
136	а потому что	1	1
137	животных и т	1	1
138	все это на	1	1
139	с самого начала	1	1
140	или нет? если	1	1
141	что в основе	1	1
142	может существовать и	1	1
143	не говорится и	1	1
144	одна из форм	1	1
145	это было бы	3	1
146	хотя бы только	2	1
147	если она есть	1	1
148	точки зрения совершенно	1	1
149	теми или другими	2	1
150	когда говорят о	1	1
151	этой точки зрения	4	1
152	с тех пор	2	1
153	и пр предметы	1	1
154	значит что его	1	1
155	как же может	1	1
156	сюда же относятся	1	1
157	как бы в	1	1
158	тех пор как	1	1
159	это значит что	25	1
160	во всем ее	1	1
161	и по существу	1	1
162	то что они	1	1
163	то же время	3	1
164	то это значит	4	1
165	из которых каждый	1	1
166	но это не	2	1
167	что и в	1	1
168	мы не можем	2	1
169	и в этой	1	1
170	он не может	3	1
171	коем случае не	4	1
172	то ни стало	1	1
173	с логической и	1	1
