N	2gram	Vinokur_St	VeschiIm
1	т е	21	81
2	и не	23	57
3	не только	36	48
4	то что	27	48
5	не может	10	46
6	и в	61	45
7	и есть	1	40
8	и т	36	39
9	может быть	16	39
10	т д	25	38
11	а не	19	37
12	значит что	3	32
13	что я	3	26
14	потому что	13	25
15	не просто	2	24
16	было бы	21	24
17	только в	11	23
18	по себе	3	23
19	что она	5	23
20	в себе	3	23
21	сказать что	9	22
22	и что	8	22
23	как бы	8	20
24	что такое	2	20
25	что это	5	19
26	что же	6	19
27	с нею	3	19
28	но и	28	19
29	в этом	37	18
30	все же	12	18
31	есть только	2	18
32	так как	7	17
33	что мы	5	17
34	прежде всего	11	17
35	и это	4	17
36	таким образом	16	16
37	того что	14	16
38	как раз	10	16
39	как и	11	15
40	уже не	1	15
41	в том	56	15
42	в ней	9	15
43	но это	9	14
44	и то	6	14
45	не в	15	14
46	в самом	14	13
47	не будет	1	13
48	том что	49	13
49	и для	4	13
50	это и	5	13
51	то ни	2	13
52	что в	41	12
53	и с	6	12
54	бы то	2	12
55	то же	7	12
56	и даже	8	12
57	о том	30	12
58	еще не	4	12
59	если мы	1	12
60	точки зрения	16	12
61	но если	5	12
62	ничего не	6	12
63	что они	9	12
64	ни было	1	12
65	не значит	3	12
66	совершенно не	7	12
67	что и	8	12
68	и как	2	12
69	если она	1	12
70	и их	3	11
71	содержит в	1	11
72	не менее	8	11
73	себя в	1	11
74	д и	2	11
75	и пр	4	11
76	еще и	5	11
77	тем не	4	11
78	ни в	5	11
79	что не	3	11
80	вовсе не	24	11
81	также и	10	11
82	в то	10	11
83	и только	3	11
84	по крайней	2	10
85	в чем	4	10
86	крайней мере	2	10
87	что оно	4	10
88	ясно что	10	10
89	в результате	5	9
90	со стороны	7	9
91	бы и	4	9
92	то и	1	9
93	хотя бы	8	9
94	нисколько не	3	9
95	говорить о	3	9
96	в своем	8	9
97	ни с	3	9
98	это не	8	9
99	у нас	12	9
100	но что	2	9
101	бы в	2	9
102	если оно	1	9
103	она не	3	9
104	так что	8	9
105	но не	5	9
106	на то	5	9
107	и его	11	9
108	должна быть	3	8
109	если бы	11	8
110	с тем	3	8
111	что он	23	8
112	себя и	1	8
113	отличается от	2	8
114	в свете	1	8
115	по сравнению	1	8
116	но в	16	8
117	тут не	3	8
118	мы не	3	8
119	что значит	2	8
120	мы имеем	2	8
121	для него	10	8
122	в ее	6	8
123	все это	13	8
124	в отношении	11	8
125	его в	4	8
126	всего прочего	1	8
127	только и	1	8
128	и потому	3	8
129	не с	1	8
130	даже не	5	8
131	с другой	11	8
132	можно сказать	2	8
133	что есть	1	8
134	с этой	5	7
135	в сущности	2	7
136	то не	3	7
137	оно не	3	7
138	самом деле	14	7
139	все эти	7	7
140	тем что	6	7
141	сравнению с	1	7
142	ни на	3	7
143	и тогда	2	7
144	не потому	3	7
145	можно ли	5	7
146	без всякого	2	7
147	мог бы	1	7
148	никак не	1	7
149	и тут	1	7
150	вообще не	5	7
151	я не	13	7
152	с именем	2	7
153	и тем	3	7
154	е в	3	7
155	от того	1	7
156	а в	18	7
157	из них	11	7
158	можно только	1	7
159	в той	9	6
160	с полной	2	6
161	для себя	3	6
162	в разных	1	6
163	мы говорим	1	6
164	их в	2	6
165	в своей	12	6
166	с собою	1	6
167	в каком	4	6
168	в данном	16	6
169	а если	2	6
170	в одном	7	6
171	и до	2	6
172	как я	1	6
173	одна из	1	6
174	вопрос о	9	6
175	на почве	2	6
176	несмотря на	4	6
177	с точки	10	6
