N	3gram	Nazirov_Tr	formyVre
1	и т п	1	32
2	то же время	5	21
3	в то же	5	18
4	в связи с	1	15
5	в этом мире	1	10
6	не может быть	1	7
7	в отличие от	2	7
8	и в этом	1	6
9	в том что	2	5
10	как и в	1	5
11	прежде всего необходимо	1	4
12	но все же	2	4
13	в этом случае	1	4
14	во всяком случае	1	4
15	и как бы	2	3
16	по сравнению с	1	3
17	все эти образы	1	3
18	но при этом	1	3
19	между этими двумя	2	3
20	и в частности	2	3
21	но в то	2	3
22	о том что	2	3
23	понятно что в	1	3
24	с самого начала	1	3
25	так и в	3	3
26	всего необходимо отметить	1	3
27	романа прежде всего	1	3
28	у него есть	1	2
29	по природе своей	1	2
30	и вместе с	1	2
31	в данном случае	2	2
32	что в таком	1	2
33	и должно быть	1	2
34	у него нет	1	2
35	и в дальнейшем	2	2
36	и в самом	2	2
37	бросается в глаза	2	2
38	в этом романе	1	2
39	как и все	1	2
40	к тому что	1	2
41	и до конца	1	2
42	что он не	1	1
43	все это мы	1	1
44	это как бы	1	1
45	никогда не был	1	1
46	в применении к	1	1
47	в той же	1	1
48	но и на	1	1
49	как своего рода	1	1
50	хотя бы и	1	1
51	романа и в	1	1
52	обстоит дело с	1	1
53	в самом деле	1	1
54	тем не менее	1	1
55	вместе с ними	1	1
56	из родного дома	1	1
57	полностью сохраняет свое	1	1
58	за то что	1	1
59	должно быть по	1	1
60	с помощью этих	1	1
61	с тем и	1	1
62	вместо того чтобы	1	1
63	имеют особое значение	1	1
64	и все же	1	1
65	во всех видах	1	1
66	связан и с	1	1
67	в высшей степени	1	1
68	об этом свидетельствует	1	1
69	то и дело	1	1
70	и не может	1	1
71	в какой-то мере	1	1
72	в одном из	1	1
73	о золотом веке	1	1
74	в это же	1	1
75	роль в романе	1	1
76	же время он	1	1
77	необходимо подчеркнуть что	1	1
78	в романе играет	1	1
79	это очень важно	2	1
80	у достоевского в	1	1
81	но в конце	1	1
82	он сказал что	1	1
83	одно из самых	1	1
84	смысле этого слова	1	1
85	в конце концов	1	1
86	в xix веке	1	1
87	этим объясняется и	1	1
88	объясняется тем что	1	1
89	и в быту	1	1
90	том что он	1	1
91	не могут быть	1	1
92	в таком виде	1	1
93	ее к себе	1	1
