N	2gram	Berdyaev_O	slovoVRo
1	и в	19	92
2	может быть	11	59
3	и его	4	59
4	в нем	10	59
5	и не	13	51
6	не только	11	44
7	не может	4	41
8	но и	13	39
9	до конца	7	37
10	в этом	12	36
11	а не	11	34
12	так и	2	30
13	могут быть	3	29
14	в его	7	27
15	все это	6	25
16	как бы	3	24
17	и на	2	22
18	в сущности	1	21
19	как в	1	21
20	не в	11	21
21	вовсе не	1	21
22	в процессе	1	20
23	прежде всего	9	19
24	с ним	3	18
25	как и	6	18
26	и даже	1	17
27	все же	2	17
28	в истории	2	17
29	все эти	4	17
30	в них	1	16
31	но в	2	16
32	и с	2	15
33	человек и	4	15
34	отношении к	1	13
35	это не	3	13
36	с его	4	13
37	и для	2	13
38	и к	2	12
39	в отношении	1	12
40	еще не	3	12
41	во всяком	1	12
42	никогда не	9	12
43	и потому	2	12
44	а в	5	12
45	отношение к	5	12
46	один из	1	11
47	в этих	3	11
48	с ними	1	11
49	для него	5	11
50	и все	10	10
51	уже не	1	10
52	лишь в	7	10
53	в своем	2	10
54	в том	5	10
55	она не	1	10
56	в себе	3	10
57	в своей	2	9
58	сказать что	2	9
59	так как	2	9
60	его в	2	9
61	у толстого	1	9
62	одна из	1	9
63	и других	1	9
64	и мир	1	9
65	он не	7	9
66	и от	3	9
67	но не	1	9
68	к нему	3	9
69	в самом	5	8
70	не могут	3	8
71	все время	1	8
72	человека в	11	8
73	всяком случае	1	8
74	в одной	1	8
75	человека и	10	8
76	в ней	1	8
77	во всем	1	7
78	от него	7	7
79	же и	1	7
80	еще более	1	7
81	о нем	1	7
82	например в	1	7
83	том что	2	7
84	на своем	1	7
85	в романах	4	7
86	у него	22	7
87	не было	9	7
88	его не	2	7
89	также и	1	7
90	ту же	1	7
91	жизни и	1	7
92	что в	4	6
93	и здесь	1	6
94	в одном	1	6
95	по себе	2	6
96	и там	2	6
97	как к	2	6
98	связан с	1	6
99	бы и	1	6
100	человек в	1	6
101	хотя бы	3	6
102	он в	2	6
103	ничего не	2	6
104	темы о	1	6
105	должна быть	1	5
106	к его	1	5
107	о том	3	5
108	но оно	1	5
109	его и	1	5
110	и более	1	5
111	мы не	1	5
112	для того	3	5
113	а вовсе	1	5
114	но он	7	5
115	между этими	1	5
116	уже в	2	5
117	хотя и	2	5
118	этом отношении	1	5
119	и этим	2	5
120	стремится к	1	5
121	с их	1	5
122	в других	2	5
123	особенно в	1	5
124	в каждом	1	5
125	не с	1	5
126	и сам	1	5
127	в виду	1	4
128	со всеми	1	4
129	если бы	1	4
130	отношения к	1	4
131	всегда в	1	4
132	что он	3	4
133	ли он	1	4
134	друг с	1	4
135	даже и	2	4
136	того чтобы	4	4
137	в другом	2	4
138	и формы	1	4
139	в свой	1	4
140	но это	1	4
141	его как	1	4
142	из них	1	4
143	того что	3	4
144	он должен	1	4
145	все его	1	4
146	что и	2	4
147	они в	1	4
148	в которой	2	4
149	и как	1	4
150	только и	4	4
151	с другом	1	4
152	с образом	1	4
153	характер и	1	4
154	в частности	1	4
155	одним словом	1	4
156	из него	1	4
157	и о	2	4
158	речи и	1	4
159	бы ни	1	4
160	и ее	3	4
161	все что	3	3
162	и самое	1	3
163	его с	1	3
164	смысле слова	1	3
165	в разных	1	3
166	в форме	1	3
167	и то	2	3
168	интерес к	1	3
169	тем что	2	3
170	в корне	1	3
171	этого типа	1	3
172	в одно	1	3
173	жизни в	2	3
174	человеке и	5	3
175	мир и	1	3
176	от этого	1	3
177	и нет	2	3
178	отличается от	1	3
179	было бы	3	3
180	связана с	1	3
181	как это	1	3
182	сознания в	1	3
183	в этой	5	3
184	людей и	1	3
185	и до	1	3
186	отметить что	1	3
187	в сознании	1	3
188	этого слова	1	3
189	с каким	1	3
190	в свое	1	3
191	ни с	7	3
192	должно быть	2	3
193	чем в	2	3
194	дело в	1	3
195	и без	1	3
196	лишь на	1	3
197	не есть	2	3
198	а иногда	1	3
199	в новом	1	3
200	нисколько не	1	3
201	это было	3	3
202	и это	1	3
203	не все	2	3
204	личности и	2	3
205	потому что	9	3
206	на нем	1	3
207	в иных	1	3
208	к этому	2	3
209	к раскрытию	1	3
210	нуждается в	1	3
211	этими двумя	1	3
212	вещей и	1	3
213	науки о	1	2
214	в новые	1	2
215	человеческой личности	6	2
216	та же	1	2
217	был бы	1	2
218	есть для	1	2
219	из всех	1	2
220	связанная с	1	2
221	связь с	1	2
222	особого рода	1	2
223	вот что	1	2
224	заключается в	1	2
225	из самых	1	2
226	в жизни	1	2
227	а именно	1	2
228	есть на	1	2
229	да и	1	2
230	ни к	1	2
231	то что	5	2
232	в котором	1	2
233	в пределе	1	2
234	он был	8	2
235	возможностей и	2	2
236	нет никакой	1	2
237	ее с	1	2
238	совершенно не	1	2
239	цели и	1	2
240	как например	1	2
241	он весь	2	2
242	всегда и	1	2
243	человеком и	1	2
244	от которого	1	2
245	как от	1	2
246	что все	2	2
247	момент в	2	2
248	речь о	1	2
249	проникновение в	1	2
250	в ее	2	2
251	свои собственные	1	2
252	и возможности	1	2
253	ближе к	1	2
254	указать на	1	2
255	того как	1	2
256	как у	1	2
257	что для	2	2
258	на самом	1	2
259	у нас	1	2
260	с умом	1	2
261	достоевский был	3	2
262	системы и	1	2
263	и есть	3	2
264	от всех	1	2
265	что она	1	2
266	и темное	1	2
267	тема о	1	2
268	и эта	1	2
269	что не	4	2
270	то в	1	2
271	мира он	1	2
272	он никогда	1	2
273	особый мир	1	2
274	что как	1	2
275	что они	2	2
276	к одному	1	2
277	а с	1	2
278	стремиться к	1	2
279	в своих	3	2
280	и ни	2	2
281	быть сопоставлены	1	2
282	так что	2	2
283	действующих лиц	1	2
284	его всегда	1	2
285	и что	1	2
286	можно было	1	2
287	по своей	1	2
288	к которой	1	2
289	и способы	1	2
290	он еще	1	2
291	образ человека	2	2
292	к ней	2	2
293	сказать в	1	2
294	человека как	1	2
295	этих романах	1	2
296	была поставлена	1	2
297	на то	1	2
298	мира в	1	2
299	образа человека	1	2
300	есть не	1	2
301	и самый	1	2
302	быть он	1	1
303	с которой	2	1
304	ведет к	1	1
305	человек может	1	1
306	а потому	1	1
307	над ними	1	1
308	которой все	1	1
309	в душе	2	1
310	к другу	1	1
311	всего в	2	1
312	из сторон	1	1
313	но может	1	1
314	никогда и	2	1
315	друг к	1	1
316	в конце	1	1
317	и лишь	1	1
318	достоевского и	5	1
319	можно и	1	1
320	в бесах	3	1
321	к этой	2	1
322	от власти	1	1
323	есть без	1	1
324	своих героев	1	1
325	он видит	1	1
326	и противоречия	1	1
327	свою мысль	1	1
328	о чем	1	1
329	его он	1	1
330	мысли и	3	1
331	но тем	1	1
332	говорит о	1	1
333	смерть и	1	1
334	темой о	1	1
335	одно из	2	1
336	подходит к	1	1
337	люди все	1	1
338	в высшее	1	1
339	сторон и	1	1
340	ставит в	1	1
341	всей ее	1	1
342	вопрос об	1	1
343	значение что	1	1
344	должен был	2	1
345	потребность в	2	1
346	и он	8	1
347	этом нужно	1	1
348	его собственная	1	1
349	людей в	1	1
350	и действительно	1	1
351	все герои	5	1
352	это движение	1	1
353	особенное значение	1	1
354	всех тех	1	1
355	возможности и	1	1
356	состоит из	1	1
357	эта тема	1	1
358	но почему	1	1
359	но у	1	1
360	от того	1	1
361	была лишь	1	1
362	там и	1	1
363	и русский	1	1
364	со стороны	1	1
365	в это	1	1
366	к другому	1	1
367	нем нет	3	1
368	где оно	1	1
369	образе в	1	1
370	было у	1	1
371	него из	1	1
372	только одно	3	1
373	нет ничего	7	1
374	с какой	1	1
375	то он	1	1
376	в бытовом	1	1
377	не существует	1	1
378	характер его	1	1
379	сам человек	1	1
380	не имеют	1	1
381	из образов	1	1
382	один только	1	1
383	заключено в	1	1
384	погружается в	2	1
385	быть не	1	1
386	проник в	1	1
387	динамика ее	1	1
388	человека от	1	1
389	в этот	2	1
390	героев достоевского	2	1
391	и по-новому	1	1
392	о достоевском	2	1
393	чтобы самому	1	1
394	между двумя	1	1
395	только один	1	1
396	чего не	1	1
397	проникновения в	1	1
398	не внешне	1	1
399	может служить	1	1
400	за собой	1	1
401	и ему	1	1
402	этой речи	1	1
403	всегда нуждается	1	1
404	можно ли	2	1
405	те которые	2	1
406	месте и	1	1
407	ничего нет	1	1
408	в чистом	1	1
409	всего что	1	1
410	этого мира	2	1
411	среди них	1	1
412	вообще и	1	1
413	исключительный интерес	1	1
414	начиная с	1	1
415	ее как	1	1
416	сложнее и	2	1
417	ему лишь	1	1
418	находится в	1	1
419	а это	1	1
420	на этот	1	1
421	не одно	1	1
422	который в	1	1
423	что говорит	1	1
424	не стоит	1	1
425	он сам	4	1
426	откровение его	1	1
427	человеку и	5	1
428	и после	1	1
429	в самой	9	1
430	единство в	1	1
431	движение не	1	1
432	его собственным	1	1
433	свои силы	1	1
434	внутренней жизни	1	1
435	его собственного	1	1
436	для раскрытия	1	1
437	в самую	4	1
438	попадает в	1	1
439	он знает	1	1
440	с какими	1	1
441	мир в	1	1
442	раскрыть в	1	1
443	до глубины	2	1
444	различие между	3	1
445	о человеке	29	1
446	в первый	1	1
447	собой в	1	1
448	и вот	3	1
449	иных случаях	1	1
450	притом не	1	1
451	него до	1	1
452	для всякого	2	1
453	творчество достоевского	2	1
454	противоречий и	1	1
455	ивана карамазова	7	1
456	раскрывается лишь	1	1
457	он и	1	1
458	чем у	1	1
459	был в	1	1
460	и через	1	1
461	романах достоевского	3	1
462	всегда является	1	1
463	же не	1	1
464	не допускает	1	1
465	в русском	1	1
466	для его	1	1
467	есть уже	1	1
468	и напряженной	1	1
469	и богаче	2	1
470	этот свой	1	1
471	иногда и	1	1
472	виду не	1	1
473	раскрывается в	5	1
474	возвращается все	1	1
475	всегда есть	4	1
476	места в	1	1
477	в силах	1	1
478	лишь к	1	1
479	не те	1	1
480	он говорит	1	1
481	в обычном	1	1
482	с той	1	1
483	ней не	1	1
484	лишь с	1	1
485	и прежде	1	1
486	всего он	1	1
487	говорят о	1	1
488	в мире	1	1
489	одном из	1	1
490	и характер	1	1
491	женщины и	1	1
492	иначе чем	1	1
493	его жизни	1	1
494	больше всего	1	1
495	и идеологических	1	1
496	себе и	1	1
497	героя из	1	1
498	человека требует	1	1
499	под влиянием	1	1
500	это так	1	1
501	бы в	1	1
502	публицистических статьях	1	1
503	ко всему	1	1
504	том случае	1	1
505	их не	2	1
506	он ни	1	1
507	случае если	1	1
508	ко всем	2	1
509	пределы и	1	1
510	образ и	1	1
511	и остаются	1	1
512	от самого	2	1
513	иной высший	1	1
514	совсем не	2	1
515	но всегда	1	1
516	его речь	1	1
517	вокруг образа	1	1
518	романы и	1	1
519	ее у	1	1
520	когда он	3	1
521	всего его	1	1
522	и делают	1	1
523	уже указывали	1	1
524	совершенно новый	1	1
525	в нас	1	1
526	проникнуть в	1	1
527	человека с	1	1
528	развития эти	1	1
529	у нее	1	1
530	стала возможной	1	1
531	и всех	1	1
532	него и	4	1
533	и своим	1	1
534	и никогда	2	1
535	и сразу	1	1
536	но есть	1	1
537	над его	1	1
538	бы он	1	1
539	главное и	1	1
540	самому себе	1	1
541	с чем	2	1
542	своей и	1	1
543	свободной и	1	1
544	в эти	1	1
545	человек не	7	1
546	за все	2	1
547	может пользоваться	1	1
548	которым он	1	1
549	ни был	1	1
550	чтобы не	1	1
551	само по	1	1
552	лишь его	1	1
