N	3gram	Propp_Isto	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	с самого начала	1	4
4	до сих пор	7	3
5	не может быть	4	3
6	в большинстве случаев	2	3
7	по сравнению с	2	3
8	во всяком случае	2	3
9	можно сказать что	2	3
10	так же как	7	2
11	и может быть	1	2
12	о том что	3	2
13	более позднее время	1	1
14	в этом нет	1	1
15	в том что	8	1
16	друг с другом	2	1
17	то же мы	1	1
18	мы знаем что	8	1
19	так и с	1	1
20	мы не можем	1	1
21	и столь же	1	1
22	не что иное	6	1
23	что иное как	6	1
24	вместе с тем	1	1
25	мы уже знаем	3	1
26	но вместе с	1	1
27	подобно тому как	3	1
28	во многих случаях	1	1
29	можно было бы	2	1
30	тех же знакомых	1	1
31	в свою противоположность	1	1
32	и прежде всего	1	1
33	в данном случае	6	1
34	мы имеем в	4	1
35	в этот момент	1	1
36	мы здесь имеем	2	1
37	что в них	2	1
38	в том смысле	1	1
39	могут быть объяснены	1	1
40	по женской линии	2	1
41	в себя и	1	1
42	и как мы	1	1
43	только в одном	2	1
44	не говорит и	1	1
45	через некоторое время	2	1
46	же как и	3	1
47	уже знаем что	1	1
48	но мы уже	1	1
49	этой точки зрения	1	1
50	один из моментов	1	1
51	мы увидим что	2	1
52	же мы видим	1	1
53	мы видим и	1	1
54	может привести к	1	1
55	с этой точки	1	1
56	то же самое	1	1
57	во всем мире	3	1
58	из этих трех	1	1
59	совершенно так же	4	1
60	с одной стороны	2	1
61	и пр это	1	1
62	еще не имеет	1	1
63	нет ничего удивительного	1	1
64	связи с этим	1	1
65	этом нет ничего	1	1
66	таким образом и	2	1
67	на всю жизнь	1	1
68	это и есть	2	1
69	в них и	1	1
70	почти во всем	1	1
71	и входит в	1	1
72	в более позднее	1	1
73	имеем дело с	1	1
74	в связи с	5	1
