N	4gram	Ircho_Kome	Dialekti
1	не что иное как	1	18
2	в то же время	5	14
3	одна и та же	1	8
4	в то время как	6	8
5	не говоря уже о	4	7
6	ни в коем случае	1	6
7	с этой точки зрения	1	4
8	в связи с этим	1	4
9	и т д все	1	4
10	одних и тех же	1	3
11	в том что именно	1	2
12	ни в чем не	1	2
13	несмотря на всю ее	1	2
14	но все же это	1	2
15	так же как и	1	2
16	о том что для	1	1
17	и за ее пределами	1	1
18	с их точки зрения	2	1
19	сомневаться в том что	2	1
20	в том что в	1	1
21	с другой стороны в	1	1
22	к одному и тому	1	1
23	бы то ни было	4	1
24	о которых говорится в	1	1
25	можно сомневаться в том	2	1
26	одному и тому же	1	1
27	пришли к выводу что	1	1
28	до сих пор не	1	1
29	в том случае если	1	1
30	могла идти речь о	1	1
31	для того чтобы установить	1	1
32	то время как в	1	1
33	в том что он	4	1
34	и во всяком случае	1	1
35	в том что они	1	1
