N	4gram	Bakhtin_KF	Istorich
1	во всех этих случаях	1	11
2	то же самое что	1	4
3	и тем не менее	1	4
4	один и тот же	3	3
5	до сих пор не	1	3
6	бы то ни было	2	3
7	в одном случае мы	1	2
8	дело в том что	1	2
9	уже не может быть	2	1
10	есть на самом деле	2	1
11	в том смысле в	1	1
12	с нашей точки зрения	1	1
13	на то что уже	1	1
14	а с точки зрения	1	1
15	не само по себе	1	1
16	несмотря на то что	1	1
17	на своем месте и	1	1
18	только по отношению к	2	1
19	он может быть только	1	1
20	в том случае когда	1	1
21	и небо и землю	1	1
22	он не может быть	1	1
23	между прочим и в	1	1
24	но это уже не	1	1
25	одна и та же	2	1
26	как одно из проявлений	1	1
27	тем не менее в	1	1
28	только в том что	1	1
29	конечно не может быть	1	1
30	может быть дано только	1	1
31	и в этом смысле	1	1
32	в то же время	2	1
