N	3gram	Bakhtin_fo	Vladivir
1	в том что	4	29
2	о том что	2	22
3	в то время	3	13
4	дело в том	2	13
5	во всяком случае	1	12
6	в связи с	12	12
7	в конце концов	1	11
8	к тому же	2	11
9	не может быть	4	10
10	в то же	10	10
11	вместе с тем	3	10
12	с точки зрения	9	10
13	как раз и	2	9
14	то же время	13	9
15	а также и	3	8
16	это значит что	2	7
17	на первый план	2	7
18	в это время	1	7
19	в данном случае	2	6
20	том что в	1	6
21	в отличие от	3	6
22	с другой стороны	1	6
23	и в этом	2	6
24	как мы видели	1	6
25	и в то	7	5
26	само собой разумеется	2	5
27	и в том	1	5
28	то что в	1	5
29	не только в	6	5
30	то время как	2	5
31	что и в	1	5
32	в дальнейшем мы	1	4
33	можно сказать что	1	4
34	как мы уже	11	4
35	в том же	3	4
36	для того чтобы	11	4
37	в этом отношении	5	4
38	это учение о	1	4
39	и вместе с	1	4
40	что в этом	1	4
41	и т д	3	4
42	в себе и	1	4
43	мы будем говорить	2	4
44	с одной стороны	3	4
45	также и в	3	4
46	в самом деле	1	3
47	в котором он	1	3
48	в том числе	7	3
49	не только на	1	3
50	это же самое	1	3
51	всей его жизни	1	3
52	это вовсе не	1	3
53	к тому что	1	3
54	в свою очередь	1	3
55	собой разумеется что	2	3
56	и до конца	2	3
57	и в дальнейшем	1	3
58	в связи со	1	3
59	только в том	1	3
60	тем более что	2	3
61	и в частности	2	3
62	кроме того в	1	3
63	так что в	1	3
64	с самого начала	3	3
65	мы уже сказали	4	3
66	уже не только	1	3
67	так же как	2	2
68	одной стороны и	2	2
69	но вместе с	1	2
70	с этим в	2	2
71	по вопросу о	1	2
72	совершенно так же	1	2
73	мы уже видели	1	2
74	до некоторой степени	1	2
75	в себе не	1	2
76	так и в	1	2
77	до сих пор	4	2
78	в тот же	1	2
79	бросается в глаза	1	2
80	он как мы	1	2
81	там же в	1	2
82	и прежде всего	4	2
83	и во многом	1	2
84	мы уже знаем	1	2
85	не может не	1	2
86	имел в виду	1	2
87	так как он	2	2
88	он не был	1	2
89	и по существу	1	2
90	и совсем не	1	2
91	сих пор не	1	2
92	а так как	1	2
93	как то что	1	2
94	еще и в	1	2
95	да и в	1	2
96	но дело в	1	2
97	ни в чем	3	2
98	некоторые моменты его	1	2
99	а следовательно и	3	2
100	связи с этим	4	2
101	но в данном	1	2
102	но в то	2	2
103	его жизни в	1	2
104	одно и то	4	2
105	и то же	4	2
106	сказать что здесь	1	2
107	так и его	1	2
108	главным образом в	1	2
109	в этом случае	1	2
110	есть прежде всего	1	2
111	для него это	1	2
112	что в нем	1	2
113	оно не может	1	2
114	с тем что	2	2
115	как мы увидим	2	2
116	и все же	1	2
117	как мы сказали	1	2
118	по этому вопросу	1	2
119	все это было	1	2
120	иной раз и	1	2
121	сводится к тому	1	2
122	может быть и	4	2
123	нечего и говорить	1	2
124	для него самого	1	1
125	мы и в	1	1
126	в этот момент	1	1
127	все больше и	1	1
128	в самом начале	1	1
129	но все эти	2	1
130	и как бы	2	1
131	все то что	2	1
132	ясно что в	1	1
133	бы он ни	2	1
134	о которой мы	1	1
135	в себе в	1	1
136	их жизни но	1	1
137	того что люди	1	1
138	в той же	1	1
139	до известной степени	1	1
140	и наконец в	1	1
141	больше и больше	1	1
142	возвращается к своему	1	1
143	как это делают	1	1
144	к выводу что	1	1
145	того чтобы не	1	1
146	как мы говорили	1	1
147	в нем мы	1	1
