N	3gram	Bakhtin_Pr	Formalny
1	с точки зрения	21	40
2	не может быть	8	29
3	на самом деле	4	21
4	то же время	10	20
5	в то же	10	20
6	во всяком случае	3	16
7	по отношению к	17	12
8	в самом деле	5	11
9	так и в	1	11
10	в этом отношении	7	11
11	в его целом	8	10
12	бы то ни	3	10
13	в зависимости от	5	10
14	в большинстве случаев	3	9
15	с другой стороны	3	9
16	и не может	3	9
17	для того чтобы	3	8
18	до сих пор	3	8
19	как мы видели	3	8
20	более или менее	1	7
21	того или иного	1	7
22	сами по себе	4	7
23	то ни было	2	7
24	в высшей степени	2	7
25	а вовсе не	1	7
26	и в этом	8	7
27	в том что	10	6
28	и в то	3	6
29	в своей статье	1	6
30	в данном случае	3	6
31	не только не	1	6
32	раз и навсегда	2	6
33	в художественном произведении	1	6
34	смысле этого слова	2	6
35	может быть и	1	6
36	в этом смысле	12	5
37	в отличие от	3	5
38	к тому что	1	5
39	в значительной степени	1	5
40	до известной степени	1	5
41	в этом романе	1	5
42	как бы ни	1	5
43	прежде всего в	1	5
44	мы не можем	1	5
45	в той же	3	4
46	тем не менее	1	4
47	можно и должно	1	4
48	не в том	1	4
49	дело идет о	4	4
50	в одной плоскости	7	4
51	в конце концов	7	4
52	не могут быть	1	4
53	как раз и	2	4
54	не входит в	3	4
55	в процессе этого	1	4
56	но все же	3	4
57	то ни стало	1	4
58	в ее целом	1	4
59	может быть понято	1	4
60	видения и понимания	3	4
61	в лучшем случае	3	4
62	подобно тому как	5	4
63	с самого начала	3	4
64	и не могут	1	4
65	и до конца	4	4
66	в нем и	2	4
67	нет и не	1	4
68	сама по себе	3	4
69	так сказать в	1	3
70	же время не	3	3
71	в нем как	1	3
72	при этом условии	1	3
73	в том числе	1	3
74	как и всякое	1	3
75	во что бы	1	3
76	было бы нелепо	1	3
77	только на почве	1	3
78	друг с другом	4	3
79	то же что	3	3
80	чтобы убедиться в	1	3
81	том числе и	1	3
82	можно говорить о	1	3
83	то же самое	1	3
84	только то что	2	3
85	но вовсе не	1	3
86	равно как и	1	3
87	и во всяком	1	3
88	в том смысле	1	3
89	бы ни были	1	3
90	в том чтобы	1	3
91	а не как	4	3
92	потому что он	2	3
93	и в дальнейшем	1	3
94	в своей работе	1	3
95	точки зрения их	1	3
96	взаимодействии с другими	1	3
97	во всех своих	1	3
98	и в частности	1	3
99	то и другое	1	3
100	в самом произведении	2	3
101	и формы его	1	3
102	в противном случае	1	3
103	что бы то	1	3
104	но в то	5	3
105	именно в том	2	3
106	в пределах одного	1	3
107	с начала и	2	3
108	с таким же	1	3
109	в предисловии к	1	3
110	что же касается	1	3
111	нам кажется что	2	3
112	начала и до	2	3
113	мере в какой	1	2
114	все то что	3	2
115	к конкретному материалу	1	2
116	по себе а	1	2
117	не могло бы	1	2
118	в той мере	1	2
119	и наконец в	1	2
120	но все эти	1	2
121	не была бы	1	2
122	и со стороны	1	2
123	отсюда следует что	1	2
124	хотя бы и	3	2
125	с этой точки	1	2
126	в жизни и	1	2
127	совершенно справедливо говорит	1	2
128	что в данном	1	2
129	друг от друга	2	2
130	не совпадает с	2	2
131	она не может	3	2
132	но и с	1	2
133	в этой статье	1	2
134	не потому что	3	2
135	именно потому что	3	2
136	точки зрения своей	1	2
137	в отношении к	1	2
138	между тем как	4	2
139	в самом предмете	1	2
140	тех или иных	1	2
141	точки зрения ее	1	2
142	и в других	1	2
143	той мере в	1	2
144	тем или другим	1	2
