N	4gram	Bakhtin_Fr	RusskieA
1	в том что в	1	8
2	не что иное как	1	4
3	на самом же деле	4	3
4	в том что это	1	3
5	но вместе с тем	1	3
6	так же как и	2	3
7	вместе с тем и	1	2
8	в тех местах где	1	2
9	но это все же	1	1
10	это все же не	1	1
11	в огромном большинстве случаев	1	1
12	одна и та же	1	1
13	дело здесь не в	2	1
14	а в связи с	1	1
15	и того же явления	1	1
16	одного и того же	1	1
17	можно сказать что в	1	1
18	самом же деле эти	1	1
19	одном и том же	1	1
20	и связанные с ним	1	1
21	как это ни странно	1	1
22	в данном случае обряд	1	1
23	это подтверждается и другими	1	1
24	не может так как	1	1
25	в одном и том	1	1
26	вместе с тем он	1	1
27	дело в том что	4	1
28	в то время когда	1	1
29	как мы видели такие	1	1
30	не имеют ничего общего	1	1
