N	2gram	Bakhtin_Pr	FransuaR
1	и в	64	367
2	то есть	3	209
3	в этом	33	112
4	и т.п	1	108
5	и не	55	101
6	таким образом	15	100
7	и его	21	99
8	в его	30	98
9	прежде всего	16	92
10	не только	26	87
11	мы уже	4	85
12	но и	26	84
13	как бы	33	82
14	все эти	13	79
15	вовсе не	12	77
16	в романе	12	77
17	как и	25	76
18	в нем	28	75
19	но в	14	75
20	и на	16	72
21	и др	7	72
22	в том	12	71
23	как мы	13	71
24	то же	18	66
25	и все	6	66
26	в них	5	65
27	в этой	5	65
28	так и	8	65
29	и с	9	64
30	в сущности	10	64
31	в то	15	63
32	во время	1	63
33	во всех	4	62
34	все это	9	62
35	же время	13	55
36	что в	11	52
37	в своем	12	51
38	только в	13	48
39	так как	9	46
40	и до	6	46
41	том что	8	45
42	уже говорили	3	44
43	то что	21	41
44	здесь в	2	41
45	у него	11	40
46	жизни и	3	40
47	в самом	17	38
48	точки зрения	31	37
49	в ней	2	37
50	с его	11	36
51	о том	5	35
52	он был	2	35
53	может быть	43	35
54	мы видим	3	35
55	сказать что	4	34
56	и даже	5	34
57	в себе	11	34
58	рядом с	19	32
59	мы видели	1	32
60	в конце	8	32
61	он не	14	32
62	для него	23	32
63	до конца	10	31
64	в литературе	4	31
65	в своей	11	31
66	нового времени	3	31
67	так же	8	30
68	но он	4	30
69	один из	3	30
70	потому что	8	30
71	той же	8	30
72	и потому	7	30
73	никогда не	11	30
74	в духе	4	29
75	в одном	20	29
76	еще не	10	29
77	связи с	3	29
78	в этих	5	29
79	что он	15	29
80	не может	26	29
81	в особенности	1	29
82	при этом	8	29
83	его в	8	29
84	не в	15	29
85	и к	5	28
86	из них	3	28
87	всех этих	2	28
88	также и	3	28
89	в той	5	28
90	в основе	4	28
91	и другие	1	27
92	сих пор	9	27
93	до сих	9	27
94	том числе	1	27
95	все же	11	27
96	по своему	1	27
97	роль в	1	27
98	и их	3	27
99	кроме того	5	26
100	в условиях	2	26
101	все они	2	26
102	на самом	5	25
103	в области	1	25
104	с помощью	2	25
105	но это	6	25
106	мира и	7	25
107	этот образ	1	24
108	он и	8	24
109	но не	12	24
110	например в	5	24
111	в ее	2	24
112	и у	3	24
113	и от	3	24
114	как в	7	24
115	того чтобы	2	24
116	времени и	2	24
117	в частности	1	24
118	в большинстве	11	24
119	отношение к	4	24
120	большинстве случаев	10	23
121	так сказать	9	23
