N	3gram	Losev_Vesc	Sovremen
1	мы не можем	3	6
2	с точки зрения	6	5
3	в зависимости от	1	4
4	не может быть	22	4
5	мы видели что	3	3
6	не может не	3	3
7	друг с другом	2	2
8	самый вопрос о	1	2
9	в свою очередь	5	2
10	то же самое	1	2
11	во всяком случае	2	2
12	тем не менее	11	2
13	может быть и	1	2
14	в данной области	2	1
15	что необходимо для	1	1
16	по самому своему	1	1
17	есть не что	8	1
18	все же это	1	1
19	не было бы	1	1
20	то ни было	12	1
21	значит что она	4	1
22	в том что	9	1
23	один и тот	1	1
24	в и в	1	1
25	как и во	1	1
26	и есть не	3	1
27	до сих пор	1	1
28	одной стороны и	1	1
29	может не быть	1	1
30	и у нас	1	1
31	в свое время	2	1
32	сами по себе	3	1
33	и тот же	1	1
34	в новое время	1	1
35	не что иное	12	1
36	такие-то и такие-то	1	1
37	в связи с	1	1
38	и еще более	1	1
39	и все же	1	1
40	в самом деле	7	1
41	какой бы то	1	1
42	дело в том	4	1
43	и эта сторона	1	1
44	как мы видим	1	1
45	мы без труда	1	1
46	теория таким образом	1	1
47	в результате мы	1	1
48	и во всех	1	1
49	что иное как	12	1
50	в данном случае	2	1
51	и не было	1	1
52	и во всей	1	1
53	но все же	2	1
54	равно как и	4	1
55	их в системе	1	1
56	и для ее	2	1
57	и что она	2	1
58	принципиально не может	2	1
59	и пр но	1	1
60	ни то ни	1	1
61	и прежде всего	1	1
62	это значит что	25	1
63	когда мы говорим	1	1
64	с одной стороны	3	1
65	она и не	1	1
66	в деталях и	1	1
67	можем ли мы	1	1
68	мы не знаем	1	1
69	хотя и эта	1	1
70	в одном случае	1	1
71	так же как	2	1
72	точки зрения и	1	1
73	то же время	4	1
74	не в том	1	1
75	что в ней	3	1
76	а не только	2	1
77	только одна из	1	1
78	она не может	3	1
79	у нас есть	1	1
80	быть и речи	1	1
81	то ни другое	1	1
82	и может быть	1	1
83	в то же	5	1
84	оно может быть	1	1
85	бы то ни	12	1
86	в живом организме	1	1
87	принципиально не могут	1	1
88	к одному и	1	1
89	и в этом	2	1
90	по крайней мере	10	1
91	те или иные	1	1
92	в этом случае	1	1
93	тот или иной	1	1
94	и есть то	2	1
95	и ничего не	1	1
96	можно было бы	3	1
97	как и вся	1	1
98	в этом смысле	2	1
99	и в то	3	1
100	в себе в	4	1
101	и не может	1	1
102	ни о каком	2	1
103	возможность и для	1	1
104	же это не	1	1
105	на этой стадии	1	1
106	мы видим что	2	1
107	может быть только	6	1
108	они принципиально не	1	1
