N	2gram	Tiupa_Hudo	IolandNe
1	и с	10	3
2	что в	8	2
3	он не	8	2
4	ничего не	11	2
5	и не	15	2
6	в этом	22	2
7	говорить о	4	1
8	все эти	4	1
9	для того	3	1
10	а в	11	1
11	и о	8	1
12	же это	2	1
13	понятий и	1	1
14	это было	2	1
15	у всех	3	1
16	и та	1	1
17	что для	1	1
18	для него	15	1
19	не остается	1	1
20	вплоть до	1	1
21	тех же	2	1
22	тем что	6	1
23	не случайно	14	1
24	только что	4	1
25	бы его	1	1
26	от нее	2	1
27	а если	1	1
28	не слишком	1	1
29	когда его	1	1
30	с а	1	1
31	нам в	1	1
32	теперь я	1	1
33	и др	1	1
34	о жизни	1	1
35	первую очередь	2	1
36	жизни и	10	1
37	пушкина и	1	1
38	с другой	4	1
39	но когда	2	1
40	этого писателя	1	1
41	в целом	2	1
42	более чем	2	1
43	было не	1	1
44	человеке и	1	1
45	нее и	1	1
46	другой стороны	1	1
47	я не	8	1
48	себя в	11	1
49	к отцу	1	1
50	произведения и	2	1
51	автор не	1	1
52	могло бы	1	1
53	то и	5	1
54	в первую	2	1
55	что при	3	1
56	как только	3	1
57	если бы	7	1
58	отношению к	15	1
59	следующим образом	3	1
60	в художественном	6	1
61	по существу	1	1
62	и сам	3	1
63	того что	5	1
64	а с	5	1
65	для других	5	1
66	стало быть	1	1
67	только для	4	1
68	по поводу	3	1
69	и тот	2	1
70	автор и	2	1
71	а также	4	1
72	остается как	1	1
73	так и	19	1
74	личности для	2	1
75	свою жену	1	1
76	автора и	4	1
77	в основе	3	1
78	в значительной	3	1
79	ничего в	1	1
80	без этого	1	1
81	о ней	1	1
82	от этого	2	1
83	того чтобы	6	1
84	и без	1	1
85	а для	1	1
86	бы в	2	1
87	этим и	1	1
88	не дает	1	1
89	а по	2	1
90	есть только	1	1
91	и в	34	1
92	его личности	3	1
93	видит в	3	1
94	это был	1	1
95	никогда не	8	1
96	все это	2	1
97	по отношению	15	1
98	нисколько не	1	1
99	как о	3	1
100	в них	3	1
101	во многом	1	1
