N	3gram	Kanaev_Sov	Vvedenie
1	в том что	1	15
2	не может быть	4	10
3	в этом смысле	1	10
4	тем не менее	2	9
5	до сих пор	1	7
6	в самом деле	1	6
7	в то же	1	6
8	в этом случае	1	6
9	то же время	1	6
10	на этот вопрос	1	5
11	не что иное	1	5
12	что иное как	1	5
13	во всяком случае	2	5
14	по отношению к	1	4
15	по крайней мере	1	4
16	с точки зрения	5	4
17	можно было бы	1	4
18	в данном случае	1	4
19	в отличие от	2	4
20	но все же	1	4
21	с одной стороны	1	4
22	и в этом	1	4
23	одной стороны и	1	3
24	той или иной	1	3
25	и именно в	1	3
26	в свое время	1	3
27	дело в том	1	3
28	в зависимости от	4	3
29	есть не что	1	3
30	то же самое	2	3
31	в известном смысле	1	3
32	в свою очередь	2	2
33	не в том	1	2
34	мы уже знаем	1	2
35	до наших дней	1	2
36	может быть в	1	2
37	и той же	1	2
38	и что следовательно	1	2
39	одной и той	1	2
40	всяком случае не	1	2
41	не могут быть	1	2
42	же самое что	1	2
43	в связи с	1	2
44	влечет за собой	1	2
45	как он выражается	1	2
46	может быть и	2	2
47	но ведь это	1	1
48	что в ней	1	1
49	в и в	1	1
50	и могут быть	1	1
51	быть и речи	1	1
52	из этих двух	1	1
53	в том как	1	1
54	на самом деле	1	1
55	xix в и	1	1
56	и его представители	1	1
57	мы говорим о	1	1
58	все же это	1	1
59	какой бы то	1	1
60	тот факт что	1	1
61	не вытекает из	1	1
62	но если мы	1	1
63	когда мы говорим	1	1
64	из которых в	1	1
65	и есть то	1	1
66	в одном случае	1	1
67	цель и в	1	1
68	может быть только	1	1
69	все же в	1	1
70	не было бы	1	1
71	но уже в	1	1
72	в настоящее время	2	1
73	в обоих случаях	1	1
74	как мы видим	1	1
75	таким образом вся	1	1
76	так же как	1	1
77	и прежде всего	1	1
78	с самого начала	3	1
79	то ни было	1	1
80	только так как	1	1
81	но это уже	1	1
82	не может не	3	1
83	представление о том	1	1
84	заключает в себе	1	1
85	это то же	1	1
86	все это делает	1	1
87	бы то ни	1	1
88	а не только	1	1
89	же это не	1	1
90	данном случае и	1	1
