N	3gram	Potebnia_M	Otkroven
1	природы но и	1	3
2	для того чтобы	4	3
3	не могут быть	5	2
4	с тем что	4	2
5	а не в	1	2
6	и в самой	1	2
7	не может быть	11	2
8	искать не в	1	2
9	но и в	4	2
10	это было бы	2	2
11	и в этом	7	2
12	что у него	1	2
13	ошибочно было бы	1	1
14	сам по себе	5	1
15	того что человек	1	1
16	так что для	1	1
17	о том что	1	1
18	в том что	18	1
19	не так как	1	1
20	все что есть	1	1
21	того чтобы сделать	1	1
22	не в том	6	1
23	есть не только	1	1
24	в одно время	3	1
25	в том случае	1	1
26	ни с какими	1	1
27	не могут и	1	1
28	в этих словах	1	1
29	и вопрос о	1	1
30	как и в	3	1
31	может быть назван	1	1
32	то что в	2	1
33	и все же	1	1
34	и формы человеческой	1	1
35	и не в	1	1
36	том случае если	1	1
37	хотя бы даже	2	1
38	смысле этого слова	3	1
39	во всяком случае	7	1
40	это должно быть	1	1
41	в каждом из	1	1
42	в человеке но	1	1
43	как это часто	1	1
44	в духовную жизнь	1	1
45	о том как	1	1
46	само по себе	6	1
47	в этом отношении	1	1
48	и все это	1	1
49	то он должен	1	1
50	между этими двумя	1	1
51	есть одно из	1	1
52	по сравнению с	1	1
53	это потому что	1	1
54	потому что в	5	1
55	и в душе	1	1
56	на то что	3	1
57	или лучше сказать	1	1
58	было для него	1	1
59	в том только	1	1
60	от того что	5	1
61	заключает в себе	6	1
62	и в том	3	1
63	как художник но	1	1
64	даже и в	1	1
65	после того как	3	1
66	никто не может	1	1
67	что не все	1	1
68	и не может	1	1
69	друг к другу	1	1
