N	2gram	Berdyaev_M	EvropaiC
1	в том	9	31
2	и в	61	24
3	культурных ценностей	1	20
4	том что	7	20
5	все эти	3	19
6	то что	10	18
7	не может	39	18
8	может быть	42	17
9	до сих	5	15
10	народа в	1	15
11	все же	2	15
12	сих пор	5	15
13	точки зрения	6	14
14	к культуре	1	14
15	в этом	34	13
16	все это	6	13
17	самом деле	2	12
18	с этим	4	12
19	между тем	2	12
20	в своем	17	12
21	по отношению	4	11
22	но и	34	11
23	культуры и	2	11
24	отношению к	4	11
25	все что	5	10
26	не только	42	10
27	так и	5	10
28	как и	14	10
29	культуры в	1	10
30	во всех	3	10
31	из себя	2	10
32	как бы	10	10
33	что в	12	9
34	не в	16	9
35	и все	13	9
36	и не	26	9
37	потому что	25	9
38	и что	4	9
39	на то	1	9
40	в самом	15	8
41	с точки	1	8
42	чем у	8	8
43	европейской культуры	1	8
44	к тому	6	8
45	для того	4	8
46	если бы	5	8
47	того чтобы	4	8
48	земного шара	1	8
49	так же	5	8
50	так как	10	7
51	того что	13	7
52	что и	6	7
53	на самом	2	7
54	что он	16	7
55	не менее	1	7
56	из этого	1	7
57	о том	5	7
58	вместе с	7	7
59	по своей	4	7
60	в этой	12	7
61	в силу	1	7
62	для этого	3	7
63	и на	9	6
64	с ним	5	6
65	только в	7	6
66	в мире	12	6
67	отличается от	2	6
68	еще не	1	6
69	все они	1	6
70	и если	1	6
71	должна быть	7	6
72	так что	3	6
73	как на	1	6
74	начало и	1	6
75	с другой	1	6
76	в то	2	6
77	в европе	2	6
78	у них	4	6
79	и для	7	6
80	и к	9	5
81	как к	2	5
82	а потому	1	5
83	должно быть	5	5
84	в состоянии	1	5
85	в его	10	5
86	из всех	1	5
87	что это	5	5
88	многие из	1	5
89	пор не	1	5
90	у него	38	5
91	его в	6	5
92	в которой	8	5
93	но все	1	5
94	и с	6	5
95	и без	2	5
96	по своему	3	5
97	на все	3	5
98	случае если	1	5
99	по сравнению	3	5
100	сравнению с	2	5
101	и истории	1	5
102	быть и	2	5
103	не будет	3	5
104	между двумя	1	5
105	и их	3	5
106	оказывается что	2	5
107	его собственной	2	5
108	лишь в	8	5
109	так называемого	1	5
110	своего народа	1	5
111	в себе	12	5
112	и от	3	5
113	что все	5	5
114	как будто	4	5
115	к этому	3	5
116	но в	12	5
117	не так	6	4
118	и то	2	4
119	ее и	2	4
120	та же	4	4
121	на вопрос	1	4
122	самого себя	6	4
123	хотя и	2	4
124	это есть	4	4
125	в их	4	4
126	культуру и	1	4
127	одним из	2	4
128	в конце	11	4
129	с тем	10	4
130	не есть	21	4
131	не могут	6	4
132	и у	3	4
133	том случае	1	4
134	а с	1	4
135	что мы	1	4
136	мы уже	1	4
137	в течение	1	4
138	хотя бы	8	4
139	в такой	4	4
140	мы должны	1	4
141	народ в	1	4
142	целый ряд	2	4
143	признать что	1	4
144	прямой линии	1	4
145	отношение к	9	4
146	все-таки не	1	4
147	что как	1	4
148	в области	1	4
149	культуры как	1	4
150	он не	34	4
151	конце концов	3	4
152	всех этих	1	4
153	то же	4	4
154	никогда не	30	4
155	ближе к	1	3
156	во всем	5	3
157	на почве	3	3
158	от него	4	3
159	только те	1	3
160	возможно лишь	1	3
161	только что	1	3
162	и по	4	3
163	которые не	2	3
164	в начале	2	3
165	тогда когда	2	3
166	в нашем	2	3
167	в разных	3	3
168	как у	2	3
169	для нас	3	3
170	прежде всего	18	3
171	у нас	13	3
172	одно из	3	3
173	же не	2	3
174	коренным образом	1	3
175	в этих	6	3
176	чем в	3	3
177	ко всем	3	3
178	от тех	1	3
179	в нем	26	3
180	заключается в	1	3
181	в жизни	7	3
182	можно назвать	1	3
183	во имя	26	3
184	же как	1	3
185	но по	1	3
186	на земле	7	3
187	есть начало	1	3
188	в истории	2	3
189	может не	3	3
190	и это	16	3
191	в сторону	1	3
192	что их	1	3
193	тем более	1	3
194	жизнь и	5	3
195	только одно	3	3
196	и потому	17	3
197	всему этому	1	3
198	и других	2	3
199	отличие от	1	3
200	вопрос о	7	3
201	в ней	23	3
202	что если	1	3
203	должны быть	3	3
204	с этой	4	3
205	это не	10	3
206	и до	1	3
207	конечно не	3	3
208	уже и	1	3
209	не вполне	1	3
210	от того	4	3
211	к которой	4	3
212	а в	4	3
213	а лишь	3	3
214	было бы	11	3
215	они должны	1	3
216	что только	1	3
217	чтобы все	1	3
218	но не	8	3
219	в эти	1	3
220	бы в	3	3
221	как для	2	3
222	не надо	2	3
223	тот же	1	3
224	и наконец	1	3
225	не то	1	3
226	одной и	2	2
227	все в	7	2
228	что за	2	2
229	к такому	1	2
230	от нее	5	2
231	и весь	1	2
232	что они	4	2
233	мои мысли	1	2
234	во втором	1	2
235	но на	2	2
236	все его	3	2
237	к другу	6	2
238	что у	3	2
239	друг к	6	2
240	как две	1	2
241	антропологии и	1	2
242	многих других	1	2
243	то есть	3	2
244	этот процесс	5	2
245	то в	2	2
246	мы все	1	2
247	на том	3	2
248	для себя	1	2
249	он считает	2	2
250	не без	1	2
251	для него	28	2
252	основанную на	1	2
253	тем как	2	2
254	те же	5	2
255	то и	1	2
256	и из	1	2
257	каждого человека	3	2
258	не от	3	2
259	в виду	2	2
260	этими двумя	2	2
261	страсть к	1	2
262	но с	2	2
263	с психологией	1	2
264	в своих	4	2
265	не было	25	2
266	не потому	2	2
267	меньше чем	1	2
268	все то	1	2
269	быть признана	1	2
270	не знает	12	2
271	не очень	1	2
272	человек принадлежит	1	2
273	и сам	1	2
274	из нее	1	2
275	на нее	1	2
276	и там	10	2
277	вовсе не	1	2
278	что такой	1	2
279	но для	2	2
280	жизни и	6	2
281	то время	2	2
282	если он	7	2
283	между этими	1	2
284	тому что	2	2
285	давно уже	1	2
286	я не	4	2
287	между ними	1	2
288	как не	1	2
289	их в	1	2
290	есть в	3	2
291	в которых	5	2
292	никто не	3	2
293	есть только	2	2
294	следовательно и	1	2
295	можно ли	2	2
296	они не	4	2
297	на одном	1	2
298	себя и	6	2
299	не имеет	7	2
300	же мало	1	2
301	высшей степени	4	2
302	со своей	2	2
303	почти все	1	2
304	ему и	1	2
305	зависимости от	1	2
306	культуры для	1	2
307	не стоит	1	2
308	нет в	5	2
309	должен быть	4	2
310	культуры он	1	2
311	вопросе о	1	2
312	в них	5	2
313	во всяком	1	2
314	ко всему	2	2
315	и состоит	1	2
316	ответить на	2	2
317	а к	2	2
318	а для	2	2
319	в основе	4	2
320	и более	2	2
321	в котором	9	2
322	считает себя	3	2
323	и только	1	2
324	борьбы за	1	2
325	на этом	5	2
326	и социальной	1	2
327	она не	9	2
328	всяком случае	1	2
329	к нему	8	2
330	в свою	5	2
331	именно потому	1	2
332	можно лишь	1	2
333	на друга	1	2
334	также и	6	2
335	ту же	1	2
336	в другом	1	2
337	эта страсть	1	2
338	и поэтому	3	2
339	и уже	1	2
340	только тогда	1	2
341	только один	3	2
342	к тем	2	2
343	говорить о	1	2
344	тех же	1	2
345	же что	2	2
346	которую он	2	2
347	него с	1	2
348	из него	1	2
349	заключает в	3	2
350	и те	4	2
351	этот вопрос	1	2
352	от своей	2	2
353	сил и	1	2
354	из одного	1	2
355	в вопросе	1	2
356	друг на	1	2
357	потому и	2	2
358	я в	1	2
359	что же	2	2
360	к ним	1	2
361	между людьми	1	2
362	на такой	1	2
363	уже более	1	2
364	на путь	2	2
365	он все	1	2
366	той же	3	2
367	которые уже	1	2
368	в высшей	4	2
369	во всей	1	2
370	более всего	1	2
371	он принужден	1	2
372	что она	5	2
373	в частности	1	2
374	свои силы	3	2
375	этого слова	1	2
376	в сущности	2	2
377	но если	4	2
378	и его	13	2
379	что до	1	2
380	от них	1	2
381	а следовательно	1	2
382	не будут	2	2
383	которой мы	1	2
384	в самой	8	2
385	точку зрения	1	2
386	и ее	2	2
387	что на	1	2
388	к психологии	1	2
389	друг друга	12	2
390	из этой	2	2
391	он должен	4	2
392	для россии	1	1
393	существование и	1	1
394	и греческой	1	1
395	как все	1	1
396	всего в	2	1
397	были бы	1	1
398	люди которые	1	1
399	в религиозном	1	1
400	в состояние	1	1
401	теперь я	1	1
402	на деле	4	1
403	и идет	1	1
404	государство не	1	1
405	в другой	1	1
406	стоит на	2	1
407	мы видим	4	1
408	в более	4	1
409	он есть	1	1
410	один из	9	1
411	моих мыслей	1	1
412	она и	1	1
413	они и	3	1
414	же и	2	1
415	различие между	2	1
416	пришли к	1	1
417	не во	1	1
418	но те	1	1
419	и свою	1	1
420	воля к	1	1
421	но из	1	1
422	если в	2	1
423	ее на	1	1
424	сам он	2	1
425	те которые	12	1
426	на сторону	2	1
427	того как	3	1
428	от этой	2	1
429	нас не	2	1
430	укладу жизни	1	1
431	без разбора	1	1
432	на гибель	3	1
433	уже в	6	1
434	мы не	2	1
435	народ с	1	1
436	наших глазах	1	1
437	с такой	2	1
438	что я	1	1
439	вывод что	1	1
440	и кто	2	1
441	как проявление	1	1
442	еще более	3	1
443	этой постоянной	1	1
444	была бы	1	1
445	тогда и	1	1
446	потому они	1	1
447	этой мысли	1	1
448	зрелом возрасте	1	1
449	бы на	1	1
450	в своей	18	1
451	человек с	1	1
452	смысл и	1	1
453	он и	2	1
454	или нет	1	1
455	их было	1	1
456	всегда был	1	1
457	в ее	3	1
458	будет ли	1	1
459	его он	2	1
460	мысли и	2	1
461	от начала	1	1
462	тут не	1	1
463	что такое	2	1
464	ее в	1	1
465	и тут	1	1
466	культурной среды	1	1
467	и нужно	2	1
468	окружающей его	1	1
469	и сама	2	1
470	своей истории	1	1
471	может показаться	1	1
472	потому не	3	1
473	все свое	1	1
474	в человеке	10	1
475	делает человека	2	1
476	в тот	1	1
477	и кажется	1	1
478	со своим	2	1
479	в младенчестве	1	1
480	в прошлом	1	1
481	многих отношениях	1	1
482	на которой	1	1
483	отказывается от	1	1
484	лишь из	1	1
485	силой и	1	1
486	то не	1	1
487	рамки и	1	1
488	а все	1	1
489	этом направлении	1	1
490	у многих	1	1
491	смысле этого	1	1
492	быть может	9	1
493	и продолжает	1	1
494	к жизни	1	1
495	в отношении	6	1
496	социальной среды	4	1
497	и всякой	1	1
498	с другим	3	1
499	в ином	2	1
500	их нужно	1	1
501	они останутся	1	1
502	как с	1	1
503	в центре	4	1
504	а на	1	1
505	в самые	1	1
506	мыслится как	1	1
507	в зависимости	1	1
508	что составляет	1	1
509	человечество должно	1	1
510	в борьбе	1	1
511	в духе	6	1
512	у всех	4	1
513	исходит от	2	1
514	он проявляет	1	1
515	умственной жизни	1	1
516	с ней	3	1
517	общество и	1	1
518	начала в	3	1
519	и всякое	1	1
520	будто бы	3	1
521	во многих	2	1
522	мысль о	2	1
523	когда дело	1	1
524	весь свой	1	1
525	о своей	2	1
526	материальной и	1	1
527	себя а	1	1
528	на себя	1	1
529	и эта	3	1
530	тем что	7	1
531	чтобы узнать	1	1
532	тут уже	1	1
533	из всего	1	1
534	отречься от	2	1
535	и всю	2	1
536	чтобы заставить	1	1
537	или иная	1	1
538	я и	3	1
539	в материальной	1	1
540	разрушают и	1	1
541	принадлежат к	3	1
542	отношения к	6	1
543	стремятся к	1	1
544	кто в	1	1
545	и другим	1	1
546	и вырождения	1	1
547	так это	2	1
548	с ума	4	1
549	долгое время	2	1
550	и как	3	1
551	лишь с	1	1
552	как о	1	1
553	но он	17	1
554	к его	1	1
555	время как	2	1
556	сомнения и	1	1
557	для каждого	1	1
558	себя как	1	1
559	а именно	1	1
560	и перед	3	1
561	рядом с	1	1
562	стремления к	1	1
563	этого необходимо	2	1
564	должны погибнуть	1	1
565	выйти из	2	1
566	на эту	1	1
567	жизни ее	1	1
568	но когда	3	1
569	как в	9	1
570	жизни в	3	1
571	так в	1	1
572	что ни	1	1
573	к концу	5	1
574	к своему	2	1
575	мир который	1	1
576	от этого	4	1
577	приводит к	2	1
578	только для	1	1
579	друга и	1	1
580	конец и	1	1
581	и я	5	1
582	бы не	4	1
583	нужно пройти	1	1
584	и этого	1	1
585	да и	1	1
586	отсутствия у	1	1
587	веру в	5	1
588	является лишь	1	1
589	это было	1	1
590	роль в	2	1
591	идеи и	2	1
592	на его	1	1
593	для их	1	1
594	себе и	4	1
595	знает что	1	1
596	людьми и	3	1
597	на своем	4	1
598	раз когда	2	1
599	мира в	2	1
600	последствия этого	1	1
601	уже не	8	1
602	людей с	1	1
603	бы это	2	1
604	связаны с	1	1
605	лишь те	2	1
606	вопроса о	1	1
607	с простым	1	1
608	который и	2	1
609	психологической точки	1	1
610	а потом	1	1
611	русской истории	1	1
612	части человечества	1	1
613	всех своих	1	1
614	его к	2	1
615	европы а	1	1
616	стоит и	1	1
617	к одному	2	1
618	остается в	1	1
619	права и	1	1
620	в каждом	4	1
621	нет ничего	9	1
622	перестает быть	1	1
623	со своих	1	1
624	это и	7	1
625	русской жизни	1	1
626	ни на	1	1
627	не имея	1	1
628	свобода которую	1	1
629	же все	1	1
630	цели все	1	1
631	на природу	4	1
632	и эти	1	1
633	этих разговоров	1	1
634	деле принцип	1	1
635	указывали на	1	1
636	мысль на	1	1
637	две стороны	1	1
638	же я	1	1
639	человеческая порода	1	1
640	после этого	1	1
641	социалистическое государство	2	1
642	то это	1	1
643	людей и	5	1
644	мыслей и	1	1
645	ее он	2	1
646	все три	1	1
647	жизни он	3	1
648	среды в	1	1
649	она должна	1	1
650	своей собственной	1	1
651	уже так	1	1
652	ним все	2	1
653	смотря на	1	1
654	соединяются в	1	1
655	с психологической	1	1
656	и даже	1	1
657	сам не	4	1
658	всю свою	1	1
659	и заключается	1	1
660	и люди	2	1
661	даже и	2	1
662	та или	1	1
663	стоит в	3	1
664	все остальные	1	1
665	на той	1	1
666	он принадлежит	2	1
667	не могу	4	1
668	эти слова	2	1
669	и вот	7	1
670	в значительной	2	1
671	входит в	3	1
672	он принимает	1	1
673	видит и	1	1
674	есть одно	2	1
675	был до	1	1
676	а от	3	1
677	это все	2	1
678	этим он	1	1
679	совсем не	3	1
680	что называли	1	1
681	возможны три	1	1
682	веру и	1	1
683	не быть	2	1
684	многих людей	1	1
685	народа на	1	1
686	путь который	1	1
687	на два	2	1
688	вызывает в	1	1
689	а может	1	1
690	еще менее	1	1
691	что вопрос	1	1
692	а после	1	1
693	этот роковой	2	1
694	в этот	2	1
695	это сознание	1	1
696	кажется что	1	1
697	психологии к	1	1
698	в развитии	1	1
699	от всех	2	1
700	и различие	1	1
701	с которой	2	1
702	чувствовать себя	2	1
703	идет в	1	1
704	есть всегда	2	1
705	смысле слова	7	1
706	если так	1	1
707	которой он	2	1
708	когда она	1	1
709	об отношении	1	1
710	на нем	1	1
711	а за	2	1
712	увидим что	5	1
713	этот с	1	1
714	которые должны	1	1
715	борьбе с	1	1
716	вступает в	1	1
717	почему русский	1	1
718	не были	2	1
719	и та	2	1
720	люди с	1	1
721	все те	1	1
722	русской действительности	1	1
723	чем многие	1	1
724	он признает	1	1
725	на пути	4	1
726	это была	1	1
727	приходит к	2	1
728	человечества не	1	1
729	каждый раз	1	1
730	вере в	2	1
731	если все	1	1
732	есть лишь	23	1
733	себя на	1	1
734	за себя	1	1
735	как природный	1	1
736	в нашей	1	1
737	стороны его	1	1
738	в учении	1	1
739	сознании это	1	1
740	может породить	1	1
741	открытий которые	1	1
742	проникнуть в	1	1
743	из нас	1	1
744	можно найти	1	1
745	лишь как	3	1
746	можно было	1	1
747	на практике	1	1
748	перед этими	1	1
749	высшее благо	1	1
750	себя от	1	1
751	говорили что	1	1
752	и часто	2	1
753	и всех	1	1
754	неизбежно должны	1	1
755	силы что	1	1
756	вперед в	1	1
757	вопрос можно	1	1
758	не случайно	1	1
759	в чистом	1	1
760	все та	1	1
761	есть высшее	1	1
762	стоит вне	1	1
763	будет уже	1	1
764	всего что	2	1
765	но этот	3	1
766	которых они	1	1
