N	2gram	Propp_Isto	Freidism
1	таким образом	15	34
2	и не	16	34
3	точки зрения	3	31
4	не может	8	30
5	и пр	19	29
6	в этом	25	28
7	может быть	22	28
8	и в	43	28
9	прежде всего	3	26
10	в его	7	25
11	и его	10	22
12	с помощью	1	20
13	мы можем	10	20
14	как бы	5	19
15	как мы	11	18
16	то что	20	17
17	к отцу	3	16
18	вовсе не	3	16
19	с точки	1	15
20	все эти	8	15
21	так как	13	15
22	с ним	1	14
23	в своей	4	14
24	так и	6	14
25	самом деле	1	14
26	и все	4	13
27	как и	9	13
28	по отношению	2	13
29	но в	15	13
30	во всех	1	13
31	в самом	1	12
32	то же	11	12
33	ни в	2	12
34	что он	17	12
35	том что	12	12
36	все это	4	12
37	и потому	2	12
38	и наконец	1	12
39	мы видели	18	12
40	только в	8	11
41	мы знаем	11	11
42	сказать что	5	11
43	отношению к	2	11
44	его в	7	11
45	все что	4	10
46	один из	7	10
47	не только	28	10
48	и с	10	10
49	но и	24	10
50	конечно не	3	10
51	что же	2	10
52	тот же	2	10
53	никогда не	9	10
54	в том	13	10
55	мы уже	9	10
56	он не	11	10
57	все те	2	10
58	не в	9	10
59	и на	7	9
60	те же	2	9
61	уже не	11	9
62	во всяком	2	9
63	совершенно не	2	9
64	мы не	3	9
65	с его	1	9
66	к этому	10	9
67	к нему	12	9
68	в чем	4	9
69	а не	13	9
70	мы должны	9	9
71	и др	4	9
72	могут быть	9	9
73	при этом	4	8
74	все же	13	8
75	еще не	15	8
76	с этим	13	8
77	было бы	5	8
78	и вот	3	8
79	знаем что	9	8
80	а в	13	8
81	по мнению	1	8
82	с другими	1	8
83	на этом	5	8
84	в ней	3	8
85	оно и	1	8
86	всяком случае	2	8
87	что в	29	7
88	и к	4	7
89	связь с	12	7
90	в жизни	3	7
91	роль в	2	7
92	хотя бы	3	7
93	в каком	1	7
94	и для	3	7
95	из них	7	7
96	того что	8	7
97	но не	10	7
98	об этом	8	7
99	и у	6	7
100	с самого	1	7
101	в нем	11	7
102	быть и	3	7
103	в этой	7	7
104	отношение к	4	7
105	в себе	2	7
106	жизни и	2	7
107	и прежде	1	7
108	в то	2	7
109	и ее	3	7
110	одно из	2	6
111	если он	2	6
112	в корне	1	6
113	не менее	6	6
114	но мы	1	6
115	к тому	9	6
116	можно сказать	3	6
117	в свою	5	6
118	из этих	5	6
119	мы имеем	24	6
120	как раз	1	6
121	что такое	1	6
122	во время	8	6
123	на самом	2	6
124	здесь в	2	6
125	чем же	1	6
126	в таком	1	6
127	большинстве случаев	3	6
128	она не	4	6
129	и что	6	6
130	в пределах	5	6
131	человека и	1	6
132	и о	2	6
133	и только	6	6
134	для этого	1	6
135	всех этих	3	6
136	которой мы	1	6
137	не можем	2	6
138	что это	4	5
139	в более	1	5
140	со всеми	1	5
141	в своих	1	5
142	ее в	3	5
143	главе мы	3	5
144	с ними	5	5
145	вместе с	12	5
146	со стороны	3	5
147	в следующей	1	5
148	тех же	2	5
149	увидим что	2	5
150	говорить о	1	5
151	и до	1	5
152	и те	1	5
153	самого начала	1	5
154	потому и	1	5
155	что она	8	5
156	он сам	2	5
157	по поводу	1	5
158	той же	3	5
159	это не	10	5
160	в ее	1	5
161	что и	17	5
162	в которой	1	5
163	тому что	1	5
164	между ними	1	5
165	в этих	18	5
166	в себя	3	5
167	и по	6	5
168	не было	2	5
169	другими словами	2	5
170	во второй	2	5
171	не знает	2	5
172	как это	5	5
173	далеко не	3	5
174	только то	1	5
175	от того	3	5
176	в большинстве	2	5
177	заключается в	1	5
178	ничего не	12	5
179	отнюдь не	1	5
180	мы и	1	4
181	в основном	1	4
182	уже знаем	3	4
183	в виду	2	4
184	сводится к	1	4
185	по себе	3	4
186	если бы	7	4
187	именно в	1	4
188	может стать	1	4
189	как в	6	4
190	себя и	1	4
191	этот вопрос	3	4
192	зависимости от	1	4
193	из которого	3	4
194	ничего общего	1	4
195	это и	4	4
