N	2gram	Berdyaev_M	Psycholo
1	то что	10	193
2	и в	61	190
3	в том	9	163
4	что в	12	123
5	потому что	25	114
6	том что	7	113
7	и что	4	108
8	может быть	42	107
9	в этом	34	100
10	то есть	3	97
11	все время	3	86
12	в самом	15	82
13	как бы	10	80
14	для того	4	78
15	того чтобы	4	78
16	что он	16	76
17	не только	42	75
18	на то	1	73
19	и не	26	73
20	что она	5	71
21	самом деле	2	70
22	точки зрения	6	69
23	и т	1	69
24	не может	39	68
25	так же	5	63
26	так как	10	63
27	было бы	11	56
28	если бы	5	55
29	то же	4	54
30	о том	5	54
31	и мы	2	54
32	как и	14	51
33	что и	6	50
34	а не	36	50
35	что это	5	49
36	сказать что	5	46
37	по себе	2	46
38	только в	7	46
39	в сущности	2	46
40	заключается в	1	46
41	говорит что	3	45
42	к тому	6	45
43	в искусстве	1	45
44	не в	16	45
45	в этой	12	43
46	никогда не	30	42
47	и все	13	42
48	вместе с	7	41
49	но и	34	40
50	того что	13	39
51	т п	1	38
52	и это	16	37
53	мы видим	4	37
54	и как	3	36
55	с тем	10	35
56	вовсе не	1	34
57	как на	1	34
58	и если	1	34
59	и его	13	34
60	тому что	2	33
61	все же	2	33
62	что все	5	33
63	когда он	3	33
64	в себе	12	32
65	все это	6	32
66	он не	34	31
67	мы не	2	31
68	в его	10	31
69	для нас	3	31
70	в ней	23	31
71	мы увидим	4	30
72	как будто	4	30
73	как в	9	30
74	и для	7	29
75	с точки	1	29
76	в нем	26	29
77	искусства в	1	29
78	увидим что	5	28
79	что они	4	28
80	и когда	2	28
81	и то	2	28
82	что мы	1	28
83	в своих	4	27
84	в основе	4	27
85	на деле	4	27
86	и на	9	27
87	а в	4	27
88	с другой	1	27
89	все то	1	27
90	в трагедии	3	26
91	так что	3	26
92	только что	1	25
93	и здесь	6	25
94	жизни и	6	25
95	до сих	5	24
96	с таким	2	24
97	до конца	16	24
98	тем что	7	24
99	в своем	17	23
100	сих пор	5	23
101	из этого	1	23
102	один из	9	23
103	что если	1	23
104	целый ряд	2	23
105	для этого	3	23
106	могут быть	2	23
107	казалось бы	1	22
108	с этим	4	22
109	что у	3	22
110	между тем	2	22
111	и даже	1	22
112	когда мы	2	22
113	всякий раз	2	22
114	в котором	9	21
115	в которых	5	21
116	той же	3	21
117	в своей	18	21
118	ни в	3	21
119	в конце	11	21
120	и вот	7	21
121	и только	1	21
122	в то	2	20
123	тот же	1	20
124	мы имеем	1	20
125	она не	9	20
126	на этом	5	20
127	это не	10	20
128	все эти	3	20
129	в одном	1	19
130	мы уже	1	19
131	в какой	1	19
132	мы должны	1	19
133	в ее	3	19
134	у него	38	19
135	с этой	4	18
136	в которой	8	18
137	можно было	1	18
138	но в	12	18
139	зависимости от	1	18
140	в каком	2	18
141	на самом	2	18
142	но не	8	18
143	действующих лиц	1	18
144	и есть	21	18
145	был бы	11	18
146	есть не	9	18
147	в виду	2	17
148	во всяком	1	17
149	мы все	1	17
150	время как	2	17
151	но это	8	17
152	у нас	13	17
153	и о	1	17
154	и к	9	16
155	к этому	3	16
156	та же	4	16
157	обратиться к	1	16
158	говорит о	1	16
159	то это	1	16
160	же как	1	16
161	и тем	1	16
162	не имеет	7	16
163	так и	5	16
164	тому как	2	16
165	от того	4	16
166	в них	5	15
167	во всех	3	15
168	как говорит	1	15
169	могли бы	1	15
170	не могут	6	15
171	на примере	1	15
172	и потому	17	15
173	в зависимости	1	15
174	еще не	1	15
175	для него	28	15
176	в частности	1	15
177	хотя бы	8	14
178	одной и	2	14
179	но он	17	14
180	и той	2	14
181	то время	2	14
182	это и	7	14
183	того как	3	14
184	прежде всего	18	14
185	заключает в	3	14
186	что на	1	14
187	те же	5	14
188	в жизни	7	14
189	не то	1	14
190	бы в	3	14
191	должна быть	7	14
192	это есть	4	14
193	всяком случае	1	14
194	этом отношении	1	14
195	с той	1	14
196	есть только	2	14
197	в области	1	14
198	с ним	5	14
199	не могли	1	13
200	а с	1	13
201	с такой	2	13
202	этот вопрос	1	13
203	в той	3	13
204	когда она	1	13
205	и он	21	13
206	как он	4	13
207	должен был	4	13
208	в этих	6	12
209	их в	1	12
210	не менее	1	12
211	я не	4	12
212	в самой	8	12
213	тогда когда	2	12
214	сам по	2	12
215	в свою	5	12
216	и уже	1	12
217	но если	4	12
218	и этот	4	12
219	это в	1	12
220	конце концов	3	12
221	и с	6	12
222	к психологии	1	12
223	что не	3	12
224	и до	1	12
225	ничего не	4	12
226	об этом	2	12
227	в нашей	1	12
228	конечно не	3	11
229	не было	25	11
230	не будет	3	11
231	была бы	1	11
232	подобно тому	2	11
233	сравнению с	2	11
234	и заключается	1	11
235	по сравнению	3	11
236	и поэтому	3	11
237	на этот	2	11
238	как к	2	11
239	уже в	6	11
240	раз в	1	11
241	на все	3	11
242	и других	2	11
243	отличие от	1	11
244	он должен	4	11
245	есть в	3	11
246	искусство и	1	11
247	по поводу	1	11
248	его в	6	11
249	были бы	1	11
250	и из	1	11
251	отдельного человека	1	11
252	у шекспира	1	11
253	этого слова	1	11
254	с его	6	11
255	думать что	4	11
256	на это	1	11
257	во всем	5	10
258	в другом	1	10
259	трагедии и	1	10
260	смысл и	1	10
261	не так	6	10
262	только тогда	1	10
263	в их	4	10
264	что ни	1	10
265	в одной	1	10
266	от него	4	10
267	отличается от	2	10
268	должно быть	5	10
269	в состоянии	1	10
270	и у	3	10
271	совсем не	3	10
272	все те	1	10
273	и от	3	10
274	ее в	1	10
275	тому чтобы	2	10
276	это было	1	10
277	и их	3	10
278	но что	1	9
279	не есть	21	9
280	вопрос о	7	9
281	в чем	3	9
282	под влиянием	1	9
283	и та	2	9
284	это совершенно	1	9
285	в него	3	9
286	бы не	4	9
287	его и	2	9
288	в отличие	1	9
289	ответ на	1	9
290	по своему	3	9
291	на его	1	9
292	и по	4	9
293	в самых	2	9
294	оказывается что	2	9
295	и ее	2	9
296	которые не	2	9
297	о чем	3	9
298	но все	1	9
299	мысль о	2	9
300	роль в	2	9
301	к чему	5	9
302	и именно	2	9
303	совершенно другой	1	9
304	ту же	1	9
305	мысль что	4	9
306	в силу	1	9
307	оно есть	1	9
308	должен быть	4	9
309	том случае	1	9
310	и наконец	1	9
311	не к	6	9
312	формы в	1	8
313	это значит	3	8
314	себе и	4	8
315	то чтобы	1	8
316	жизни с	1	8
317	будто бы	3	8
318	и тот	2	8
319	чувств и	1	8
320	ни на	1	8
321	уже из	1	8
322	что же	2	8
323	он в	4	8
324	такое же	1	8
325	о нем	2	8
326	произведения искусства	1	8
327	смысле этого	1	8
328	в такой	4	8
329	как все	1	8
330	место в	4	8
331	и эта	3	8
332	которой мы	1	8
333	из всех	1	8
334	наряду с	1	8
335	по преимуществу	4	8
336	именно потому	1	8
337	кажется что	1	8
338	в нее	1	8
339	во время	1	8
340	к нему	8	8
341	и более	2	8
342	относится к	2	8
343	он все	1	8
344	и во	5	8
345	он может	1	8
346	бы и	8	8
347	жизнь и	5	8
348	он видит	1	7
349	мысли и	2	7
350	не как	4	7
351	и там	10	7
352	к самому	2	7
353	от этого	4	7
354	и те	4	7
355	рассказывает о	1	7
356	ни одного	2	7
357	она есть	3	7
358	на том	3	7
359	она в	1	7
360	больше и	1	7
361	в каждом	4	7
362	что такое	2	7
363	психологической точки	1	7
364	должны быть	3	7
365	что только	1	7
366	шекспира и	1	7
367	принадлежат к	3	7
368	со всеми	1	7
369	они не	4	7
370	который он	1	7
371	с психологической	1	7
372	в течение	1	7
373	только один	3	7
374	к ним	1	7
375	не существует	5	7
376	дело и	1	7
377	случае если	1	7
378	к которой	4	7
379	это можно	1	7
380	все что	5	7
381	к этой	3	7
382	нас в	3	7
383	одно из	3	7
384	как они	1	7
385	если он	7	7
386	приходит к	2	7
387	в глаза	1	7
388	в нашем	2	7
389	от этой	2	7
390	и эти	1	7
391	к жизни	1	7
392	лежит в	2	7
393	видит в	1	7
394	бы его	2	7
395	и почему	1	7
396	с которым	2	7
397	а как	2	7
398	и действительно	1	7
399	себя и	6	7
400	признать что	1	7
401	этой трагедии	2	7
402	ее не	1	7
403	различие между	2	7
404	а на	1	7
405	для нашей	1	7
406	к другу	6	6
407	из самых	9	6
408	что действие	1	6
409	с необычайной	2	6
410	он был	18	6
411	что вся	1	6
412	людей и	5	6
413	что как	1	6
414	к этим	3	6
415	вносит в	1	6
416	после этого	1	6
417	тому который	1	6
418	рядом с	1	6
419	в сторону	1	6
420	в русской	4	6
421	из него	1	6
422	почти всегда	1	6
423	она была	2	6
424	что есть	7	6
425	всех этих	1	6
426	друг к	6	6
427	смысле слова	7	6
428	в отношении	6	6
429	оно не	3	6
430	к его	1	6
431	никто не	3	6
432	приводит к	2	6
433	да и	1	6
434	он же	3	6
435	у меня	1	6
436	и вся	1	6
437	только с	3	6
438	находятся в	1	6
439	ее на	1	6
440	то мы	1	6
441	в русском	1	6
442	от всех	2	6
443	у всех	4	6
444	за этим	1	6
445	на нее	1	6
446	сама по	1	6
447	и без	2	6
448	не все	3	6
449	как ни	1	6
450	те которые	12	6
451	к ней	6	6
452	которые в	2	6
453	еще более	3	6
454	у пушкина	1	6
455	из нее	1	6
456	почти все	1	6
457	говорить о	1	6
458	не что	4	6
459	есть по	1	6
460	для понимания	1	6
461	что иное	4	6
462	х годов	1	6
463	что за	2	6
464	и вместе	4	6
465	ответом на	1	6
466	не дает	1	6
467	за пределы	5	6
468	уже не	8	6
469	о его	1	6
470	значит что	4	6
471	почему он	1	6
472	а потому	1	6
473	его с	4	6
474	как не	1	6
475	только одно	3	6
476	тот кто	5	6
477	то и	1	6
478	совпадают с	1	6
479	не потому	2	6
480	в обществе	1	6
481	что я	1	6
482	в плане	1	6
483	в первый	1	6
484	эту мысль	1	6
485	уже совершенно	1	6
486	так в	1	6
487	нисколько не	1	6
488	она должна	1	6
489	отношение к	9	6
490	иное как	4	6
491	начинает с	2	6
492	совершается в	1	6
493	в душе	1	5
494	тем как	2	5
495	между ними	1	5
496	и сам	1	5
497	на эту	1	5
498	за ней	1	5
499	и трагедии	1	5
500	в смысле	1	5
501	можно ли	2	5
502	и еще	3	5
503	к которому	1	5
504	во всей	1	5
505	такой степени	2	5
506	от начала	1	5
507	и кажется	1	5
508	чем в	3	5
509	что составляет	1	5
510	дано в	1	5
511	эти слова	2	5
512	и чтобы	1	5
513	над ним	1	5
514	энергии и	1	5
515	точку зрения	1	5
516	подход к	1	5
517	его к	2	5
518	и самый	2	5
519	если в	2	5
520	своих героев	2	5
521	в другой	1	5
522	отношения к	6	5
523	нет ни	3	5
524	том смысле	2	5
525	на вопрос	1	5
526	это все	2	5
527	быть не	2	5
528	значение и	1	5
529	и теперь	1	5
530	и часто	2	5
531	и наоборот	1	5
532	нет и	6	5
533	она может	2	5
534	у них	4	5
535	что ему	1	5
536	когда они	1	5
537	нас не	2	5
538	одна и	3	5
539	и всегда	3	5
540	которых он	5	5
541	все равно	3	5
542	на одном	1	5
543	бы это	2	5
544	к одному	2	5
545	что всякий	3	5
546	мысли в	1	5
547	но она	3	5
548	человека и	19	5
549	как совершенно	1	5
550	связь с	1	5
551	находит себе	1	5
552	только для	1	5
553	это исследование	1	5
554	не мог	6	5
555	то в	2	5
556	хотя и	2	5
557	и за	2	5
558	не знает	12	5
559	и она	5	5
560	он сказал	1	5
561	не значит	2	5
562	себя в	6	5
563	к такому	1	5
564	совершенно новый	1	5
565	она и	1	5
566	знает что	1	5
567	не имеют	2	5
