N	3gram	Voloshinov	StatiiOP
1	в том что	1	47
2	о том что	2	29
3	в этом отношении	2	24
4	для того чтобы	7	19
5	до сих пор	1	19
6	с точки зрения	5	14
7	с другой стороны	1	13
8	не может быть	2	11
9	в самом деле	2	9
10	то же время	7	9
11	вместе с тем	2	9
12	в то же	9	9
13	можно было бы	1	9
14	тем не менее	1	8
15	к тому что	2	8
16	на самом деле	3	8
17	не только в	3	8
18	в конце концов	3	7
19	но все же	3	7
20	и в этом	1	7
21	по отношению к	2	6
22	не только не	1	6
23	по крайней мере	1	6
24	в одном из	1	6
25	вопрос о том	1	6
26	но и в	3	5
27	тот факт что	1	5
28	с самого начала	4	5
29	и в области	2	5
30	до того как	1	4
31	в связи с	2	4
32	в другом месте	1	4
33	того или иного	5	4
34	иметь в виду	1	4
35	на вопрос о	1	4
36	на эту тему	1	4
37	только потому что	2	3
38	в той же	3	3
39	можно сказать что	2	3
40	то или иное	4	3
41	более или менее	1	3
42	таким образом в	1	3
43	еще до того	1	3
44	так как в	1	3
45	как и вообще	1	3
46	и тем же	2	3
47	это связано с	1	3
48	только в том	1	3
49	не говоря уже	1	3
50	одним и тем	1	3
51	в значительной степени	2	3
52	в этом случае	3	3
53	в русской литературе	1	3
54	прежде всего в	4	3
55	но то что	1	2
56	но вместе с	1	2
57	хотя бы и	1	2
58	в жизни и	1	2
59	этот вопрос в	1	2
60	одних и тех	1	2
61	эту тему в	1	2
62	в зависимости от	7	2
63	в одних и	1	2
64	независимо от того	1	2
65	и в то	2	2
66	все же и	1	2
67	свое выражение в	1	2
68	не может не	1	2
69	то же самое	4	2
70	вовсе не является	1	2
71	только тогда когда	1	2
72	в свою очередь	4	2
73	чуть ли не	2	2
74	той или иной	4	2
75	вследствие того что	1	2
76	в наших глазах	1	2
77	по большей части	1	2
78	и тех же	1	2
79	на этот вопрос	1	2
80	той россии которая	1	2
81	хотя бы на	1	2
82	но в то	2	2
83	как мы видели	3	2
84	здесь нет и	1	2
85	мы имеем в	1	2
86	у нас не	2	2
87	да ведь и	1	2
88	и в наши	1	2
89	тем что он	1	2
90	это прежде всего	1	2
91	как и в	1	2
92	что у нас	2	1
93	должны были бы	2	1
94	и характер его	1	1
95	благодаря тому что	1	1
96	но все эти	1	1
97	ни на минуту	1	1
98	но нет никакого	1	1
99	конечно все эти	1	1
100	и те же	2	1
101	искать ответа на	1	1
102	конечно это не	1	1
103	одному из них	1	1
104	в большинстве случаев	1	1
105	того чтобы не	1	1
106	что в одном	1	1
107	по сравнению с	1	1
108	точку зрения на	1	1
109	почему же мы	1	1
110	в чем другом	1	1
111	совсем другое дело	1	1
112	в собственном смысле	1	1
113	одни и те	2	1
114	и никогда не	1	1
115	до наших дней	1	1
116	но ведь в	1	1
117	в том и	1	1
118	том и другом	1	1
119	тогда когда мы	1	1
120	в голову не	2	1
121	но даже и	1	1
122	и то же	5	1
123	определенную точку зрения	1	1
124	их точки зрения	1	1
125	в хviii веке	1	1
126	для того времени	1	1
127	в одной и	1	1
128	но и вообще	1	1
129	смысле этого слова	2	1
130	в наши дни	1	1
131	о чем он	1	1
132	значений слов в	1	1
133	являются для нас	1	1
134	ответа на вопрос	1	1
135	само по себе	1	1
136	как бы по	1	1
137	на все что	1	1
138	даже и в	1	1
139	по ту сторону	1	1
140	по себе не	1	1
141	и не мог	1	1
142	и по отношению	1	1
143	такие слова как	2	1
144	тогда он должен	1	1
145	и тогда он	1	1
146	с их точки	1	1
147	самого начала был	1	1
148	в высшей степени	1	1
149	в косвенных падежах	1	1
150	мы теперь должны	1	1
151	не менее и	1	1
152	на минуту не	1	1
153	которые звучат в	1	1
154	и другом случае	1	1
155	и в голову	1	1
156	нужно отметить что	1	1
157	в какой форме	1	1
158	бы по ту	1	1
159	мочи нет в	1	1
160	и не может	1	1
161	отношению к действительности	1	1
162	само собой разумеется	2	1
163	с нашей точки	1	1
164	если б с	1	1
165	между тем в	1	1
166	в себе какой-то	1	1
167	в ней вполне	1	1
168	тем же языком	2	1
169	существует лишь в	1	1
170	как бы из	1	1
171	мысль о том	1	1
172	все связанное с	1	1
173	нашей точки зрения	1	1
174	в исключительных случаях	1	1
175	лишь в исключительных	1	1
176	ему и в	1	1
177	и тому же	1	1
178	и в особенности	1	1
179	не совсем так	1	1
180	тому что у	2	1
181	ни в какой	1	1
182	бы в этом	1	1
183	и в отношении	1	1
184	в гостях у	1	1
185	ту или иную	4	1
186	слова как например	1	1
187	но имеет и	1	1
188	уже не к	1	1
189	во время своего	1	1
190	было бы говорить	1	1
191	в так называемой	2	1
192	что ведь и	1	1
193	и не было	1	1
194	в каждом слове	2	1
195	и той же	4	1
196	он попытался написать	1	1
197	связи с этим	2	1
198	той же мере	1	1
199	об этом мы	1	1
200	не должен быть	1	1
201	мы приходим к	1	1
202	не надо думать	1	1
203	лишь то что	1	1
204	и тем что	1	1
205	и в косвенных	1	1
206	это еще не	1	1
