N	3gram	Trubetskoy	Sotsiolo
1	по отношению к	11	2
2	только в этом	1	2
3	в том что	16	2
4	в конце концов	4	2
5	не в том	1	2
6	в то же	2	1
7	друг от друга	6	1
8	как бы он	1	1
9	а между тем	8	1
10	с одной стороны	2	1
11	в связи с	3	1
12	то же самое	1	1
13	по крайней мере	1	1
14	в этой области	4	1
15	то же время	2	1
16	только то что	2	1
17	благодаря тому что	1	1
18	а с другой	2	1
19	во всяком случае	2	1
20	а в том	1	1
21	с ним все	1	1
22	все эти вопросы	1	1
23	в том и	2	1
24	не может не	3	1
25	именно в том	1	1
26	в настоящее время	3	1
27	в лучшем случае	1	1
