N	2gram	Medvedev_I	TeoriaLi
1	и в	1	24
2	и не	2	17
3	а в	1	15
4	так и	1	14
5	в этом	2	12
6	что в	2	10
7	по отношению	1	10
8	отношению к	1	10
9	с другой	1	9
10	себя в	1	7
11	а также	1	7
12	другой стороны	1	6
13	в основе	1	6
14	художественного творчества	1	5
15	в художественном	1	5
16	того чтобы	1	5
17	для того	1	5
18	для него	1	5
19	того что	1	5
20	он не	2	5
21	и о	1	5
22	не случайно	1	5
23	и сам	1	4
24	говорить о	1	4
25	никогда не	1	4
26	того же	1	4
27	в целом	1	4
28	если бы	1	3
29	все эти	1	3
30	о ней	1	3
31	а с	1	3
32	и др	1	3
33	о жизни	1	2
34	в них	1	2
35	к нам	1	2
36	в значительной	1	2
37	у и	1	2
38	на котором	1	2
39	все это	1	2
40	я не	1	2
41	это было	1	2
42	должен быть	2	2
43	а для	1	2
44	автора и	1	2
45	такого знания	1	2
46	первую очередь	1	1
47	со всеми	1	1
48	тем что	1	1
49	с героем	1	1
50	в первую	1	1
51	тех же	1	1
52	более чем	1	1
53	то и	1	1
54	точно и	1	1
55	жизни и	1	1
56	и смыслы	1	1
57	не так	1	1
58	то она	1	1
59	по поводу	1	1
60	его личности	1	1
61	и чрезвычайно	1	1
62	без этого	1	1
63	для других	1	1
64	этим и	1	1
65	по существу	1	1
66	не остается	1	1
67	и без	1	1
68	с жизнью	1	1
69	от этого	1	1
70	и со	1	1
71	ибо и	1	1
72	бы в	1	1
73	этого писателя	1	1
74	не дает	1	1
75	а по	1	1
76	что для	1	1
