N	3gram	Voloshinov	Vvedenie
1	и т д	1	39
2	для того чтобы	3	22
3	в том что	9	15
4	о том что	3	13
5	не может быть	14	10
6	в этом смысле	2	10
7	тем не менее	4	9
8	до сих пор	3	7
9	в применении к	2	6
10	в самом деле	10	6
11	к выводу что	1	6
12	в то же	6	6
13	в этом случае	1	6
14	то же время	6	6
15	на этот вопрос	3	5
16	не что иное	1	5
17	что иное как	1	5
18	во всяком случае	8	5
19	по отношению к	11	4
20	по крайней мере	1	4
21	с точки зрения	15	4
22	по сравнению с	1	4
23	на вопрос о	1	4
24	можно было бы	1	4
25	в данном случае	4	4
26	в отличие от	2	4
27	но все же	1	4
28	с одной стороны	2	4
29	в этом отношении	4	4
30	и тем не	2	3
31	той или иной	1	3
32	заключается в том	2	3
33	в чем же	2	3
34	в собственном смысле	3	3
35	в свое время	1	3
36	можно сказать что	5	3
37	дело в том	1	3
38	но в то	3	3
39	как мы видели	8	3
40	в зависимости от	4	3
41	можно говорить о	1	3
42	есть не что	1	3
43	то же самое	2	3
44	в целом ряде	1	2
45	на этой почве	1	2
46	не может служить	1	2
47	в свою очередь	4	2
48	не менее существует	1	2
49	как будто бы	1	2
50	мы уже знаем	3	2
51	но вместе с	2	2
52	но не может	1	2
53	обратим внимание на	1	2
54	и со стороны	1	2
55	и изучение этих	1	2
56	хотя бы и	2	2
57	что же касается	3	2
58	и той же	3	2
59	и то же	1	2
60	как мы уже	5	2
61	сам по себе	4	2
62	вообще не может	1	2
63	а между тем	1	2
64	смысле этого слова	1	2
65	в конце концов	2	2
66	ответ на этот	1	2
67	одно и то	1	2
68	по меньшей мере	2	2
69	одной и той	3	2
70	жизни и творчества	2	2
71	всяком случае не	1	2
72	и не могут	1	2
73	не могут быть	4	2
74	во второй половине	1	2
75	в другом месте	2	2
76	к этому времени	2	2
77	вовсе не в	2	2
78	а также и	2	2
79	может быть и	6	2
80	со стороны содержания	1	1
81	собственном смысле слова	1	1
82	свои корни в	1	1
83	развития человеческой личности	1	1
84	в том же	1	1
85	все то что	3	1
86	и др в	1	1
87	быть и речи	3	1
88	вообще не существует	1	1
89	одним из наиболее	2	1
90	точки зрения представляется	1	1
91	т д таким	1	1
92	но и за	1	1
93	он сам об	1	1
94	из этих двух	1	1
95	но и в	1	1
96	увидим что в	1	1
97	от того что	1	1
98	как мы знаем	1	1
99	не менее среди	1	1
100	и тогда когда	1	1
101	у них не	1	1
102	поставил себе задачей	1	1
103	что таким путем	1	1
104	имеется в виду	1	1
105	и в дальнейшем	1	1
106	на самом деле	4	1
107	и что поэтому	1	1
108	то или иное	2	1
109	не остается ничего	1	1
110	и без того	1	1
111	в гораздо большей	1	1
112	во всех отношениях	1	1
113	ними и в	1	1
114	его отношение к	2	1
115	всего к тому	1	1
116	приходит к выводу	1	1
117	ответить на этот	1	1
118	все что может	2	1
119	но если мы	2	1
120	говорить о том	2	1
121	только в этом	1	1
122	остается тот же	1	1
123	если же мы	1	1
124	совсем не то	1	1
125	на которые она	1	1
126	того или иного	1	1
127	сам об этом	1	1
128	в следующем в	1	1
129	них не было	1	1
130	же время служит	1	1
131	в таком случае	4	1
132	науки в настоящее	1	1
133	нужно сказать что	1	1
134	каждое из этих	1	1
135	находит свое выражение	1	1
136	не было бы	1	1
137	на этом пути	1	1
138	именно в этой	1	1
139	но в общем	3	1
140	это как будто	1	1
141	в особенности в	1	1
142	а только по	1	1
143	в настоящее время	1	1
144	во всех его	1	1
145	прежде всего должен	1	1
146	а есть только	1	1
147	можно назвать в	1	1
148	как мы видим	1	1
149	не похожи на	1	1
150	в этом пункте	1	1
151	прежде всего к	3	1
152	со стороны формы	1	1
153	таким образом вся	3	1
154	один из крупнейших	1	1
155	такой точки зрения	1	1
156	зависимости от того	2	1
157	в различных проявлениях	1	1
158	еще не исчерпывается	1	1
159	уже и в	1	1
160	так же как	1	1
161	целом ряде других	1	1
162	д таким образом	1	1
163	между ними в	1	1
164	а потому и	3	1
165	имеем в виду	1	1
166	только потому что	1	1
167	в этом опыте	1	1
168	и прежде всего	7	1
169	мы имеем в	1	1
170	том что в	1	1
171	мы вкладываем в	1	1
172	и никогда не	1	1
173	с самого начала	5	1
174	но во всяком	3	1
175	том что он	2	1
176	и об отношении	1	1
177	то ни было	2	1
178	том что с	1	1
179	в котором они	1	1
180	объясняется и то	1	1
181	то обстоятельство что	2	1
182	же как он	1	1
183	того что может	1	1
184	и все прочие	1	1
185	на время в	1	1
186	но теперь мы	1	1
187	к тому что	2	1
188	на определенной ступени	1	1
189	он поставил себе	1	1
190	только то что	3	1
191	все это не	1	1
192	в таких случаях	2	1
193	в виду их	1	1
194	бы то ни	3	1
195	точки зрения на	1	1
196	заключается в следующем	2	1
197	из того что	1	1
198	то увидим что	1	1
199	как уже сказано	1	1
200	не то что	1	1
201	имея в виду	1	1
202	представляет собой нечто	1	1
203	это прежде всего	2	1
204	собственном смысле этого	1	1
205	так как в	1	1
206	только с помощью	1	1
207	имеет своей целью	1	1
208	все зависит от	1	1
