N	2gram	Tiupa_Lite	Vladivir
1	вл соловьева	2	559
2	вл соловьев	1	421
3	и в	26	116
4	то что	14	71
5	и не	19	67
6	в году	18	65
7	у него	5	65
8	не только	29	65
9	в этом	19	53
10	в том	22	52
11	том что	19	51
12	что в	7	48
13	но и	25	47
14	в конце	6	41
15	в его	9	40
16	и с	4	39
17	то есть	11	37
18	и даже	9	36
19	сказать что	1	36
20	также и	3	36
21	так что	4	35
22	потому что	5	33
23	что он	8	32
24	еще и	3	32
25	не может	10	31
26	о том	3	30
27	только в	8	30
28	как мы	2	29
29	никогда не	5	29
30	для него	6	29
31	вовсе не	3	27
32	а в	5	27
33	не было	5	26
34	а к	2	25
35	в себе	8	25
36	но в	5	25
37	в то	12	25
38	и то	3	25
39	и его	7	25
40	а также	5	24
41	даже и	2	24
42	точки зрения	8	23
43	между прочим	1	23
44	он не	4	23
45	может быть	24	23
46	что же	1	23
47	он был	1	22
48	так как	2	22
49	в виде	1	22
50	в своей	5	21
51	вместе с	5	21
52	а именно	1	20
53	и что	2	20
54	в своем	12	20
55	для нас	3	20
56	прежде всего	14	20
57	не менее	11	19
58	в дальнейшем	1	19
59	по поводу	2	19
60	как раз	6	19
61	тем не	4	19
62	таким образом	4	19
63	так и	7	19
64	и потому	1	19
65	как и	13	18
66	не мог	3	18
67	не в	11	18
68	не был	1	18
69	как это	9	18
70	с его	5	18
71	то это	2	17
72	что и	3	17
73	в этой	7	17
74	едва ли	5	17
75	и если	1	17
76	а не	28	17
77	у нас	5	17
78	все же	6	16
79	уже не	9	16
80	к тому	3	16
81	не есть	2	16
82	для себя	6	16
83	и все	1	16
84	было бы	4	16
85	того что	7	16
86	в котором	1	16
87	и к	1	15
88	то же	13	15
89	в своих	5	15
90	под названием	3	15
91	к этому	2	15
92	в эти	1	15
93	несмотря на	3	15
94	в связи	4	15
95	иной раз	1	15
96	до конца	3	15
97	но это	2	15
98	это было	1	15
99	того же	5	14
100	все эти	2	14
101	раз и	2	14
102	тут же	1	14
103	его жизни	1	14
104	в москве	2	14
105	и на	5	14
106	уже в	7	14
107	и как	2	14
108	во всем	1	13
109	в результате	2	13
110	с тем	2	13
111	можно сказать	1	13
112	так же	1	13
113	не просто	2	13
114	и от	1	13
115	что это	1	13
116	да и	3	13
117	дело в	3	13
118	жизни и	6	13
119	только на	3	12
120	и у	1	12
121	и по	1	12
122	в нем	4	12
123	то в	3	12
124	если не	1	12
125	всяком случае	2	12
126	ничего не	3	12
127	во всяком	3	12
128	связи с	7	12
129	при этом	23	11
130	него в	2	11
131	в данном	7	11
132	хотя бы	3	11
133	тому же	2	11
134	в которой	1	11
135	я не	8	11
136	на то	2	11
137	он уже	1	11
138	и здесь	1	11
139	в основном	1	11
140	никак не	2	11
141	в отношении	2	11
142	еще в	7	11
143	то он	3	11
144	и о	1	11
145	конце концов	1	11
146	в самом	4	10
147	даже в	6	10
148	такого рода	18	10
149	с точки	4	10
150	в качестве	21	10
151	что его	3	10
152	можно было	3	10
153	что для	2	10
154	отнюдь не	4	10
155	к нему	1	10
156	с ним	2	10
157	в россии	2	10
158	еще не	4	10
159	собственно говоря	1	10
160	которую он	1	10
161	в истории	1	10
162	здесь не	1	10
163	он и	5	10
164	о нем	1	10
165	в ней	4	10
166	но не	8	10
167	и сам	6	9
168	именно в	1	9
169	с другой	11	9
170	мы знаем	1	9
171	но он	1	9
172	а только	2	9
173	но как	3	9
174	а с	2	9
175	из этого	2	9
176	в начале	4	9
177	это время	1	9
178	отношения к	1	9
179	своей жизни	1	9
180	это не	4	9
181	же время	12	9
182	по существу	4	9
183	в целом	10	9
184	с этой	6	8
185	не столько	8	8
186	в этих	2	8
187	тем что	6	8
188	в это	1	8
189	в этот	1	8
190	себя в	7	8
191	и он	3	8
192	это мы	1	8
193	в чем	2	8
194	и особенно	1	8
195	как в	5	8
196	со стороны	6	8
197	свое время	1	8
198	должно быть	1	8
199	как бы	8	8
200	и для	1	8
201	тот же	1	8
202	xix века	6	8
203	и я	7	8
204	только и	1	8
205	когда он	1	8
206	из этих	2	8
207	отношение к	1	8
208	мы и	1	7
209	к этой	2	7
210	в одном	2	7
211	в них	1	7
212	но все	1	7
213	на первый	1	7
214	нам представляется	3	7
215	что этот	1	7
216	но даже	2	7
217	на первом	2	7
218	в нашем	2	7
219	и мы	2	7
220	себе и	2	7
221	за пределы	3	7
222	о его	1	7
223	и есть	3	7
224	мы видели	1	7
225	здесь мы	1	7
226	если бы	1	7
227	к его	1	7
228	не имеет	2	7
229	в каком	1	7
230	ничего общего	2	7
231	и вот	2	7
232	того чтобы	1	7
233	из его	2	7
234	в свое	1	7
235	к концу	1	7
236	в таком	1	7
237	то и	5	7
238	как он	2	7
239	по этому	2	7
240	же в	6	7
241	же и	3	6
242	тому что	1	6
243	мысли и	1	6
244	в виду	4	6
245	другой стороны	5	6
246	уже на	1	6
247	его на	1	6
248	для того	2	6
249	то как	2	6
250	в отличие	6	6
251	на него	1	6
252	он сам	2	6
253	если мы	1	6
254	той же	5	6
255	поскольку в	3	6
256	его в	4	6
257	том же	3	6
258	на себя	4	6
259	но только	3	6
260	по своей	3	6
261	не раз	2	6
262	году в	1	6
263	не с	2	6
264	и вполне	3	6
265	должен был	1	6
266	так или	8	6
267	нельзя сказать	1	6
268	в сравнении	2	6
269	на основании	1	6
270	данном случае	6	6
271	свидетельствует о	3	6
272	мы не	5	6
273	которых он	1	6
274	и всегда	2	6
275	или иначе	9	6
276	в общем	1	6
277	к своему	2	6
278	не говоря	3	6
279	ко всему	4	6
280	тем более	2	6
281	отличие от	6	6
282	были для	1	6
283	в жизни	7	6
284	есть и	1	6
285	такой же	3	6
286	и наконец	2	6
287	есть не	2	6
288	говоря уже	3	5
289	тех кто	3	5
290	всей жизни	1	5
291	а вот	2	5
292	говорит о	1	5
293	и до	1	5
294	на эту	1	5
295	но мы	1	5
296	вопрос о	1	5
297	не вполне	1	5
298	он писал	1	5
299	как на	3	5
300	и еще	1	5
301	него не	1	5
302	быть в	1	5
303	понятие о	1	5
304	из них	5	5
305	бы то	1	5
306	что они	1	5
307	во всех	4	5
308	сравнении с	2	5
309	и за	2	5
310	для своего	2	5
311	то ни	1	5
312	и весьма	2	5
313	и тем	4	5
314	он в	1	5
315	во время	1	5
316	однако и	2	5
317	в частности	18	5
318	один из	7	5
319	сводится к	4	5
320	все то	2	5
321	а иной	1	5
322	жизни в	5	5
323	нет ничего	2	5
324	владимир соловьев	1	5
325	бог и	1	5
326	в свою	2	5
327	мы имеем	2	5
328	по преимуществу	6	5
329	что я	4	5
330	только при	1	5
331	друг друга	5	5
332	он как	1	5
