N	2gram	Propp_Morf	Istorich
1	в сказке	27	252
2	и в	17	181
3	и т	62	160
4	т д	60	142
5	т е	25	133
6	может быть	61	115
7	не только	8	114
8	что он	5	111
9	мы имеем	19	102
10	что в	10	90
11	но и	9	85
12	в этом	18	81
13	так как	20	75
14	то что	10	73
15	таким образом	26	72
16	в лесу	2	68
17	и не	16	67
18	мы видим	15	65
19	все же	9	65
20	в этих	17	64
21	еще не	4	63
22	не может	19	61
23	этих случаях	15	60
24	так же	4	57
25	то же	10	56
26	в лес	7	53
27	в том	10	53
28	том что	7	53
29	а в	8	52
30	с другой	9	52
31	потому что	7	52
32	и что	3	51
33	и здесь	7	51
34	что и	10	51
35	а не	11	48
36	о том	6	48
37	его в	4	47
38	не в	3	47
39	другой стороны	5	46
40	превращается в	2	45
41	и пр	45	44
42	мы должны	3	44
43	но в	4	44
44	это не	6	43
45	и его	3	43
46	этот случай	7	42
47	только в	3	42
48	показывает что	1	42
49	как в	5	42
50	или в	6	39
51	что герой	1	38
52	тем что	4	38
53	и на	1	38
54	в его	1	38
55	для нас	2	38
56	как и	4	37
57	уже не	4	37
58	мы уже	4	37
59	он не	5	37
60	что здесь	1	37
61	так и	10	37
62	мы увидим	10	36
63	мы можем	5	36
64	что они	5	35
65	с тем	2	35
66	мы не	8	35
67	здесь мы	3	35
68	все эти	5	35
69	не всегда	10	34
70	связи с	12	34
71	но не	8	34
72	а именно	1	34
73	у него	2	34
74	во время	6	34
75	что это	3	34
76	видим что	12	34
77	там где	5	33
78	об этом	5	33
79	сих пор	1	32
80	иное царство	6	32
81	в качестве	8	32
82	один из	7	31
83	прежде всего	14	31
84	то это	5	31
85	так в	1	31
86	представляет собой	17	31
87	в иное	6	31
88	ничего не	5	31
89	с этим	14	30
90	с одной	2	30
91	в русской	1	30
92	в сказках	3	30
93	до сих	1	30
94	к нему	3	30
95	этот мотив	1	30
96	при помощи	12	30
97	этом случае	10	29
98	но все	4	29
99	одной стороны	2	29
100	как мы	8	29
101	но это	6	29
102	и другие	6	28
103	что она	2	28
104	что сказка	4	28
105	и с	1	28
106	например в	2	28
107	героя в	5	27
108	здесь можно	5	27
109	так что	1	27
110	могут быть	21	27
111	в образе	6	27
112	того что	3	27
113	в ином	3	27
114	как он	1	27
115	как это	7	26
116	на него	4	26
117	и др	12	26
118	представляют собой	16	26
119	предположить что	1	26
120	в брак	1	25
121	вопрос о	10	25
122	не менее	7	24
123	видно что	5	24
124	к этому	4	24
125	было бы	5	24
126	раньше чем	5	24
127	того как	2	24
128	в виде	3	24
129	если бы	3	24
130	что мы	2	24
131	их в	2	23
132	в доме	2	23
133	как бы	6	23
134	точно так	2	23
135	и это	1	23
136	тем не	7	23
137	в этой	3	23
138	имеем в	8	23
139	не будем	5	23
140	все это	2	23
141	в частности	2	23
142	и по	3	22
143	в мифах	1	22
144	при этом	1	22
145	в некоторых	4	22
146	в другом	2	21
147	в одном	2	21
148	сказать что	4	21
149	совершенно ясно	1	21
150	в связи	10	21
151	здесь не	3	21
152	к тому	5	21
153	сказке герой	1	21
154	они не	3	21
155	ее в	3	21
156	из них	4	20
157	в животное	1	20
158	из этих	2	20
159	она не	2	20
160	наряду с	7	20
161	одна из	5	20
162	в других	5	20
163	очень часто	6	20
164	сказке в	1	20
165	в силу	1	20
166	после чего	2	20
167	змея и	4	20
168	а затем	10	19
169	с собой	3	19
170	так например	3	19
171	но он	1	19
172	сказке о	2	19
173	в тех	8	19
174	в другой	1	19
175	не совсем	1	19
176	есть и	4	19
177	все еще	3	19
178	на то	3	19
179	и как	6	19
180	после того	1	19
181	вход в	1	19
182	и говорит	1	18
183	в то	4	18
184	к сказке	1	18
185	что этот	2	18
186	не все	6	18
187	в данном	2	18
188	вовсе не	6	18
189	в них	1	17
