N	4gram	Ircho_Kome	Vladivir
1	в то же время	11	9
2	в том что в	1	5
3	и в то же	2	5
4	в то время как	3	5
5	не говоря уже о	2	4
6	о том что он	1	3
7	само собой разумеется что	3	3
8	обращает на себя внимание	3	2
9	и в том что	1	2
10	до тех пор пока	1	2
11	один и тот же	3	2
12	с одной стороны и	2	2
13	бы то ни было	3	2
14	не имеет ничего общего	1	2
15	но вместе с тем	1	2
16	имеет ничего общего с	1	2
17	с точки зрения того	1	2
18	до сих пор не	2	2
19	о своей любви к	1	1
20	с этой точки зрения	1	1
21	и есть для нас	1	1
22	и далеко не всегда	1	1
23	состоит в том что	1	1
24	только об этом и	1	1
25	в том что она	1	1
26	вступить с ней в	1	1
27	и о том что	1	1
28	не с точки зрения	1	1
29	но как раз в	1	1
30	для нас важно только	1	1
31	на русский язык и	1	1
32	это в свою очередь	1	1
33	в самой общей форме	1	1
34	в собственном смысле слова	1	1
35	на этот раз не	1	1
36	потому что как раз	1	1
37	и к тому же	2	1
38	по себе не может	1	1
39	то время как первый	1	1
40	ни в чем не	2	1
41	отдать себе отчет в	1	1
42	тем не менее и	1	1
