N	2gram	Medvedev_B	Narrotol
1	не только	1	62
2	и не	2	50
3	а не	1	38
4	и в	1	30
5	в данном	1	24
6	так и	1	17
7	в своей	1	13
8	все же	1	12
9	прежде всего	1	12
10	об этом	1	11
11	отнюдь не	1	9
12	что в	1	9
13	еще не	1	9
14	далеко не	1	9
15	у нас	3	8
16	в речи	1	7
17	с другой	1	7
18	и на	1	7
19	в ней	2	7
20	таким образом	1	6
21	никак не	1	6
22	о них	1	5
23	не было	1	5
24	было бы	1	5
25	на самом	1	5
26	тем более	1	5
27	в пределах	1	5
28	и о	1	5
29	как будто	1	5
30	не вполне	1	4
31	не о	1	4
32	и ее	1	4
33	всяком случае	1	4
34	во всяком	1	4
35	не все	1	4
36	в области	1	4
37	к ней	1	4
38	говорить о	1	3
39	между ними	1	3
40	можно было	2	3
41	было и	1	3
42	одной из	1	3
43	до конца	1	3
44	же не	1	3
45	а о	1	3
46	и потому	1	3
47	его не	1	3
48	не следует	1	3
49	другой стороны	1	2
50	будто бы	1	2
51	также не	1	2
52	должна быть	1	2
53	и во	1	2
54	все это	2	2
55	и более	1	2
56	свести к	1	2
57	как некоторого	1	1
58	о свободе	1	1
59	учителя словесности	1	1
60	и нет	1	1
61	следовало бы	1	1
62	вопрос о	1	1
63	говорить не	1	1
64	словесного творчества	1	1
65	значительной степени	1	1
66	о художественной	1	1
67	установка на	1	1
68	что все	1	1
69	не то	2	1
70	для которой	1	1
71	за пределы	1	1
72	иначе не	1	1
73	такое определение	1	1
74	по крайней	1	1
75	как часть	1	1
76	совершенно не	1	1
77	в значительной	1	1
78	и полно	1	1
79	о художественном	1	1
80	можно в	1	1
81	видеть в	2	1
82	стр в	1	1
83	не со	1	1
84	более что	1	1
85	в книге	1	1
86	крайней мере	1	1
87	нас по	1	1
