N	3gram	Tiupa_Narr	Vvedenie
1	и т д	1	39
2	для того чтобы	4	22
3	в том что	11	15
4	о том что	3	13
5	не может быть	6	10
6	в этом смысле	1	10
7	тем не менее	6	9
8	до сих пор	3	7
9	мере в какой	1	6
10	в той мере	1	6
11	в самом деле	3	6
12	в то же	7	6
13	той мере в	1	6
14	то же время	7	6
15	и т п	2	5
16	на этот вопрос	1	5
17	что иное как	1	5
18	с другой стороны	1	5
19	во всяком случае	2	5
20	по отношению к	5	4
21	по крайней мере	1	4
22	с точки зрения	2	4
23	по сравнению с	1	4
24	так или иначе	1	4
25	само по себе	1	4
26	можно было бы	1	4
27	не только в	12	4
28	в данном случае	12	4
29	в отличие от	6	4
30	но все же	1	4
31	с одной стороны	5	4
32	в этом отношении	5	4
33	в конечном итоге	1	3
34	одной стороны и	1	3
35	той или иной	6	3
36	большей или меньшей	1	3
37	и в самом	1	3
38	можно сказать что	5	3
39	в строгом смысле	1	3
40	именно в этом	1	3
41	дело в том	2	3
42	как мы видели	1	3
43	в зависимости от	3	3
44	и то что	1	3
45	то же самое	3	3
46	в известном смысле	4	3
47	в том виде	1	3
48	как она есть	1	2
49	в этих случаях	1	2
50	можно представить себе	1	2
51	в свою очередь	2	2
52	не в том	1	2
53	и потому что	1	2
54	мы уже знаем	1	2
55	дело не с	1	2
56	обратим внимание на	2	2
57	на том что	1	2
58	значении этого термина	1	2
59	и со стороны	1	2
60	этой точки зрения	1	2
61	том или ином	1	2
62	еще при жизни	1	2
63	с этой точки	1	2
64	на котором он	1	2
65	и то же	2	2
66	состоит в том	5	2
67	сам по себе	1	2
68	в центре внимания	2	2
69	в первом случае	3	2
70	ответ на этот	1	2
71	одно и то	2	2
72	по тем или	1	2
73	точно так же	2	2
74	в соответствии с	7	2
75	в том или	1	2
76	тем или иным	2	2
77	и того же	2	2
78	подобно тому как	4	2
79	в связи с	3	2
80	себя со стороны	1	2
81	к этому времени	1	2
82	одного и того	2	2
83	уже не только	1	2
84	а также и	1	2
85	может быть и	1	2
86	в тексте не	1	1
87	в ряде случаев	2	1
88	лишь в том	1	1
89	только в форме	1	1
90	о котором уже	1	1
91	что в ней	1	1
92	в той или	1	1
93	внимание на то	2	1
94	в слове но	1	1
95	а не иначе	1	1
96	что он вовсе	1	1
97	себе самому и	1	1
98	имеет дело не	1	1
99	слова а не	1	1
100	или иной степени	1	1
101	никак не может	1	1
102	дело не только	2	1
103	не со стороны	1	1
104	из этих двух	2	1
105	в том как	2	1
106	но и в	4	1
107	одной из этих	1	1
108	называет себя в	1	1
109	в xix в	1	1
110	в том смысле	1	1
111	как это было	1	1
112	не с языком	1	1
113	одного из наиболее	2	1
114	как он сам	1	1
115	на самом деле	1	1
116	легко представить себе	1	1
117	что не только	1	1
118	у меня в	1	1
119	шла речь выше	1	1
120	уже не к	1	1
121	какой бы то	1	1
122	не следует понимать	1	1
123	как один из	1	1
124	таким образом для	1	1
125	он вовсе не	1	1
126	в том числе	1	1
127	все что может	1	1
128	быть и не	1	1
129	не менее уже	1	1
130	одна из наиболее	1	1
131	именно оно составляет	1	1
132	в этом втором	1	1
133	связи с этим	1	1
134	в новейшее время	1	1
135	более или менее	2	1
136	того или иного	3	1
137	том виде в	1	1
138	в частности в	2	1
139	в большей или	1	1
140	в таком случае	1	1
141	не только с	1	1
142	может быть вполне	1	1
143	может быть определено	1	1
144	может быть только	1	1
145	потому что в	1	1
146	в особенности в	1	1
147	и объяснить его	1	1
148	во всех его	1	1
149	может быть не	2	1
150	по своему характеру	1	1
151	в обоих случаях	1	1
152	с этой стороны	1	1
153	как раз в	3	1
154	сомневаться в том	1	1
155	так же как	1	1
156	жизни как она	1	1
157	только потому что	1	1
158	по его словам	1	1
159	сказать что он	1	1
160	например что история	1	1
161	а в том	2	1
162	в нем не	2	1
163	виде в каком	1	1
164	того о чем	1	1
165	на свои вопросы	1	1
166	то ни было	1	1
167	том что с	1	1
168	как если бы	2	1
169	не может не	1	1
170	но в этом	1	1
171	так а не	1	1
172	того что может	1	1
173	в ней есть	1	1
174	она может быть	1	1
175	заключает в себе	2	1
176	к тому что	4	1
177	еще и потому	1	1
178	уже шла речь	1	1
179	только то что	1	1
180	один из наиболее	1	1
181	бы то ни	1	1
182	точки зрения на	1	1
183	могло бы составить	1	1
184	из того что	1	1
185	не то что	1	1
186	имея в виду	1	1
187	только в формах	1	1
188	в значительной степени	1	1
189	это прежде всего	1	1
190	и о которой	1	1
191	друг для друга	2	1
192	на эту тему	1	1
193	имеем дело с	4	1
194	в принципе не	1	1
195	значительной степени это	1	1
196	мы имеем дело	4	1
197	но с другой	1	1
