N	2gram	Medvedev_I	OGranits
1	и в	1	13
2	и не	2	8
3	в материале	1	5
4	все это	1	4
5	что в	2	3
6	так и	1	3
7	говорить о	1	3
8	отношению к	1	3
9	по отношению	1	3
10	никогда не	1	3
11	в этом	2	2
12	для него	1	2
13	и задача	1	2
14	другой стороны	1	2
15	от этого	1	2
16	в них	1	2
17	а в	1	2
18	если бы	1	2
19	а также	1	2
20	тем что	1	2
21	и др	1	2
22	все эти	1	2
23	с другой	1	2
24	в целом	1	2
25	бы в	1	2
26	стр а	3	1
27	другое дело	1	1
28	только что	1	1
29	так напр	2	1
30	в значительной	1	1
31	того чтобы	1	1
32	автора и	1	1
33	для того	1	1
34	значительной мере	1	1
35	что при	1	1
36	точно и	1	1
37	стр и	7	1
38	и тот	1	1
39	со всеми	1	1
40	в основе	1	1
41	художественном творчестве	1	1
42	следовательно в	1	1
43	явлений стр	1	1
44	произведения и	1	1
45	бы что	2	1
46	как о	1	1
47	вплоть до	1	1
48	и о	1	1
49	но когда	1	1
50	по поводу	1	1
51	ничего в	1	1
52	художественного творчества	1	1
53	стр не	4	1
54	того же	1	1
