N	2gram	Losev_Dial	slovoVRo
1	и в	34	92
2	в романе	1	89
3	и т	41	82
4	т п	1	72
5	то есть	1	64
6	может быть	30	59
7	и его	8	59
8	в нем	7	59
9	и не	50	51
10	не только	35	44
11	не может	29	41
12	но и	14	39
13	в этом	14	36
14	а не	39	34
15	во всех	2	32
16	точки зрения	43	30
17	так и	11	30
18	могут быть	5	29
19	в пределах	1	29
20	в его	6	27
21	все это	13	25
22	как бы	19	24
23	слова и	1	24
24	слово в	2	24
25	то же	9	23
26	и на	6	22
27	в сущности	10	21
28	как в	2	21
29	не в	11	21
30	вовсе не	18	21
31	в процессе	2	20
32	в то	9	20
33	прежде всего	20	19
34	как мы	4	19
35	с ним	3	18
36	как и	14	18
37	же время	5	18
38	себя в	3	18
39	или иной	4	18
40	таким образом	14	17
41	оно не	7	17
42	и даже	21	17
43	все же	4	17
44	в основе	6	17
45	в истории	7	17
46	все эти	4	17
47	при этом	7	16
48	в них	6	16
49	к своему	1	16
50	отличие от	2	16
51	но в	3	16
52	и с	10	15
53	человек и	1	15
54	с точки	25	15
55	той или	3	15
56	там где	1	15
57	только в	10	14
58	в отличие	1	14
59	в особенности	9	13
60	отношении к	1	13
61	в слове	3	13
62	это не	13	13
63	с другой	5	13
64	с его	7	13
65	точка зрения	5	13
66	и следовательно	2	13
67	и для	5	13
68	и к	5	12
69	в отношении	1	12
70	еще не	7	12
71	во всяком	5	12
72	никогда не	9	12
73	и потому	6	12
74	или в	4	12
75	точек зрения	1	12
76	а в	3	12
77	отношение к	1	12
78	и наконец	2	12
79	в этих	3	11
80	с ними	3	11
81	для него	4	11
82	с одной	4	11
83	на его	1	11
84	одной стороны	3	11
85	и их	1	10
86	и все	17	10
87	уже не	9	10
88	все они	1	10
89	т д	38	10
90	в своем	7	10
91	может не	4	10
92	в том	17	10
93	с другими	1	10
94	она не	10	10
95	в себе	8	10
96	далеко не	1	10
97	в него	2	10
98	всех этих	3	10
99	более или	1	9
100	в своей	4	9
101	конечно не	6	9
102	сказать что	7	9
103	на почве	1	9
104	так как	12	9
105	здесь в	1	9
106	его в	2	9
107	одна из	4	9
108	в их	2	9
109	в смысле	4	9
110	или менее	1	9
111	и мир	1	9
112	он не	8	9
113	языком и	1	9
114	быть и	7	9
115	и от	4	9
116	но не	3	9
117	с ее	10	9
118	к нему	4	9
119	в самом	9	8
120	для нас	2	8
121	не на	7	8
122	не могут	6	8
123	зависимости от	4	8
124	все время	4	8
125	для понимания	1	8
126	с этим	4	8
127	в зависимости	3	8
128	всяком случае	3	8
129	в одной	4	8
130	человека и	2	8
131	и часто	3	8
132	на мир	1	8
133	в ней	4	8
134	во всем	5	7
135	от него	2	7
136	же и	2	7
137	кроме того	8	7
138	но все	1	7
139	смысла и	3	7
140	о нем	6	7
141	например в	3	7
142	том что	18	7
143	перед нами	5	7
144	на своем	1	7
145	но именно	1	7
146	здесь не	2	7
147	друг друга	3	7
148	по преимуществу	2	7
149	о слове	1	7
150	у него	2	7
151	не было	6	7
152	связи с	3	7
153	в таком	15	7
154	мы уже	6	7
155	его не	3	7
156	также и	6	7
157	ту же	1	7
158	за пределы	3	7
159	жизни и	8	7
160	что в	12	6
161	и здесь	3	6
162	даже в	1	6
163	в одном	3	6
164	ни в	20	6
165	другой стороны	4	6
166	по себе	31	6
167	конечно и	2	6
168	именно в	5	6
169	одновременно и	1	6
170	себя и	3	6
171	можно сказать	5	6
172	наконец в	1	6
173	говорить о	13	6
174	в контексте	1	6
175	как к	2	6
176	мы сказали	1	6
177	в качестве	1	6
178	бы и	2	6
179	становления и	3	6
180	человек в	1	6
181	мира и	3	6
182	на этом	3	6
183	например у	1	6
184	хотя бы	9	6
185	и слова	1	6
186	стороны и	1	6
187	он в	1	6
188	точку зрения	1	6
189	ничего не	29	6
190	эпохи и	1	6
191	в чисто	2	6
192	должна быть	11	5
193	и при	4	5
194	не как	1	5
195	и чисто	6	5
196	в результате	7	5
197	они не	3	5
198	вместе с	3	5
199	своего предмета	1	5
200	не менее	11	5
201	о том	11	5
202	но оно	2	5
203	не является	1	5
204	в данном	6	5
205	и более	1	5
206	вне его	1	5
207	мы не	11	5
208	для того	4	5
209	только на	8	5
210	связанных с	1	5
211	той же	6	5
212	но он	3	5
213	как такового	1	5
214	хотя и	9	5
215	этом отношении	2	5
216	и этим	3	5
217	стремится к	1	5
218	с их	4	5
219	в каждый	1	5
220	слова не	1	5
221	или прямо	1	5
222	и проч	1	5
223	должен быть	1	5
224	в других	1	5
225	а как	2	5
226	данный момент	2	5
227	не знает	4	5
228	и может	2	5
229	не с	1	5
230	и сам	1	5
231	и по	2	5
232	для этого	3	5
233	до сих	1	4
234	по существу	2	4
235	оно и	1	4
236	в некоторых	3	4
237	в другой	2	4
238	те же	1	4
239	в виду	12	4
240	для всех	1	4
241	со всеми	2	4
242	если бы	10	4
243	в точном	2	4
244	прямо сказать	1	4
245	отношения к	4	4
246	его на	3	4
