N	3gram	Bakhtin_sl	EvropaiE
1	с точки зрения	11	16
2	в то же	15	15
3	то же время	15	14
4	в отношении к	9	12
5	и в то	6	8
6	с одной стороны	7	8
7	в том что	4	6
8	одной стороны и	2	6
9	этой точки зрения	1	5
10	для того чтобы	1	5
11	с этой точки	1	5
12	того или иного	2	4
13	той или иной	13	4
14	не только в	3	4
15	то ни было	1	4
16	бы то ни	1	4
17	и в этом	2	4
18	друг с другом	2	3
19	в той или	12	3
20	в применении к	1	3
21	можно было бы	2	3
22	в известной степени	3	3
23	как бы ни	2	3
24	хотя бы и	5	3
25	во всяком случае	7	3
26	можно сказать что	1	3
27	и прежде всего	1	3
28	в известном смысле	2	3
29	в этом отношении	2	3
30	так и в	5	2
31	между ними и	1	2
32	обстоит дело в	1	2
33	в одном из	1	2
34	рано или поздно	2	2
35	и в частности	1	2
36	мы можем сказать	1	2
37	и на своем	1	2
38	как мы видели	2	2
39	и притом в	1	2
40	но в то	6	2
41	не может быть	11	2
42	на то что	1	2
43	в большинстве случаев	11	2
44	в данном случае	3	2
45	прежде всего в	1	2
46	есть не только	1	2
47	иначе обстоит дело	1	2
48	в свою очередь	3	2
49	с другой стороны	5	2
50	в свои пределы	1	2
51	в частности в	1	2
52	мы видели что	1	1
53	и т д	7	1
54	или меньшей степени	3	1
55	хотя и не	1	1
56	как его понимает	1	1
57	в противном случае	1	1
58	и по своей	1	1
59	начале xx века	1	1
60	именно потому что	1	1
61	на то или	1	1
62	и связанное с	1	1
63	и с точки	1	1
64	то есть в	1	1
65	дело в том	1	1
66	вовсе не обязательно	1	1
67	большей или меньшей	5	1
68	к тому или	1	1
69	так и для	1	1
70	так и по	1	1
71	речь идет о	1	1
72	в лучшем случае	3	1
73	всех этих случаях	1	1
74	в других случаях	2	1
75	то или иное	1	1
76	мы не можем	1	1
77	на своем пути	1	1
78	а не к	1	1
79	к тому что	2	1
80	или иной степени	12	1
81	но и в	2	1
82	для нас в	2	1
83	том числе и	1	1
84	отметить что и	1	1
85	тех или иных	1	1
86	можно утверждать что	1	1
87	то время как	2	1
88	во всех этих	2	1
89	в начале xx	1	1
90	рассматривать с точки	1	1
91	в отличие от	12	1
92	еще далеко не	1	1
93	во всем его	1	1
94	к сожалению не	1	1
95	о которых мы	2	1
96	и в отношении	1	1
97	не могут быть	3	1
98	не может не	5	1
99	сводится именно к	2	1
100	оно не может	3	1
101	отношении к действительному	1	1
102	мы увидим что	1	1
103	именно к тому	1	1
104	ли он в	1	1
105	как сказал бы	1	1
106	выходит за пределы	3	1
107	вовсе не в	1	1
108	в связи с	2	1
109	и не в	1	1
110	же время в	1	1
111	в пределах одного	8	1
112	а также в	1	1
113	и не было	1	1
114	в том числе	1	1
115	хотя бы только	1	1
116	с отказом от	1	1
117	в стороне от	1	1
118	в нем и	1	1
119	то есть к	1	1
120	при условии если	1	1
121	эта может быть	1	1
122	как не может	1	1
123	в то время	2	1
124	более или менее	5	1
125	слова и в	1	1
126	мы говорили в	1	1
127	также и в	1	1
128	в значительной степени	6	1
129	и в идеологическом	1	1
130	но и того	1	1
131	в большей или	3	1
132	от эмпирической действительности	1	1
133	и в эту	1	1
134	а также и	3	1
135	может быть и	2	1
