N	2gram	Bakhtin_Fr	Tragedij
1	и в	67	18
2	в романе	15	10
3	в этом	27	9
4	в году	6	9
5	не только	23	8
6	и на	12	7
7	и не	23	7
8	может быть	4	7
9	и с	18	7
10	как бы	18	7
11	что он	7	6
12	у него	4	6
13	же время	14	6
14	в образе	9	6
15	но в	20	6
16	и его	19	6
17	это не	5	5
18	несмотря на	3	5
19	что это	4	5
20	так и	14	5
21	к жизни	1	5
22	это очень	2	5
23	все же	7	5
24	в дальнейшем	2	5
25	то же	18	5
26	как и	19	5
27	не может	9	5
28	в то	17	5
29	а я	1	5
30	что в	14	4
31	в себе	3	4
32	и даже	6	4
33	все это	15	4
34	прежде всего	19	4
35	и все	18	4
36	этот образ	5	4
37	об этом	5	4
38	еще не	5	4
39	но и	23	4
40	том что	13	4
41	и что	3	4
42	так же	13	4
43	то что	9	4
44	в этой	13	4
45	что я	1	4
46	в нем	20	4
47	но это	10	4
48	в целом	2	4
49	своего рода	7	3
50	и он	4	3
51	что с	1	3
52	один из	6	3
53	уже в	1	3
54	в его	17	3
55	для него	4	3
56	в своем	13	3
57	с ним	6	3
58	о чем	5	3
59	что вы	1	3
60	и сам	2	3
61	что за	1	3
62	в конце	12	3
63	эпизод с	2	3
64	и как	7	3
65	в мире	1	3
66	как в	4	3
67	никто не	1	3
68	своего отца	3	3
69	что образ	4	3
70	то есть	49	3
71	при этом	5	3
72	жизнь и	5	3
73	как это	5	3
74	с ее	7	3
75	но главное	1	3
76	мог бы	1	3
77	как будто	2	3
78	все эти	12	3
79	к нему	5	3
80	о жизни	1	2
81	в самом	7	2
82	лицо его	1	2
83	и то	2	2
84	раз он	1	2
85	в душе	1	2
86	еще раз	1	2
87	превратилось в	1	2
88	и здесь	6	2
89	данном случае	4	2
90	это был	2	2
91	и за	2	2
92	в том	16	2
93	это уже	1	2
94	он и	6	2
95	с тем	3	2
96	в xii	1	2
97	в ее	2	2
98	говорит о	1	2
99	как у	2	2
100	что и	8	2
101	из своих	2	2
102	ни в	5	2
103	бы и	2	2
104	чем он	1	2
105	что все	4	2
106	не могут	3	2
107	в виде	1	2
108	его в	10	2
109	этим объясняется	1	2
110	не в	8	2
111	в первом	3	2
112	но все	2	2
113	но эта	3	2
114	было в	2	2
115	из самых	3	2
116	еще в	3	2
117	от всего	1	2
