N	2gram	Medvedev_U	SlovoVZh
1	не может	7	16
2	может быть	6	14
3	таким образом	2	12
4	и в	14	12
5	и не	8	10
6	если бы	2	9
7	прежде всего	8	8
8	сказать что	1	7
9	художественного произведения	2	7
10	в ней	1	6
11	в том	2	6
12	в процессе	1	6
13	только в	2	6
14	в нем	1	6
15	и др	1	5
16	можно сказать	1	5
17	что мы	2	5
18	хотя бы	5	5
19	должна быть	2	5
20	то же	5	5
21	художественной формы	2	5
22	а не	10	5
23	в виду	1	5
24	то что	7	5
25	как и	3	5
26	отнюдь не	1	5
27	том что	2	5
28	но в	3	5
29	никогда не	1	5
30	в самом	2	4
31	материала и	2	4
32	не только	10	4
33	ни было	3	4
34	и является	2	4
35	за пределы	1	4
36	литературы и	2	4
37	с другой	4	4
38	не в	2	4
39	так и	1	4
40	уже не	1	4
41	в этом	7	4
42	все же	3	4
43	бы то	3	3
44	и с	2	3
45	до сих	2	3
46	в котором	1	3
47	мы не	2	3
48	то ни	3	3
49	между тем	2	3
50	для него	3	3
51	того что	1	3
52	в некоторых	2	3
53	все это	5	3
54	в пределах	1	3
55	конечно не	4	3
56	по себе	2	3
57	самом деле	2	3
58	но для	1	3
59	в себе	2	3
60	художественном произведении	2	3
61	теоретической поэтики	2	3
62	о том	1	3
63	в своей	3	3
64	в художественном	5	3
65	художественного творчества	5	3
66	но и	4	3
67	и для	2	3
68	художественное произведение	5	3
69	сих пор	2	3
70	формы и	2	3
71	что в	1	2
72	все они	2	2
73	истории литературы	3	2
74	перестает быть	5	2
75	но это	2	2
76	и потому	1	2
77	и то	3	2
78	мы можем	1	2
79	в данном	1	2
80	в то	3	2
81	еще раз	1	2
82	в словесном	1	2
83	данном случае	1	2
84	с одной	1	2
85	в его	2	2
86	она не	1	2
87	это не	3	2
88	одной стороны	1	2
89	относится к	1	2
90	мы имеем	1	2
91	искусства и	1	2
92	тогда когда	1	2
93	и слово	1	2
94	содержания и	1	2
95	и что	1	2
96	что и	2	2
97	же самое	2	2
98	другой стороны	3	2
99	но что	1	2
100	форма в	1	2
101	имеем в	1	2
102	но конечно	2	2
103	как на	1	2
104	и все	1	2
105	но не	2	2
106	форму и	2	2
107	речи в	1	2
108	его как	1	2
109	не есть	2	2
110	слагается из	1	2
111	могут быть	2	2
112	до конца	1	2
113	в своем	1	2
114	и так	1	2
115	с его	2	2
116	к этому	1	2
117	он не	1	2
118	независимо от	1	2
119	ничего не	2	2
120	все в	1	1
121	художественного восприятия	1	1
122	остается в	1	1
123	именно такой	1	1
124	поэтикой и	1	1
125	литературы в	1	1
126	оценка его	1	1
127	его и	2	1
128	является в	2	1
129	вообще по	1	1
130	в искусстве	6	1
131	восприятия и	1	1
132	только к	3	1
133	с успехом	1	1
134	все элементы	1	1
135	выдвигает на	2	1
136	она должна	1	1
137	то есть	1	1
138	знак равенства	1	1
139	должно быть	1	1
140	даже и	2	1
141	поэзии слово	1	1
142	в произведении	1	1
143	является только	1	1
144	она в	1	1
145	художественным произведением	1	1
146	таком понимании	1	1
147	в значительной	1	1
148	входит в	1	1
149	только как	1	1
150	и историческая	1	1
151	словесного творчества	2	1
152	которой принадлежит	1	1
153	признать что	1	1
154	на одно	1	1
155	в противном	2	1
156	оно является	1	1
157	этом отношении	2	1
158	историческая поэтика	1	1
159	это уже	2	1
160	о чем	2	1
161	точно и	1	1
162	форму художественного	1	1
163	сам по	1	1
164	или просто	1	1
165	такое понимание	1	1
166	бы только	1	1
167	в частности	3	1
168	не как	3	1
169	и вся	1	1
170	в качестве	1	1
171	или иных	2	1
172	содержание в	1	1
173	в области	3	1
174	одно из	1	1
175	у нас	3	1
176	и делает	1	1
177	а между	2	1
178	же не	2	1
179	определения которые	1	1
180	и это	1	1
181	иных приемов	1	1
182	формы является	1	1
183	сводится к	2	1
184	этом смысле	2	1
185	в поэтическом	1	1
186	далеко не	1	1
187	не вполне	1	1
188	у него	1	1
189	не могут	2	1
190	по мнению	1	1
191	же время	3	1
192	и интересно	1	1
193	не существует	1	1
194	в виде	1	1
195	о литературе	1	1
196	к которой	1	1
197	и независимо	1	1
198	еще один	1	1
199	в конечном	4	1
200	не было	1	1
201	связанных с	1	1
202	более или	1	1
203	моментом но	1	1
204	материал для	2	1
205	было бы	3	1
206	это же	1	1
207	науки об	1	1
208	формальный метод	11	1
209	себя на	1	1
210	равно как	1	1
211	его форма	1	1
212	произведения в	1	1
213	что она	2	1
214	эта позиция	1	1
215	что для	1	1
216	и вне	1	1
217	он будет	1	1
218	него не	1	1
219	и эта	1	1
220	нем но	1	1
221	теоретическая и	1	1
222	понимании форма	1	1
223	конечном счете	4	1
224	искусства как	2	1
225	в таком	1	1
226	но прежде	1	1
227	формы в	3	1
228	оно по	1	1
229	тот же	1	1
230	относятся к	1	1
231	время не	1	1
232	что все	2	1
233	анализа в	1	1
234	при более	1	1
235	же как	1	1
236	или даже	1	1
237	поэтики изучающей	1	1
238	в порядке	1	1
239	и прежде	1	1
240	историей вот	1	1
241	к вопросам	1	1
242	противном случае	2	1
243	и всякого	1	1
244	но если	1	1
245	в словах	1	1
246	при таком	2	1
247	именно такую	1	1
248	тех или	2	1
249	и только	5	1
250	приходится признать	2	1
251	для этого	3	1
252	искусства в	1	1
253	установку на	2	1
254	художественное творчество	1	1
255	крайней мере	2	1
256	или менее	1	1
257	не то	1	1
258	гораздо больше	1	1
259	на эту	2	1
260	тем более	1	1
261	по крайней	2	1
262	и лингвистической	1	1
263	формы как	1	1
264	обращение к	1	1
265	его эстетической	1	1
266	бы это	1	1
267	только для	1	1
268	этих искусствоведов	1	1
