N	3gram	Losev_Dial	EvropaiC
1	в том что	12	16
2	до сих пор	4	15
3	друг с другом	2	9
4	с точки зрения	18	8
5	более или менее	5	8
6	а между тем	1	8
7	на то что	4	7
8	для того чтобы	1	7
9	на самом деле	3	7
10	друг от друга	1	6
11	сих пор не	1	5
12	по сравнению с	2	5
13	в самом деле	3	5
14	так или иначе	3	5
15	к тому же	2	5
16	не может быть	4	4
17	о том что	6	4
18	тем не менее	3	4
19	с другой стороны	7	4
20	в конце концов	4	4
21	то ясно что	1	4
22	может быть и	6	4
23	вместе с тем	1	3
24	никогда не будет	1	3
25	не в состоянии	1	3
26	все же не	1	3
27	нечего и говорить	2	3
28	так же как	1	3
29	в данном случае	1	3
30	и то что	1	3
31	и говорить что	1	3
32	не может не	1	3
33	в связи с	3	3
34	в том и	1	2
35	том что все	1	2
36	которые по своей	1	2
37	во всяком случае	3	2
38	и может быть	3	2
39	во всех этих	1	2
40	несмотря на то	2	2
41	то что это	1	2
42	что же касается	1	2
43	в то время	2	2
44	в то же	7	2
45	поставленных выше вопросов	1	2
46	ничего общего с	3	2
47	как и все	1	2
48	совершенно иной чем	1	2
49	том что он	1	2
50	принять во внимание	2	2
51	мы сказали что	1	2
52	но все же	2	2
53	только то что	6	2
54	с одной стороны	3	2
55	из поставленных выше	1	2
56	то же время	8	2
57	но так как	1	2
58	и в том	1	2
59	что несмотря на	1	2
60	ко всему этому	1	2
61	друг к другу	2	2
62	а есть лишь	1	1
63	несмотря на всю	5	1
64	представить себе как	1	1
65	может показаться что	1	1
66	в одинаковой мере	1	1
67	можно представить себе	2	1
68	к освобождению от	1	1
69	которые не могут	1	1
70	я буду считать	1	1
71	быть если в	1	1
72	такое положение дела	1	1
73	что это есть	1	1
74	мы уже знаем	4	1
75	мы находим в	2	1
76	том и в	1	1
77	а на самом	1	1
78	вопрос можно ли	1	1
79	как и вообще	1	1
80	та или иная	4	1
81	на задний план	1	1
82	так как из	1	1
83	сливаются в одно	1	1
84	по крайней мере	11	1
85	в данный момент	1	1
86	не есть нечто	1	1
87	если она не	2	1
88	и тому же	1	1
89	и в другом	1	1
90	и всякой чужой	1	1
91	не есть ли	2	1
92	том или ином	1	1
93	в себе и	1	1
94	никто не может	1	1
95	ясно что их	1	1
96	это может быть	1	1
97	точно так же	3	1
98	и вот тут-то	1	1
99	должно быть всякому	1	1
100	разница будет только	1	1
101	поставленного выше вопроса	1	1
102	всех указанных выше	1	1
103	и в нем	3	1
104	и состоит из	2	1
105	и дальше в	1	1
106	есть ли это	1	1
107	только в том	1	1
108	и не очень	1	1
109	и той же	1	1
110	во внимание что	1	1
111	что в данном	1	1
112	то что эти	1	1
113	не в том	2	1
114	в этом и	1	1
115	в целом есть	1	1
116	которые несмотря на	1	1
117	говоря уже о	1	1
118	что если это	1	1
119	не говоря уже	1	1
120	во многих отношениях	1	1
121	хотя и не	1	1
122	в себе никаких	1	1
123	однако это не	1	1
124	и идет по	1	1
125	прямого отношения к	1	1
126	и до сих	1	1
127	я не могу	2	1
128	на точку зрения	2	1
129	того что в	1	1
130	и с точки	1	1
131	так что эта	1	1
132	дело в том	1	1
133	иметь в виду	4	1
134	одно и то	8	1
135	в этом пункте	1	1
136	в зависимости от	2	1
137	никому и в	1	1
138	одной и той	1	1
139	но для этого	1	1
140	можно было бы	4	1
141	если это есть	1	1
142	ни тем более	1	1
143	если бы все	1	1
144	надо сказать что	1	1
145	очень много но	1	1
146	как бы ни	2	1
147	которые могут быть	1	1
148	даже в этом	1	1
149	в голову не	1	1
150	одному и тому	1	1
151	а потому что	2	1
152	не забудем что	1	1
153	не менее в	1	1
154	так что в	1	1
155	тогда когда оно	2	1
156	ничего такого что	1	1
157	а в том	1	1
158	и в голову	1	1
159	уже и сейчас	1	1
160	с самого начала	2	1
161	они вовсе не	2	1
162	чтобы заметить что	1	1
163	и то же	8	1
164	как и та	1	1
165	хотя бы в	1	1
166	уже знаем что	2	1
167	и тем больше	1	1
168	находим в разных	1	1
169	но в дальнейшем	1	1
170	на первый взгляд	2	1
171	в широком смысле	2	1
172	то же самое	3	1
173	перед нами два	1	1
174	между тем в	1	1
175	с тех пор	2	1
176	к тому что	3	1
177	несмотря на все	1	1
178	то что мы	1	1
179	так как все	1	1
180	в жизни народов	1	1
181	мы уже говорили	1	1
182	из того что	1	1
183	во всем этом	1	1
184	приводит к тому	1	1
185	таким образом и	1	1
186	только тогда когда	4	1
187	мы будем всматриваться	1	1
188	как бороться с	1	1
189	то время как	2	1
190	теперь мы должны	1	1
191	все эти элементы	1	1
192	в другом случае	1	1
193	и не может	1	1
194	именно с точки	1	1
195	если мы будем	1	1
196	именно в том	1	1
197	в чистом виде	1	1
198	это было бы	1	1
